"年度","区分","調定額[円]","収納額[円]","不納欠損額[円]","未収額[円]","収納率[%]"
"2015","現年分","2885417000","2826528000","0","58888000","97.96"
"2015","特別徴収","636395000","636395000","0","0","100.00"
"2015","普通徴収","2249022000","2190134000","0","58888000","97.38"
"2015","滞納繰越分","114822000","39913000","32688000","42221000","34.76"
"2016","現年分","3055429000","3002926000","0","52503000","98.28"
"2016","特別徴収","634646000","634646000","0","0","100.00"
"2016","普通徴収","2420783000","2368280000","0","52503000","97.83"
"2016","滞納繰越分","101719000","38947000","29396000","33376000","38.29"
"2017","現年分","3147294000","3095128000","0","52167000","98.34"
"2017","特別徴収","671774000","671774000","0","0","100.00"
"2017","普通徴収","2475521000","2423354000","0","52167000","97.89"
"2017","滞納繰越分","85913000","27666000","24320000","33927000","32.20"
"2018","現年分","3302523000","3246448000","0","56075000","98.30"
"2018","特別徴収","684477000","684477000","0","0","100.00"
"2018","普通徴収","2618046000","2561971000","0","56075000","97.86"
"2018","滞納繰越分","85434000","31468000","23780000","30186000","36.83"
"2019","現年分","3454208000","3391177000","0","63030000","98.18"
"2019","特別徴収","713086000","713086000","0","0","100.00"
"2019","普通徴収","2741122000","2678091000","0","63030000","97.7"
"2019","滞納繰越分","86344000","27780000","23120000","35448000","32.17"

"令和2年度港区行政資料集　後期高齢者医療保険料調定収納状況","Ver202003",,,,,
