"年度","区分","調定額[円]","収納額[円]","不納欠損額[円]","未収額[円]","収納率[%]"
"2015","現年分","8371881000","6889814000","1384000","1480683000","82.72"
"2015","滞納繰越分","2999034000","810853000","719738000","1468442000","27.42"
"2015","合計","11370915000","7700667000","721122000","2949125000","68.23"
"2016","現年分","8537277000","7037211000","2298000","1497768000","82.88"
"2016","滞納繰越分","2840278000","724940000","686007000","1429332000","25.85"
"2016","合計","11377555000","7762151000","688305000","2927100000","68.72"
"2017","現年分","8481987000","7104074000","8736000","1369176000","84.17"
"2017","滞納繰越分","2833152000","843682000","763679000","1225791000","30.18"
"2017","合計","11315139000","7947756000","772415000","2594967000","70.74"
"2018","現年分","8618742000","7160723000","4891000","1453129000","83.45"
"2018","滞納繰越分","2499964000","772823000","532596000","1194546000","31.33"
"2018","合計","11118706000","7933546000","537487000","2647675000","71.81"
"2019","現年分","8374494000","7082701000","6539000","1285254000","84.88"
"2019","滞納繰越分","2511634000","697107000","607370000","1207157000","27.79"
"2019","合計","10886128000","7779808000","613909000","2492411000","71.69"

"令和2年度港区行政資料集　国民健康保険料調定収納状況","Ver202003",,,,,
