"年月[西暦]","調査項目","設問","選択肢","件数[人]","(全体)[%]","(除不)[%]"
"202003","将来の生活について","Q43. 障害のある人が地域の中で安心して生活していくためには、特にどのようなことが必要だと思いますか。（あてはまるものすべてに○）","必要なときに十分な介助が受けられること","165","67.3","71.7"
"202003","将来の生活について","Q43. 障害のある人が地域の中で安心して生活していくためには、特にどのようなことが必要だと思いますか。（あてはまるものすべてに○）","障害のある人に配慮された施設が整備されていること","134","54.7","58.3"
"202003","将来の生活について","Q43. 障害のある人が地域の中で安心して生活していくためには、特にどのようなことが必要だと思いますか。（あてはまるものすべてに○）","介助に必要な経済面での支援が受けられること","118","48.2","51.3"
"202003","将来の生活について","Q43. 障害のある人が地域の中で安心して生活していくためには、特にどのようなことが必要だと思いますか。（あてはまるものすべてに○）","困ったときの相談支援体制が整っていること","130","53.1","56.5"
"202003","将来の生活について","Q43. 障害のある人が地域の中で安心して生活していくためには、特にどのようなことが必要だと思いますか。（あてはまるものすべてに○）","自分に適した学校や就職が選択できること","37","15.1","16.1"
"202003","将来の生活について","Q43. 障害のある人が地域の中で安心して生活していくためには、特にどのようなことが必要だと思いますか。（あてはまるものすべてに○）","街の中での移動や活動が障害者にとって安全で快適なこと","74","30.2","32.2"
"202003","将来の生活について","Q43. 障害のある人が地域の中で安心して生活していくためには、特にどのようなことが必要だと思いますか。（あてはまるものすべてに○）","安心して住めるところがあること","141","57.6","61.3"
"202003","将来の生活について","Q43. 障害のある人が地域の中で安心して生活していくためには、特にどのようなことが必要だと思いますか。（あてはまるものすべてに○）","健康管理や治療・リハビリを受けやすいこと","104","42.4","45.2"
"202003","将来の生活について","Q43. 障害のある人が地域の中で安心して生活していくためには、特にどのようなことが必要だと思いますか。（あてはまるものすべてに○）","旅行や遊びのための外出が気兼ねなくできるようになること","73","29.8","31.7"
"202003","将来の生活について","Q43. 障害のある人が地域の中で安心して生活していくためには、特にどのようなことが必要だと思いますか。（あてはまるものすべてに○）","運動やスポーツを楽しめる機会と場があること","82","33.5","35.7"
"202003","将来の生活について","Q43. 障害のある人が地域の中で安心して生活していくためには、特にどのようなことが必要だと思いますか。（あてはまるものすべてに○）","文化・芸術を楽しめる機会と場があること","69","28.2","30.0"
"202003","将来の生活について","Q43. 障害のある人が地域の中で安心して生活していくためには、特にどのようなことが必要だと思いますか。（あてはまるものすべてに○）","周囲の人が理解してくれること","121","49.4","52.6"
"202003","将来の生活について","Q43. 障害のある人が地域の中で安心して生活していくためには、特にどのようなことが必要だと思いますか。（あてはまるものすべてに○）","障害のない人との交流の機会が多くあること","51","20.8","22.2"
"202003","将来の生活について","Q43. 障害のある人が地域の中で安心して生活していくためには、特にどのようなことが必要だと思いますか。（あてはまるものすべてに○）","その他","6","2.4","2.6"
"202003","将来の生活について","Q43. 障害のある人が地域の中で安心して生活していくためには、特にどのようなことが必要だと思いますか。（あてはまるものすべてに○）","無回答","15","6.1",

"港区保健福祉基礎調査（知的障害者）・単純集計表・将来の生活についてQ43","Ver202003",,,,,
