区分,平成３０年度決算額（億円）,平成３０年度補正後予算額（億円）,平成２９年度決算額（億円）,差引増減額等対３０年度補正後（億円）,差引増減額等増減率（％）,差引増減額等対２９年度決算（億円）,差引増減額等増減率（％）
個人都民税,9298,9448,9213,-150,-1.6,85,0.9
法人都民税,9540,9567,8413,-27,-0.3,1127,13.4
都民税利子割,96,93,91,3,2.9,5,5.9
個人事業税,528,526,514,2,0.5,14,2.7
法人事業税,10907,10916,10095,-9,-0.1,811,8
繰入地方消費税,5523,5488,6474,35,0.6,-951,-14.7
不動産取得税,838,872,829,-34,-3.9,9,1.1
都たばこ税,162,160,164,2,1.4,-2,-1
ゴルフ場利用税,6,6,6,0,1.3,0,0.1
自動車取得税,181,182,173,0,-0.2,8,4.7
軽油引取税,401,403,408,-2,-0.5,-7,-1.6
自動車税,1049,1050,1046,0,0,3,0.3
鉱区税,0,0,0,0,-0.1,-,0
固定資産税,12427,12437,11929,-10,-0.1,499,4.2
特別土地保有税,-,0,-,0,皆減,-,-
狩猟税,0,0,0,0,5,0,4.3
事業所税,1075,1072,1047,3,0.3,27,2.6
都市計画税,2405,2408,2305,-3,-0.1,101,4.4
宿泊税,27,26,24,0,1.2,3,13
旧法による税,-,0,-,0,皆減,-,-
計,54464,54653,52730,-190,-0.3,1733,3.3
法人二税,20447,20483,18509,-36,-0.2,1938,10.5
固定・都市計,14833,14845,14233,-13,-0.1,599,4.2
