区分,平成２６年度決算額（億円）,平成２６年度補正後予算額（億円）,平成２５年度決算額（億円）,差引増減額等対２６年度補正後（億円）,差引増減額等増減率（％）,差引増減額等対２５年度決算（億円）,差引増減額等増減率（％）
個人都民税,8624,8611,8242,13,0.2,382,4.6
法人都民税,9155,9090,8418,66,0.7,738,8.8
都民税利子割,440,426,422,14,3.3,18,4.3
個人事業税,483,483,480,0,0.1,3,0.7
法人事業税,7287,7216,6812,71,1,475,7
繰入地方消費税,4227,4283,3489,-56,-1.3,738,21.1
不動産取得税,766,714,737,52,7.3,29,4
都たばこ税,181,181,201,0,0,-20,-9.7
ゴルフ場利用税,6,6,6,0,1.1,0,0.7
自動車取得税,92,92,190,0,-0.3,-98,-51.6
軽油引取税,412,412,420,0,-0.1,-8,-1.9
自勣車税,1068,1067,1087,0,0,-19,-1.7
鉱区税,0,0,0,0,0.2,0,0.3
固定資産税,11447,11434,11254,13,0.1,193,1.7
特別土地保有税,0,0,0,0,-31.5,0,-64.5
狩猟税,0,0,0,0,-0.1,0,-2.1
事業所税,984,980,966,5,0.5,18,1.9
都市計画税,2210,2206,2174,4,0.2,36,1.7
宿泊税,16,16,13,0,-0.2,3,23.5
旧法による税,-,0,0,0,皆減,0,皆減
計,47399,47218,44910,182,0.4,2489,5.5
法人二税,16442,16306,15230,137,0.8,1212,8
固定・都市計,13657,13640,13428,16,0.1,229,1.7
