区分,平成２９年度決算額（億円）,平成２９年度補正後予算額（億円）,平成２８年度決算額（億円）,差引増減額等対２９年度補正後（億円）,差引増減額等増減率（％）,差引増減額等対２８年度決算（億円）,差引増減額等増減率（％）
個人都民税,9213,9021,8788,191,2.1,425,4.8
法人都民税,8413,8268,8490,145,1.8,-77,-0.9
都民税利子割,91,82,81,9,11.1,10,11.8
個人事業税,514,516,503,-2,-0.3,12,2.3
法人事業税,10095,10001,10437,95,0.9,-341,-3.3
繰入地方消費税,6474,6436,6327,37,0.6,147,2.3
不動産取得税,829,819,817,10,1.2,12,1.5
都たばこ税,164,164,172,0,0.1,-9,-5
ゴルフ場利用税,6,6,7,0,-1.5,0,-3.2
自動車取得税,173,171,143,2,1.2,30,20.7
軽油引取税,408,409,408,-2,-0.4,0,0
自動車税,1046,1046,1046,0,0,0,0
鉱区税,0,0,0,0,-0.1,-,0
固定資産税,11929,11926,11811,3,0,118,1
特別土地保有税,-,0,-,0,皆減,-,-
狩猟税,0,0,0,0,0.4,0,-2.9
事業所税,1047,1043,1026,4,0.4,21,2.1
都市計画税,2305,2305,2283,0,0,21,0.9
宿泊税,24,23,22,0,1.2,1,6.5
旧法による税,-,0,-,0,皆減,-,-
計,52730,52238,52360,493,0.9,370,0.7
法人二税,18509,18269,18926,240,1.3,-418,-2.2
固定・都市計,14233,14231,14095,3,0,139,1
