地域,年代別床面積(千m2)／～1959,年代別床面積(千m2)／1960～1969,年代別床面積(千m2)／1970～1979,年代別床面積(千m2)／1980～1989,年代別床面積(千m2)／1990～1999,年代別床面積(千m2)／2000～2004,年代別床面積(千m2)／2005～2009,年代別床面積(千m2)／2010～2014,年代別床面積(千m2)／2015～2019,年代別床面積(千m2)／合計,"平均築後年数(年)"
千代田区,333,1879,1898,3370,2393,1986,2211,2012,1932,18013,26.7
中央区,311,1493,1587,2537,2538,1144,727,1185,931,12453,30.2
港区,96,789,1984,3808,3927,3364,2163,1038,1263,18431,25.9
新宿区,38,404,1692,1675,2322,332,141,580,267,7449,31.3
文京区,30,103,199,536,956,194,62,106,34,2220,29.5
台東区,21,182,359,712,845,82,89,139,186,2614,30.5
墨田区,15,66,112,246,601,163,51,47,30,1331,28.3
江東区,8,68,142,634,2084,426,839,883,92,5175,21.9
品川区,5,121,326,944,2117,708,518,418,403,5559,23.9
目黒区,13,71,230,164,568,133,42,45,28,1296,30.6
大田区,14,138,345,475,1044,410,300,347,116,3190,26
世田谷区,10,86,195,281,528,89,61,45,210,1504,27.8
渋谷区,9,373,782,1139,1983,641,344,384,400,6056,27.6
中野区,1,50,115,119,484,40,9,207,21,1046,25.8
杉並区,8,75,110,225,300,59,39,26,34,876,31.3
豊島区,21,123,846,698,647,64,56,50,35,2540,34.9
北区,6,73,95,138,280,58,84,46,45,826,28.5
荒川区,12,29,43,114,195,37,48,24,12,514,29.2
板橋区,5,81,111,186,338,63,40,68,60,951,29
練馬区,3,81,90,135,245,53,25,44,50,726,29.9
足立区,7,54,120,190,190,54,60,69,75,820,28
葛飾区,6,70,62,128,114,21,57,21,52,530,30.1
江戸川区,5,50,85,266,359,66,49,45,41,967,29.2
区全体,976,6460,11527,18723,25056,10189,8013,7827,6315,95086,27.6
都心3区,740,4160,5469,9715,8858,6494,5101,4234,4126,48897,27.3
都心5区,786,4938,7942,12528,13163,7467,5586,5198,4793,62402,27.8
他18区,190,1522,3585,6194,11894,2721,2427,2629,1522,32684,27.3
