年(昭和・平成・令和),マンション75m2当り平均価格／区部(万円),マンション75m2当り平均価格／多摩(万円),マンション75m2当り平均価格／都(万円),年収倍率／区部(倍),年収倍率／多摩(倍),年収倍率／都(倍)
58,3990,3270,3855,7.6,6.2,7.3
59,3818,3060,3683,6.7,5.4,6.5
60,4020,3105,3833,6.7,5.2,6.4
61,4185,3180,3990,6.7,5.1,6.4
62,6608,3998,5933,10.3,6.2,9.2
63,9420,5048,7868,14.2,7.6,11.9
元,10785,6450,9600,15.8,9.5,14.1
2,11453,7800,10298,15.6,10.6,14
3,11648,7320,10178,15.4,9.7,13.4
4,9315,6105,8445,12,7.9,10.9
5,7088,5768,6690,8.7,7.1,8.2
6,6435,5483,6180,8,6.8,7.7
7,5558,4928,5363,7.1,6.3,6.9
8,5588,4635,5333,7.4,6.1,7.1
9,5820,4530,5468,7.4,5.8,6.9
10,5423,4328,5145,6.9,5.5,6.5
11,5235,4238,5003,6.8,5.5,6.5
12,4950,3833,4680,6.4,5,6.1
13,4905,3608,4575,6.5,4.8,6.1
14,4785,3525,4433,6.3,4.6,5.8
15,5063,3533,4673,7.2,5,6.7
16,5025,3653,4763,7,5.1,6.7
17,5138,3713,4800,7.4,5.3,6.9
18,5363,3855,5003,7.6,5.5,7.1
19,6420,4200,5685,9.3,6.1,8.3
20,6398,4643,5993,9.2,6.7,8.6
21,5985,4380,5685,8.3,6.1,7.9
22,6218,4478,5940,8.4,6.1,8
23,6083,4155,5693,9,6.1,8.4
24,6008,4350,5640,8.7,6.3,8.2
25,6488,4350,6180,9.3,6.3,8.9
26,6548,4860,6240,9.3,6.9,8.9
27,7403,4658,6743,10.7,6.8,9.8
28,7538,5198,6998,10.4,7.2,9.6
29,8123,5340,7530,11.7,7.7,10.8
30,8528,5588,7928,11.2,7.4,10.4
31,8423,5948,8010,10.4,7.4,9.9
2,9383,6038,8558,11.1,7.2,10.2
3,9615,5558,8850,11,6.3,10.1
