区分,～1959／床面積(千m2),～1959／比率(%),1960～1969／床面積(千m2),1960～1969／比率(%),1970～1979／床面積(千m2),1970～1979／比率(%),1980～1989／床面積(千m2),1980～1989／比率(%),1990～1999／床面積(千m2),1990～1999／比率(%),2000～2009／床面積(千m2),2000～2009／比率(%),2010～2014／床面積(千m2),2010～2014／比率(%),2015～2019／床面積(千m2),2015～2019／比率(%),2020～2021／床面積(千m2),2020～2021／比率(%),合計(千m2),各区平均築後年数
旧都心地区等,481,1.9,2688,10.8,2325,9.3,3798,15.2,2559,10.2,6873,27.5,2853,11.4,3247,13,169,0.7,24991,27.1
活力とにぎわいの拠点地区群,133,0.8,987,5.8,1947,11.4,4203,24.5,4631,27,2905,16.9,1349,7.9,686,4,296,1.7,17137,30.1
新宿地区,9,0.2,185,3.3,1314,23.1,984,17.3,1840,32.4,472,8.3,536,9.4,324,5.7,12,0.2,5676,30.8
渋谷地区,3,0.1,126,4.4,438,15.4,482,17,570,20.1,418,14.8,236,8.3,535,18.9,27,1,2835,26.1
池袋地区,19,1,80,4.2,674,35.7,510,27,342,18.1,64,3.4,38,2,90,4.8,71,3.8,1888,35.2
大崎・五反田地区,1,0,40,1.7,171,7.2,484,20.4,772,32.6,436,18.4,305,12.9,156,6.6,4,0.2,2369,25.2
上野・浅草地区,15,0.9,106,5.9,244,13.6,482,26.9,575,32.1,116,6.4,95,5.3,151,8.4,8,0.4,1793,31.7
錦糸町・亀戸地区,2,0.4,21,3,69,10,126,18.1,395,57,45,6.6,16,2.3,7,1,12,1.7,693,29.9
有明・台場・青海地区,0,0,0,0,6,0.5,2,0.2,744,58.4,358,28.1,161,12.6,2,0.1,1,0.1,1274,21.9
品川地区,0,0,16,0.6,50,1.7,384,13.3,1134,39.1,1035,35.7,139,4.8,133,4.6,6,0.2,2898,23.9
秋葉原地区,4,0.5,31,4.4,59,8.4,75,10.7,40,5.7,379,53.9,27,3.9,78,11.1,9,1.3,703,22.2
合計,668,1.1,4279,6.9,7296,11.7,11530,18.5,13602,21.8,13101,21,5756,9.2,5408,8.7,615,1,62256,28.3
