区分,年代別床面積／～1959(千m2),年代別床面積／1960～1969(千m2),年代別床面積／1970～1979(千m2),年代別床面積／1980～1989(千m2),年代別床面積／1990～1999(千m2),年代別床面積／2000～2004(千m2),年代別床面積／2005～2009(千m2),年代別床面積／2010～2014(千m2),年代別床面積／2015～2020(千m2),年代別床面積／合計(千m2),各区平均築後年数(年)
千代田区,575,2461,2960,4445,3002,2784,3293,2756,2948,25224,27.6
中央区,604,2210,2678,3784,3681,2712,2482,2260,3060,23472,27.7
港区,290,1873,4773,6422,6695,6394,5773,2669,3136,38025,26.3
新宿区,508,2217,4791,5330,4990,2231,1879,2062,2312,26320,30.6
文京区,330,724,1701,2510,2935,1501,1099,1037,943,12782,29.1
台東区,736,1150,2086,2832,2488,1034,1098,1149,1560,14133,31
墨田区,484,959,1751,2468,2931,1276,1556,1300,1308,14033,28.5
江東区,280,1134,3356,5172,6763,3788,4936,3154,2858,31441,24.9
品川区,467,1189,2780,4296,5298,2755,2597,1927,2622,23930,26.8
目黒区,263,850,1937,2177,3377,1458,1293,1115,1214,13684,28.2
大田区,731,1961,4558,6939,8038,4137,3479,3382,3677,36902,27.3
世田谷区,607,1781,4633,6926,8775,4468,4077,3624,3953,38843,26.5
渋谷区,218,1402,3206,3516,4621,2478,1788,1607,1949,20785,28.1
中野区,366,969,1955,2237,3179,1288,1146,1295,1401,13835,28.5
杉並区,506,1360,3303,4330,5092,2426,2133,1878,2140,23168,28.5
豊島区,485,1191,2849,3283,3242,1225,1531,1220,1124,16148,30.7
北区,425,1144,2317,2264,2951,1290,1246,1232,1520,14390,29.3
荒川区,336,673,1156,1526,1917,935,1195,737,788,9265,28.7
板橋区,418,1278,4036,4532,4779,2439,2104,1924,2047,23557,29
練馬区,303,1318,3281,5367,7028,3154,2530,2296,2784,28060,26.8
足立区,393,1513,4047,5053,5673,2724,3231,2512,2744,27891,27.4
葛飾区,302,1147,2366,3464,4062,1766,1794,1459,1675,18034,28.1
江戸川区,213,995,3224,5641,7376,2951,2252,1941,2125,26717,27.4
合計,9843,31501,69745,94513,108891,57213,54512,44534,49888,520638,27.8
都心３区,1469,6545,10412,14651,13378,11890,11549,7685,9143,86720,27
都心５区,2195,10163,18409,23497,22989,16598,15216,11353,13405,133826,27.9
他18区,7647,21338,51336,71016,85902,40614,39296,33181,36483,386812,27.8
