都市名/用途　平成・令和　年,住宅地　25,住宅地　26,住宅地　27,住宅地　28,住宅地　29,住宅地　30,住宅地　31,住宅地　2,住宅地　3,商業地　25,商業地　26,商業地　27,商業地　28,商業地　29,商業地　30,商業地　31,商業地　2,商業地　3
札幌市　*1*2,58.0,60.2,61.0,63.2,65.3,67.6,72.9,78.8,82.5,166.1,176.1,181.0,196.0,216.7,242.1,278.5,321.3,329.3
仙台市　*1*2,66.6,70.2,72.9,75.1,80.2,84.5,90.8,97.2,99.7,324.8,340.9,356.9,380.2,419.0,465.0,527.9,599.2,611.4
さいたま市　*1*2,172.7,176.1,178.2,182.8,189.0,192.5,200.0,205.7,206.3,461.9,473.4,487.3,504.7,515.2,538.3,577.9,619.3,611.8
千葉市　*1*2,112.5,116.3,116.8,113.9,114.7,116.3,118.5,120.8,121.9,296.1,302.8,301.8,296.5,296.7,305.2,314.7,333.5,340.0
東京特別区　*1*2,478.0,504.8,518.6,524.1,549.1,572.3,601.3,631.3,631.3,"1,948.9","2,101.0","2,226.2","2,368.9","2,602.8","2,800.2","3,010.0","3,208.4","3,103.6"
横浜市　*1*2,205.3,214.1,217.8,218.4,221.5,224.5,228.0,231.6,231.6,477.3,518.0,535.2,536.3,559.5,589.4,625.7,665.1,673.7
川崎市　*2,243.1,249.5,252.8,253.9,257.2,261.5,267.0,272.5,273.0,550.3,605.7,628.6,623.4,648.8,681.9,724.2,773.0,784.3
相模原市　*2,150.0,149.9,150.7,152.9,153.2,154.9,158.0,161.1,161.6,275.2,285.0,286.7,282.2,271.9,276.6,283.6,291.9,290.4
新潟市　*1*2,54.8,55.6,55.4,54.1,53.9,54.2,54.9,55.5,55.7,118.2,120.2,119.3,115.5,114.2,114.9,116.3,118.0,117.6
静岡市　*1*2,109.0,111.5,112.1,111.1,111.3,111.1,114.4,114.2,113.0,258.6,264.3,266.4,268.9,267.9,273.7,280.9,287.7,280.3
浜松市　*2,70.9,71.6,71.5,71.9,72.0,72.3,72.8,73.3,72.6,128.4,131.5,131.6,129.4,128.1,129.7,132.0,133.9,130.1
名古屋市　*1*2,156.4,164.9,168.3,168.9,172.1,175.0,183.1,188.7,187.3,472.5,514.6,546.0,571.0,658.2,736.3,844.6,964.8,937.1
京都市　*1*2,189.5,193.2,194.4,195.1,199.2,202.9,209.5,215.8,215.6,452.3,478.6,488.8,515.5,578.4,655.1,775.6,908.0,882.4
大阪市　*1*2,227.2,231.9,233.3,231.6,236.4,238.9,241.8,246.8,247.0,845.7,896.7,946.5,"1,076.8","1,241.1","1,392.4","1,624.3","1,978.1","1,783.3"
堺市　*2,121.8,122.5,122.9,123.8,126.1,128.2,131.0,135.1,134.7,198.3,198.7,199.8,203.2,196.9,210.5,231.2,253.5,263.2
神戸市　*1*2,137.3,142.0,143.7,141.4,142.7,144.4,146.4,148.7,149.2,422.7,432.5,440.6,456.1,510.3,569.1,646.3,713.6,678.4
岡山市　*1*2,56.6,56.6,56.8,57.0,57.4,58.0,58.7,59.8,59.9,158.2,160.6,164.0,166.7,171.2,177.0,183.8,191.8,192.5
広島市　*1*2,103.3,105.7,106.8,108.2,116.8,120.9,126.4,132.6,133.8,433.9,445.1,463.5,494.3,537.0,571.2,615.3,674.8,652.9
北九州市　*2,53.4,53.4,52.9,52.0,52.2,52.2,52.3,52.5,53.1,131.4,129.0,125.8,123.4,123.7,125.6,128.3,131.8,132.9
福岡市　*1*2,112.6,116.8,120.5,123.7,133.2,140.6,150.1,161.8,168.5,514.6,546.6,573.0,609.6,676.8,766.1,873.1,"1,037.9","1,100.8"
熊本市　*1*2,63.8,64.0,64.7,65.4,65.8,66.7,68.0,69.4,70.2,218.3,218.8,218.6,220.3,219.0,239.2,270.8,302.8,317.6
政令市平均,200.0,197.7,201.4,214.7,222.8,229.4,238.5,247.8,248.5,876.3,926.4,975.2,"1,053.5","1,155.6","1,251.9","1,366.3","1,491.8","1,444.4"
青森市,36.1,34.7,33.7,33.4,33.4,33.3,33.2,33.3,33.2,80.4,76.8,74.7,73.2,71.9,71.7,72.0,72.3,71.4
盛岡市,45.9,46.1,46.1,46.0,47.1,47.4,47.5,47.8,48.0,120.1,117.4,117.0,117.0,117.1,117.4,122.8,124.6,123.1
秋田市*2,35.1,33.3,32.2,32.2,31.8,31.7,32.0,32.3,32.5,59.4,58.1,55.5,52.0,51.2,51.0,51.0,51.4,52.3
山形市,47.4,48.3,48.4,48.1,49.2,50.4,52.0,53.8,55.3,92.1,91.0,90.5,89.3,89.3,89.6,90.4,91.8,92.7
福島市,39.0,39.4,40.6,42.5,44.0,45.4,46.6,47.6,48.0,67.3,70.9,71.7,71.3,72.5,74.3,77.0,79.2,79.1
水戸市,44.0,42.2,41.1,40.7,40.4,40.2,40.1,39.9,39.7,104.5,99.3,96.1,94.1,94.7,94.1,93.7,93.4,92.8
宇都宮市*2,58.7,57.6,57.4,57.8,59.1,59.4,59.8,60.5,60.8,129.3,126.7,124.9,124.9,123.3,124.1,125.3,133.5,133.9
前橋市*2,52.9,51.7,51.5,51.7,51.6,51.6,51.6,51.5,51.3,73.8,72.3,71.4,71.4,71.1,70.9,70.9,70.9,70.3
（新潟市）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
富山市*2,41.0,41.7,41.9,42.0,41.9,42.1,42.7,43.3,43.6,105.1,110.7,112.6,108.9,110.2,111.9,113.4,119.7,119.5
金沢市*2,70.4,70.1,70.4,71.9,73.0,74.1,77.2,80.9,81.7,172.0,173.8,183.1,201.2,212.8,224.6,251.0,268.6,257.5
