区市町村名,平成21年／全体／件数(件),平成21年／全体／面積(m2),平成21年／法人関与／件数(件),平成21年／法人関与／面積(m2),平成21年／法人関与率／件数(%),平成21年／法人関与率／面積(%),平成22年／全体／件数(件),平成22年／全体／面積(m2),平成22年／法人関与／件数(件),平成22年／法人関与／面積(m2),平成22年／法人関与率／件数(%),平成22年／法人関与率／面積(%),平成23年／全体／件数(件),平成23年／全体／面積(m2),平成23年／法人関与／件数(件),平成23年／法人関与／面積(m2),平成23年／法人関与率／件数(%),平成23年／法人関与率／面積(%),平成24年／全体／件数(件),平成24年／全体／面積(m2),平成24年／法人関与／件数(件),平成24年／法人関与／面積(m2),平成24年／法人関与率／件数(%),平成24年／法人関与率／面積(%),平成25年／全体／件数(件),平成25年／全体／面積(m2),平成25年／法人関与／件数(件),平成25年／法人関与／面積(m2),平成25年／法人関与率／件数(%),平成25年／法人関与率／面積(%),平成26年／全体／件数(件),平成26年／全体／面積(m2),平成26年／法人関与／件数(件),平成26年／法人関与／面積(m2),平成26年／法人関与率／件数(%),平成26年／法人関与率／面積(%),平成27年／全体／件数(件),平成27年／全体／面積(m2),平成27年／法人関与／件数(件),平成27年／法人関与／面積(m2),平成27年／法人関与率／件数(%),平成27年／法人関与率／面積(%),平成28年／全体／件数(件),平成28年／全体／面積(m2),平成28年／法人関与／件数(件),平成28年／法人関与／面積(m2),平成28年／法人関与率／件数(%),平成28年／法人関与率／面積(%),平成29年／全体／件数(件),平成29年／全体／面積(m2),平成29年／法人関与／件数(件),平成29年／法人関与／面積(m2),平成29年／法人関与率／件数(%),平成29年／法人関与率／面積(%),平成30年／全体／件数(件),平成30年／全体／面積(m2),平成30年／法人関与／件数(件),平成30年／法人関与／面積(m2),平成30年／法人関与率／件数(%),平成30年／法人関与率／面積(%),平成31年／全体／件数(件),平成31年／全体／面積(m2),平成31年／法人関与／件数(件),平成31年／法人関与／面積(m2),平成31年／法人関与率／件数(%),平成31年／法人関与率／面積(%),令和2年／全体／件数(件),令和2年／全体／面積(m2),令和2年／法人関与／件数(件),令和2年／法人関与／面積(m2),令和2年／法人関与率／件数(%),令和2年／法人関与率／面積(%),令和3年／全体／件数(件),令和3年／全体／面積(m2),令和3年／法人関与／件数(件),令和3年／法人関与／面積(m2),令和3年／法人関与率／件数(%),令和3年／法人関与率／面積(%),平成16～25年区別・区部計の変動／全体件数／最大(件数),平成16～25年区別・区部計の変動／全体件数／最大／年(平成),平成16～25年区別・区部計の変動／全体件数／最小(件数),平成16～25年区別・区部計の変動／全体件数／最小／年(平成),平成16～25年区別・区部計の変動／全体面積／最大(件数),平成16～25年区別・区部計の変動／全体面積／最大／年(平成),平成16～25年区別・区部計の変動／全体面積／最小(件数),平成16～25年区別・区部計の変動／全体面積／最小／年(平成),平成16～25年区別・区部計の変動／法人関与件数／最大(件数),平成16～25年区別・区部計の変動／法人関与件数／最大／年(平成),平成16～25年区別・区部計の変動／法人関与件数／最小(件数),平成16～25年区別・区部計の変動／法人関与件数／最小／年(平成),平成16～25年区別・区部計の変動／法人関与面積／最大(件数),平成16～25年区別・区部計の変動／法人関与面積／最大／年(平成),平成16～25年区別・区部計の変動／法人関与面積／最小(件数),平成16～25年区別・区部計の変動／法人関与面積／最小／年(平成),平成16～25年区別・区部計の変動／法人関与率（件数）／最大(件数),平成16～25年区別・区部計の変動／法人関与率（件数）／最大／年(平成),平成16～25年区別・区部計の変動／法人関与率（件数）／最小(件数),平成16～25年区別・区部計の変動／法人関与率（件数）／最小／年(平成),平成16～25年区別・区部計の変動／法人関与率（面積）／最大(件数),平成16～25年区別・区部計の変動／法人関与率（面積）／最大／年(平成),平成16～25年区別・区部計の変動／法人関与率（面積）／最小(件数),平成16～25年区別・区部計の変動／法人関与率（面積）／最小／年(平成)
大田区,4663,570244,1412,293574,30.3,51.5,4928,602740,1658,323140,33.6,53.6,5121,615323,1627,287332,31.8,46.7,5466,491343,1834,281237,33.6,57.2,6050,566815,2108,338915,34.8,59.8,6165,593096,2179,360556,35.3,60.8,6844,716974,2693,476348,39.3,66.4,6881,656023,2700,412031,39.2,62.8,7291,635779,3106,380249,42.6,59.8,6636,599049,2751,380519,41.5,63.5,7042,597498,2845,382132,40.4,64,6255,537255,2497,338799,39.9,63.1,6863,580418,2757,367553,40.2,63.3,6050,25,4518,20,901734,16,491343,24,2290,19,1412,21,572220,16,281237,24,44.1,19,30.3,21,63.5,16,46.7,23
世田谷区,7308,979108,1967,478699,26.9,48.9,7255,1816859,2463,1307511,33.9,72,7899,1032811,2300,442934,29.1,42.9,8670,812316,2679,421171,30.9,51.8,10500,937549,3410,497144,32.5,53,9847,973788,3269,533777,33.2,54.8,10079,916462,3492,492768,34.6,53.8,9779,872246,3520,472246,36,54.1,9856,921170,3584,499177,36.4,54.2,9534,867422,3498,479581,36.7,55.3,9936,913454,3537,492864,35.6,54,9116,839203,3050,455304,33.5,54.3,9297,894587,3443,519859,37,58.1,10500,25,6785,20,1816859,22,812316,24,3547,18,1967,21,1307511,22,421171,24,43.6,19,26.9,21,72,22,42.9,23
渋谷区,1662,222763,720,122573,43.3,55,1859,212701,898,128982,48.3,60.6,1831,260682,847,131536,46.3,50.5,2386,220230,1075,152920,45.1,69.4,2915,246931,1481,172907,50.8,70,2679,247549,1364,173992,50.9,70.3,2440,259397,1285,186916,52.7,72.1,2543,259136,1284,175011,50.5,67.5,2929,294620,1647,224824,56.2,76.3,2407,224167,1317,166418,54.7,74.2,2637,245826,1491,176964,56.5,72,1957,177540,1073,132906,54.8,74.9,2186,199188,1176,153265,53.8,76.9,2915,25,1662,21,719192,18,212701,22,1779,19,720,21,624901,18,122573,21,72.1,19,43.3,21,88.9,19,50.5,23
中野区,2270,214110,595,83697,26.2,39.1,2273,227638,746,88742,32.8,39,2921,308131,1028,137907,35.2,44.8,3138,236277,1100,130757,35.1,55.3,3299,262718,1199,140802,36.3,53.6,3365,272843,1251,157120,37.2,57.6,3842,337292,1458,174847,37.9,51.8,3274,237079,1243,130312,38,55,3625,302833,1494,180636,41.2,59.6,3209,262264,1455,164389,45.3,62.7,3697,283141,1535,175453,41.5,62,3525,249827,1431,155297,40.6,62.2,3493,280785,1440,166449,41.2,59.3,3299,25,2270,21,410925,19,214110,21,1199,25,595,21,281395,19,83697,21,43.7,18,26.2,21,68.5,19,39,22
杉並区,4545,487869,1194,181050,26.3,37.1,5049,580544,1569,225310,31.1,38.8,5435,652325,1597,277117,29.4,42.5,6248,551843,1743,237926,27.9,43.1,7238,673463,2514,335051,34.7,49.8,6365,557558,2052,244140,32.2,43.8,7392,680861,2705,341510,36.6,50.2,6613,553605,2388,279369,36.1,50.5,6513,554060,2408,310046,37,56,6449,536026,2418,300493,37.5,56.1,6779,592715,2475,335604,36.5,56.6,6531,512501,2327,276289,35.6,53.9,6449,535824,2298,305047,35.6,56.9,7238,25,4411,20,673463,25,487869,21,2514,25,1194,21,335051,25,181050,21,41.5,19,26.3,21,52.8,19,37.1,21
豊島区,2179,200086,811,102078,37.2,51,2283,249780,1070,156159,46.9,62.5,2076,238157,739,100262,35.6,42.1,2515,188838,924,105157,36.7,55.7,2796,207100,1081,115919,38.7,56,2779,191369,1025,110377,36.9,57.7,2784,205791,1178,126418,42.3,61.4,2993,213789,1248,125620,41.7,58.8,3108,227369,1325,142735,42.6,62.8,2876,192430,1306,122778,45.4,63.8,3166,210216,1349,131601,42.6,62.6,2681,194475,1148,127383,42.8,65.5,2632,185262,1171,117885,44.5,63.6,2796,25,1963,17,388630,19,188838,24,1289,19,739,23,292879,19,100262,23,51.4,19,35.6,23,75.4,19,42.1,23
北区,1918,187050,622,71368,32.4,38.2,2049,225654,704,133814,34.4,59.3,2183,217036,738,99387,33.8,45.8,2462,227444,757,90310,30.7,39.7,2512,206281,850,108969,33.8,52.8,2617,319664,924,225806,35.3,70.6,3195,249882,1209,133197,37.8,53.3,3179,228256,1202,130910,37.8,57.4,2900,249606,1088,146495,37.5,58.7,3210,297451,1466,215603,45.7,72.5,3272,277619,1508,192421,46.1,69.3,3032,204115,1265,128448,41.7,62.9,3078,212054,1416,144254,46,68,2512,25,1804,16,273131,18,179645,20,1033,19,622,21,152008,19,71368,21,42.4,19,30.7,24,59.8,17,38.2,21
荒川区,1520,344948,669,278086,44,80.6,1355,146203,557,80919,41.1,55.3,1547,125361,526,57286,34,45.7,1862,118847,778,67256,41.8,56.6,2103,128528,797,63112,37.9,49.1,1737,135891,651,78110,37.5,57.5,1855,130577,769,77927,41.5,59.7,2017,152709,760,81779,37.7,53.6,2022,141783,851,85940,42.1,60.6,2250,153572,949,97189,42.2,63.3,2327,141371,934,83550,40.1,59.1,2225,136061,954,84385,42.9,62,2478,173766,1143,99681,46.1,57.4,2103,25,1183,16,525748,20,107198,16,832,18,409,16,455983,20,53548,16,49.1,18,34,23,86.7,20,45.7,23
板橋区,3060,401362,946,218744,30.9,54.5,3546,493095,1297,260277,36.6,52.8,3848,425669,1308,202180,34,47.5,4431,401777,1548,232588,34.9,57.9,4577,430947,1614,245615,35.3,57,4578,402267,1728,241107,37.7,59.9,4799,415561,1779,252074,37.1,60.7,4604,406028,1855,255242,40.3,62.9,4439,403592,1859,257219,41.9,63.7,4519,413728,1896,253800,42,61.3,4839,413925,2048,278433,42.3,67.3,4435,362292,1789,224467,40.3,62,4609,577195,2059,453892,44.7,78.6,4577,25,3060,21,506807,16,392457,20,1682,18,946,21,327258,18,195336,20,43.1,18,30.9,21,64.9,18,47.5,23
練馬区,5711,624318,1648,231352,28.9,37.1,6045,686561,1933,304027,32,44.3,7053,817218,2036,327934,28.9,40.1,7386,671793,2202,321979,29.8,47.9,8645,734746,2707,366483,31.3,49.9,8359,733983,2648,372399,31.7,50.7,8686,729383,2789,361837,32.1,49.6,8998,813923,3106,423483,34.5,52,8335,728923,3013,401513,36.1,55.1,8370,763387,3124,425921,37.3,55.8,8500,704255,3002,382097,35.3,54.3,8156,687787,2818,366150,34.6,53.2,8868,726905,3276,397138,36.9,54.6,8645,25,5612,20,863097,19,624318,21,2863,19,1568,20,423433,19,231352,21,39.9,19,27.9,20,49.9,18,37.1,21
足立区,5610,467350,2017,217670,36,46.6,6080,550782,2368,297397,38.9,54,7117,689400,2721,391437,38.2,56.8,8408,656554,3508,327456,41.7,49.9,9263,727986,4071,402958,43.9,55.4,8922,716422,3995,397207,44.8,55.4,8585,756061,3365,416901,39.2,55.1,7609,668910,3208,395852,42.2,59.2,8900,697243,4029,403147,45.3,57.8,8009,734913,3706,455463,46.3,62,8437,660021,3685,410557,43.7,62.2,8057,609784,3350,351337,41.6,57.6,8374,625844,3877,399364,46.3,63.8,9263,25,5610,21,758397,18,467350,21,4071,25,2017,21,462709,18,217670,21,43.9,25,36,21,61,18,46.6,21
葛飾区,3630,524590,1241,262003,34.2,49.9,4031,356210,1668,187160,41.4,52.5,4517,424160,1744,208978,38.6,49.3,4809,390641,1727,194148,35.9,49.7,5658,410017,2120,209615,37.5,51.1,4969,356968,1915,188116,38.5,52.7,5532,390008,2079,202936,37.6,52,4999,397938,2074,220869,41.5,55.5,5837,412123,2692,231017,46.1,56.1,5632,415745,2456,249645,43.6,60,5739,401208,2588,241481,45.1,60.2,5039,367437,2128,208217,42.2,56.7,5327,371689,2373,206775,44.5,55.6,5658,25,3501,20,560051,18,356210,22,2120,25,1186,20,352557,18,184929,16,42,19,33.9,20,63,18,48.1,16
江戸川区,5024,463218,1602,221002,31.9,47.7,5292,500773,1880,248794,35.5,49.7,4873,524883,1745,271548,35.8,51.7,5949,467968,2289,263880,38.5,56.4,6959,521646,2709,294592,38.9,56.5,6182,500351,2403,268484,38.9,53.7,6477,537036,2654,321027,41,59.8,6045,506943,2505,315994,41.4,62.3,6605,579614,2879,335720,43.6,57.9,6531,739739,2881,518566,44.1,70.1,6318,489459,2687,295598,42.5,60.4,6383,472618,2540,270763,39.8,57.3,6196,475652,2652,280863,42.8,59,6959,25,4759,20,609791,18,454712,20,2709,25,1592,20,367513,18,216303,20,40.7,18,31.9,21,60.3,18,47.6,20
区部計,64468,8844823,22125,4116243,34.3,46.5,68771,9524792,27046,5744149,39.3,60.3,73356,9333053,26706,4676493,36.4,50.1,83353,7222910,31102,4088737,37.3,56.6,93884,8272224,36773,4898447,39.2,59.2,89957,8159826,36033,4950931,40.1,60.7,94605,8460060,38899,5121268,41.1,60.5,91418,8255646,38737,5138953,42.4,62.2,95100,8267327,42289,5201102,44.5,62.9,92505,8272109,41974,5397457,45.4,65.2,95706,7991341,42249,5151716,44.1,64.5,88521,7395063,37667,4702133,42.6,63.6,90546,7730187,40591,5074260,44.8,65.6,93884,25,64468,21,11216429,19,7222910,24,38108,19,22125,21,6849532,19,4088737,24,48.8,19,34.3,21,63.7,18,46.5,21
