区分,～1959／床面積(千m2),～1959／比率(%),1960～1969／床面積(千m2),1960～1969／比率(%),1970～1979／床面積(千m2),1970～1979／比率(%),1980～1989／床面積(千m2),1980～1989／比率(%),1990～1999／床面積(千m2),1990～1999／比率(%),2000～2004／床面積(千m2),2000～2004／比率(%),2005～2009／床面積(千m2),2005～2009／比率(%),2010～2014／床面積(千m2),2010～2014／比率(%),2015～2019／床面積(千m2),2015～2019／比率(%),合計(千m2),各区平均築後年数
旧都心地区等,527,2.1,2787,11.2,2641,10.6,3824,15.3,2597,10.4,3734,15,3153,12.7,2854,11.5,2796,11.2,24912,26.3
活力とにぎわいの拠点地区群,151,0.9,1092,6.4,2016,11.8,4265,24.9,4633,27.1,1471,8.6,1438,8.4,1351,7.9,679,4,17096,28.9
新宿地区,11,0.2,218,3.9,1335,23.7,986,17.5,1847,32.8,383,6.8,90,1.6,536,9.5,221,3.9,5626,29.6
渋谷地区,3,0.1,132,5.3,448,18.1,512,20.7,576,23.3,291,11.7,125,5.1,241,9.7,149,6,2478,28.3
池袋地区,20,1.1,81,4.6,691,39.2,507,28.8,342,19.4,20,1.1,44,2.5,39,2.2,19,1.1,1762,36
大崎・五反田地区,1,0,44,1.9,180,7.6,484,20.3,774,32.5,71,3,365,15.3,305,12.8,156,6.5,2380,23.4
上野・浅草地区,16,0.9,111,6.1,251,13.9,488,27,579,32,68,3.8,53,2.9,92,5.1,149,8.2,1807,30
錦糸町・亀戸地区,2,0.4,21,3,74,10.8,126,18.3,395,57.5,40,5.8,6,0.9,16,2.4,7,1,687,28.5
有明、台場、青海地区,0,0,0,0,6,0.5,2,0.2,744,58.3,143,11.2,220,17.2,161,12.6,1,0,1277,19.9
品川地区,0,0,16,0.6,75,2.6,394,13.5,1137,39.1,817,28.1,219,7.5,139,4.8,113,3.9,2911,22.4
秋葉原地区,5,0.8,31,4.9,60,9.3,76,11.8,40,6.3,44,6.9,335,52.4,27,4.2,22,3.4,640,22.3
合計,738,1.2,4532,7.4,7778,12.6,11664,18.9,13664,22.2,7082,11.5,6047,9.8,5760,9.4,4311,7,61576,27.3
