区分,～1959／床面積(千m2),～1959／比率(%),1960～1969／床面積(千m2),1960～1969／比率(%),1970～1979／床面積(千m2),1970～1979／比率(%),1980～1989／床面積(千m2),1980～1989／比率(%),1990～1999／床面積(千m2),1990～1999／比率(%),2000～2004／床面積(千m2),2000～2004／比率(%),2005～2009／床面積(千m2),2005～2009／比率(%),2010～2014／床面積(千m2),2010～2014／比率(%),2015～2019／床面積(千m2),2015～2019／比率(%),合計(千m2),各区平均築後年数
都心地区,493,2.8,2393,13.6,1654,9.4,2205,12.6,1300,7.4,2615,14.9,2150,12.3,2596,14.8,2131,12.1,17537,26
都心周辺地区,181,0.8,1432,6.1,2871,12.2,5581,23.8,5662,24.2,2507,10.7,2427,10.4,1474,6.3,1310,5.6,23445,28.3
新宿地区,11,0.2,218,3.9,1335,23.8,985,17.5,1842,32.8,383,6.8,90,1.6,536,9.5,219,3.9,5619,29.6
渋谷地区,3,0.1,133,5.2,454,17.8,552,21.6,587,23,294,11.5,128,5,241,9.4,163,6.4,2556,28.3
池袋地区,19,1.1,80,4.6,689,39.5,497,28.5,340,19.5,20,1.1,44,2.5,38,2.2,19,1.1,1745,36
大崎地区,1,0,44,1.9,180,7.6,484,20.3,774,32.5,71,3,365,15.3,305,12.8,156,6.5,2380,23.4
上野・浅草地区,17,0.9,111,6,254,13.8,493,26.8,602,32.7,68,3.7,53,2.9,92,5,149,8.1,1840,30
錦糸町・亀戸地区,2,0.4,21,3,74,10.8,126,18.3,395,57.5,40,5.8,6,0.9,16,2.4,7,1,687,28.5
臨海地区,0,0,0,0,6,0.5,2,0.2,744,58.3,143,11.2,220,17.2,161,12.6,1,0,1277,19.9
品川地区,0,0,16,0.6,75,2.6,394,13.5,1137,39.1,817,28.1,219,7.5,139,4.8,113,3.9,2911,22.4
秋葉原地区,5,0.8,31,4.9,60,9.3,76,11.8,40,6.3,44,6.9,335,52.4,27,4.2,22,3.4,640,22.3
合計,733,1.2,4479,7.4,7653,12.6,11395,18.8,13424,22.1,7003,11.5,6036,10,5625,9.3,4289,7.1,60636,27.3
