年,地域,事業費a（億円）,用地費ｂ（億円）,ｂ／ａ（%）,買収面積（千m2）,1m2単価（万円）
58,区部,381.3,186.4,48.9,44.1,42.3
58,多摩,129.3,70.3,54.4,48.3,14.6
58,島しょ,22.4,0.8,3.6,20.2,0.4
58,計,533.0,257.5,48.3,112.6,22.9
59,区部,408.8,229.7,56.2,52.4,43.8
59,多摩,149.7,83.5,55.8,61.4,13.6
59,島しょ,24.4,1.0,4.1,25.0,0.4
59,計,582.9,314.2,53.9,138.8,22.6
60,区部,516.6,294.5,57.0,59.5,49.5
60,多摩,164.0,97.8,59.6,81.1,12.1
60,島しょ,28.2,0.7,2.5,18.2,0.4
60,計,708.8,393.1,55.5,158.8,24.8
61,区部,656.6,394.9,60.1,27.3,144.7
61,多摩,209.1,129.3,61.8,69.4,18.6
61,島しょ,41.5,3.2,7.7,26.6,1.2
61,計,907.2,527.4,58.1,123.3,42.8
62,区部,1052.2,732.2,69.6,45.7,160.2
62,多摩,252.8,155.9,61.7,65.5,23.8
62,島しょ,48.3,4.7,9.7,82.0,0.6
62,計,1353.3,892.9,66.0,193.2,46.2
63,区部,1454.3,1168.2,80.3,47.4,246.5
63,多摩,434.1,314.6,72.5,80.1,39.3
63,島しょ,57.4,2.4,4.2,80.3,0.3
63,計,1945.7,1485.2,76.3,207.8,71.5
元,区部,2146.8,1759.4,82.0,59.2,297.2
元,多摩,621.6,495.4,79.7,132.5,37.4
元,島しょ,62.8,1.8,2.9,58.5,0.3
元,計,2831.2,2256.6,79.7,250.2,90.2
2,区部,2982.1,2383.7,79.9,60.2,395.8
2,多摩,715.0,547.3,76.5,128.0,42.8
2,島しょ,55.2,2.1,3.8,36.4,0.6
2,計,3752.3,2933.1,78.2,224.6,130.6
3,区部,3831.2,3063.2,80.0,76.4,400.9
3,多摩,934.9,680.1,72.7,131.0,51.9
3,島しょ,50.8,2.3,4.5,50.7,0.5
3,計,4816.9,3745.6,77.8,258.1,145.1
4,区部,4333.9,3316.8,76.5,90.3,367.3
4,多摩,1036.5,671.4,64.8,141.8,47.3
4,島しょ,47.9,2.0,4.2,31.8,0.6
4,計,5418.3,3990.2,73.6,263.9,151.2
5,区部,3660.9,2791.3,76.2,84.6,329.9
5,多摩,846.2,533.9,63.1,122.0,43.8
5,島しょ,58.9,3.4,5.8,59.9,0.6
5,計,4566.0,3328.6,72.9,266.5,124.9
6,区部,2284.2,1612.9,70.6,68.9,234.1
6,多摩,789.0,415.7,52.7,100.6,41.3
6,島しょ,60.8,3.0,4.9,46.6,0.6
6,計,3134.0,2031.6,64.8,216.1,94.0
7,区部,2178.1,1525.8,70.1,96.6,157.9
7,多摩,833.7,340.4,40.8,126.9,26.8
7,島しょ,54.5,2.2,4.0,34.8,0.6
7,計,3066.3,1868.4,60.9,258.3,72.3
8,区部,1300.6,760.5,58.5,79.7,95.5
8,多摩,1008.2,378.4,37.5,151.4,25.0
8,島しょ,52.3,2.2,4.2,23.2,0.9
8,計,2361.1,1141.1,48.3,254.3,44.9
9,区部,743.9,419.9,56.4,52.3,80.3
9,多摩,703.3,165.0,23.6,61.0,27.0
9,島しょ,47.6,1.9,4.0,27.8,0.7
9,計,1494.8,586.8,39.3,141.1,41.6
10,区部,807.1,488.5,60.5,71.5,68.3
10,多摩,608.4,278.2,45.7,87.2,31.9
10,島しょ,42.1,2.8,6.7,26.1,1.1
10,計,1457.6,769.5,52.8,184.8,41.6
11,区部,696.1,403.0,57.9,74.4,54.2
11,多摩,398.4,226.9,57.0,103.4,21.9
11,島しょ,293.0,2.0,0.7,14.7,1.4
11,計,1387.5,631.9,45.5,192.5,32.8
12,区部,611.6,212.5,34.7,40.5,52.5
12,多摩,336.8,171.3,50.9,99.5,17.2
12,島しょ,26.5,1.1,4.2,7.8,1.4
12,計,974.9,384.9,39.5,147.8,26.0
13,区部,485.1,225.8,46.5,30.4,74.3
