区分,年代別床面積／～1959（千m2）,年代別床面積／1960～1969（千m2）,年代別床面積／1970～1979（千m2）,年代別床面積／1980～1989（千m2）,年代別床面積／1990～1994（千m2）,年代別床面積／1995～1999（千m2）,年代別床面積／2000～2004（千m2）,年代別床面積／2005～2009（千m2）,年代別床面積／2010～2017（千m2）,年代別床面積／合計（千m2）,各区平均築後年数（年）
千代田区,599,2623,3118,4511,1997,1031,2788,3279,3858,23806,26.9
中央区,676,2434,2836,3874,2544,1179,2716,2484,3836,22579,26.9
港区,412,2161,5115,6662,3715,3092,6424,5780,4235,37596,24.9
新宿区,562,2371,4963,5423,2892,2150,2236,1883,3316,25795,29.1
文京区,394,797,1767,2559,1525,1443,1504,1103,1525,12616,27.6
台東区,827,1273,2261,2881,1641,877,1041,1101,1775,13677,30.7
墨田区,549,1075,1856,2525,1580,1375,1280,1558,1970,13767,27.4
江東区,322,1269,3480,5293,3638,3217,3804,4941,4732,30696,23.2
品川区,539,1292,2944,4397,2885,2458,2760,2599,3005,22878,26.0
目黒区,297,939,2046,2261,1983,1434,1465,1300,1700,13425,26.9
大田区,834,2158,4804,7100,4676,3474,4144,3486,5195,35870,26.1
世田谷区,696,1972,4931,7180,4589,4337,4495,4091,5804,38095,25.1
渋谷区,281,1533,3362,3643,2303,2410,2501,1796,2458,20287,27.0
中野区,426,1054,2073,2294,1661,1560,1296,1150,1994,13506,27.4
杉並区,589,1488,3504,4502,2738,2426,2435,2137,2980,22799,27.2
豊島区,540,1300,2976,3354,1949,1329,1235,1535,1805,16023,29.2
北区,479,1296,2448,2358,1573,1424,1299,1250,2001,14129,28.4
荒川区,384,759,1227,1561,1100,830,946,1195,1149,9151,27.5
板橋区,465,1415,4232,4629,2612,2229,2459,2107,2999,23147,27.5
練馬区,349,1478,3517,5536,3789,3333,3167,2537,3692,27398,25.5
足立区,452,1651,4313,5197,2936,2804,2733,3245,3950,27282,26.0
葛飾区,345,1260,2508,3553,2137,1967,1772,1796,2412,17751,26.7
江戸川区,249,1112,3413,5781,4075,3384,2969,2257,3065,26304,25.7
合計,11266,34710,73693,97073,60538,49763,57467,54609,69455,508575,26.5
都心３区,1687,7218,11070,15048,8256,5302,11928,11544,11930,83981,26.0
都心５区,2530,11122,19394,24114,13450,9862,16665,15223,17703,130063,26.8
他18区,8736,23588,54299,72959,47088,39901,40802,39386,51752,378512,26.5
