年(昭和・平成・令和),区部(千m2),区部／指数,市部(千m2),市部／指数,計(千m2),計／指数
50,347750,100,444947,100,792697,100
55,344779,99,443797,100,788576,99
60,338768,97,429113,96,767881,97
2,333449,96,424354,95,757803,96
7,326493,94,420806,95,747299,94
8,324679,93,444760,100,769439,97
9,322187,93,443540,100,765727,97
10,320856,92,441638,99,762494,96
11,319232,92,440889,99,760121,96
12,318420,92,438960,99,757380,96
13,316407,91,438806,99,755213,95
14,315064,91,438087,98,753151,95
15,313621,90,437088,98,750708,95
16,312480,90,436367,98,748847,94
17,311332,90,435155,98,746486,94
18,310132,89,434974,98,745106,94
19,308865,89,433379,97,742244,94
20,307184,88,431765,97,738949,93
21,306247,88,430936,97,737183,93
22,305198,88,430553,97,735751,93
23,304273,87,430338,97,734612,93
24,303665,87,429653,97,733318,93
25,302837,87,429997,97,732834,92
26,302172,87,429481,97,731653,92
27,301201,87,429066,96,730268,92
28,300313,86,428455,96,728768,92
29,299570,86,428224,96,727794,92
30,298921,86,427978,96,726900,92
31,298285,86,427989,96,726274,92
2,297612,86,427127,96,724739,91
3,296955,85,427626,96,724581,91
