地域,年代別床面積(千m2)／～1959,年代別床面積(千m2)／1960～1969,年代別床面積(千m2)／1970～1979,年代別床面積(千m2)／1980～1989,年代別床面積(千m2)／1990～1999,年代別床面積(千m2)／2000～2009,年代別床面積(千m2)／2010～2014,年代別床面積(千m2)／2015～2019,年代別床面積(千m2)／2020～2021,年代別床面積(千m2)／合計,"平均築後年数(年)"
千代田区,322,1824,1846,3336,2388,4197,2012,2157,139,18221,28
中央区,262,1347,1484,2499,2516,1863,1184,1156,53,12366,30.9
港区,55,759,1684,3751,3900,5520,1037,1350,225,18279,26.9
新宿区,33,335,1629,1660,2312,471,579,339,25,7382,32.5
文京区,31,101,193,535,947,255,106,34,7,2209,31.4
台東区,19,173,344,701,837,164,142,187,18,2586,32
墨田区,14,59,104,243,599,213,47,30,27,1335,29.4
江東区,5,64,139,619,2065,1256,881,100,215,5344,22.8
品川区,5,113,305,937,2114,1225,417,401,20,5538,25.7
目黒区,13,67,221,155,566,175,45,31,12,1285,32
大田区,14,134,330,459,1031,696,345,198,21,3228,27
世田谷区,5,80,187,273,527,148,44,234,36,1534,28.4
渋谷区,8,363,752,1106,1965,986,379,830,57,6447,27.4
中野区,1,48,113,116,485,48,207,19,7,1044,27.6
杉並区,8,68,106,225,298,96,25,34,13,874,32.6
豊島区,20,120,813,699,647,120,49,106,77,2650,34.8
北区,6,72,91,136,279,141,46,42,11,824,30.1
荒川区,12,28,41,114,195,85,24,11,3,513,30.9
板橋区,4,77,105,182,332,101,68,62,17,950,30.1
練馬区,3,78,89,134,238,78,43,42,16,721,31.5
足立区,7,50,118,186,190,113,69,81,18,832,29
葛飾区,6,63,59,127,112,78,21,52,14,532,30.9
江戸川区,5,50,79,258,358,121,45,41,24,980,30.2
区全体,859,6071,10831,18450,24900,18151,7817,7539,1057,95678,28.6
都心3区,639,3929,5014,9586,8804,11580,4233,4663,417,48866,28.3
都心5区,681,4627,7394,12353,13081,13037,5191,5833,499,62696,28.7
他18区,179,1445,3437,6098,11819,5114,2626,1706,558,32982,28.5
