区市町村名,住宅地　変動率,継続地点数,商業地　変動率,継続地点数,工業地　変動率,継続地点数,全用途平均　変動率,継続地点数
千代田区,1.1,4,-1.2,28,―,―,-0.9,32
中央区,1.1,4,-1.9,27,―,―,-1.5,31
港区,1.8,10,-0.7,27,2.0,1,0.1,38
新宿区,1.0,12,-1.8,29,―,―,-1.0,41
文京区,0.3,7,0.3,10,―,―,0.3,17
台東区,1.7,2,0.0,23,―,―,0.2,25
墨田区,0.4,5,0.5,13,―,―,0.5,18
江東区,0.8,14,0.5,11,2.1,2,0.8,27
品川区,1.9,10,-0.1,12,―,―,0.8,22
目黒区,0.8,9,-0.1,7,―,―,0.5,16
大田区,0.3,25,0.4,17,2.4,2,0.4,44
世田谷区,0.1,45,0.4,16,―,―,0.2,61
渋谷区,0.3,9,-0.6,18,―,―,-0.3,27
中野区,0.8,11,0.6,10,―,―,0.7,21
杉並区,0.8,25,0.6,14,―,―,0.8,39
豊島区,1.2,9,-0.1,13,―,―,0.5,22
北区,0.3,12,0.4,10,1.2,1,0.4,23
荒川区,0.6,6,0.4,8,―,―,0.5,14
板橋区,0.2,19,0.1,12,―,―,0.2,31
練馬区,0.3,35,0.0,12,―,―,0.3,47
足立区,0.7,26,0.1,20,1.2,1,0.5,47
葛飾区,0.0,20,-0.2,7,0.0,1,-0.0,28
江戸川区,0.1,28,-0.2,12,―,―,0.0,40
区部,0.5,347,-0.3,356,1.6,8,0.1,711
八王子市,-0.2,73,-0.3,14,1.3,1,-0.2,88
立川市,0.7,15,0.6,6,―,―,0.7,21
武蔵野市,1.5,7,0.6,7,―,―,1.1,14
三鷹市,0.1,13,1.6,3,―,―,0.4,16
青梅市,-0.6,16,-0.6,4,4.2,2,-0.2,22
府中市,1.0,18,0.5,7,―,―,0.8,25
昭島市,-0.5,10,-0.9,3,0.0,1,-0.5,14
調布市,1.1,16,-0.0,5,―,―,0.8,21
町田市,-0.4,43,-0.3,11,―,―,-0.4,54
小金井市,0.1,9,0.0,2,―,―,0.0,11
小平市,-0.0,16,-0.2,3,―,―,-0.1,19
日野市,-1.1,16,0.4,3,―,―,-0.9,19
東村山市,-0.1,11,-0.3,3,―,―,-0.1,14
国分寺市,0.3,9,0.8,2,―,―,0.4,11
国立市,0.6,6,0.0,1,―,―,0.6,7
福生市,0.0,5,-0.8,3,―,―,-0.3,8
狛江市,1.6,5,0.0,1,―,―,1.4,6
東大和市,-1.3,10,-0.5,2,―,―,-1.2,12
清瀬市,-0.3,10,-0.5,2,―,―,-0.4,12
東久留米市,-0.3,11,-0.4,2,―,―,-0.3,13
武蔵村山市,―,9,-0.7,2,―,―,-0.1,11
多摩市,-0.5,14,-0.2,6,―,―,-0.4,20
稲城市,1.6,13,0.3,3,―,―,1.3,16
羽村市,-0.5,5,-0.5,2,2.9,1,-0.1,8
あきる野市,-0.5,11,-0.5,2,―,―,-0.5,13
西東京市,0.0,14,0.7,4,―,―,0.2,18
市部,-0.0,385,-0.0,103,2.5,5,0.0,493
瑞穂町,-0.1,6,-0.8,1,0.0,1,-0.2,8
日の出町,-0.5,4,―,―,―,―,-0.5,4
檜原村,-0.5,3,―,―,―,―,-0.5,3
奥多摩町,-0.8,2,-0.8,2,―,―,-0.8,4
西多摩郡,-0.4,15,-0.8,3,0.0,1,-0.4,19
大島町,0.0,2,-1.6,2,―,―,-0.8,4
新島村,-0.7,2,-3.1,1,―,―,-1.5,3
神津島村,0.0,2,0.0,1,―,―,0.0,3
三宅村,0.0,2,-0.8,1,―,―,-0.3,3
八丈町,0.0,2,-1.4,1,―,―,-0.5,3
小笠原村,0.0,5,0.0,1,―,―,0.0,6
島しょ,-0.1,15,-1.2,7,―,―,-0.4,22
東　京　都,0.2,762,-0.3,469,1.8,14,0.1,"1,245"
