順位,標準地番号,都道府県,標準地の所在地,令和２年,令和３年,変動率
1,大阪中央－5－19,大阪府,道頓堀１丁目３７番外,"8,050,000","5,800,000",-28.0
2,大阪中央－5－2,大阪府,宗右衛門町４６番１外,"28,700,000","21,100,000",-26.5
3,大阪中央－5－15,大阪府,難波１丁目１４番２２外,"10,300,000","7,650,000",-25.7
4,大阪中央－5－24,大阪府,日本橋１丁目１６番４外,"1,500,000","1,160,000",-22.7
5,大阪中央－5－23,大阪府,心斎橋筋２丁目３９番１,"18,700,000","14,900,000",-20.3
6,大阪中央－5－35,大阪府,千日前２丁目１５６番９,"795,000","660,000",-17.0
7,名古屋中－5－28,愛知県,錦３丁目９１４番１外,"1,840,000","1,560,000",-15.2
8,大阪中央－5－20,大阪府,西心斎橋２丁目１０番６外,"3,600,000","3,060,000",-15.0
9,大阪中央－5－25,大阪府,心斎橋筋１丁目３５番３外,"2,630,000","2,250,000",-14.4
10,京都東山－5－1,京都府,新橋通大和大路東入２丁目清本町３５７番,"1,510,000","1,300,000",-13.9
