区分,年代別床面積／～1959(千m2),年代別床面積／1960～1969(千m2),年代別床面積／1970～1979(千m2),年代別床面積／1980～1989(千m2),年代別床面積／1990～1999(千m2),年代別床面積／2000～2009(千m2),年代別床面積／2010～2014(千m2),年代別床面積／2015～2019(千m2),年代別床面積／2020～2021(千m2),年代別床面積／合計(千m2),各区平均築後年数(年)
千代田区,561,2418,2910,4417,2999,6073,2756,2840,282,25255,28.3
中央区,560,2075,2550,3720,3677,5178,2259,3109,364,23492,27.8
港区,277,1825,4495,6376,6669,12160,2668,3091,601,38162,26.7
新宿区,482,2108,4715,5298,4972,4101,2060,2108,542,26387,31
文京区,320,716,1674,2498,2926,2598,1037,872,229,12869,29.6
台東区,714,1121,2058,2814,2478,2129,1152,1312,516,14295,31.3
墨田区,461,924,1723,2454,2921,2831,1299,1112,458,14182,28.8
江東区,270,1107,3287,5149,6728,8698,3140,2503,1134,32016,25.3
品川区,448,1136,2737,4262,5273,5347,1921,2331,450,23904,27.5
目黒区,254,820,1901,2150,3357,2746,1114,1032,360,13735,28.7
大田区,695,1905,4300,6865,8002,7595,3380,3279,873,36893,27.7
世田谷区,579,1725,4540,6843,8711,8529,3623,3581,1036,39166,26.9
渋谷区,211,1354,3145,3480,4609,4257,1605,2006,577,21244,28.1
中野区,353,938,1922,2217,3169,2431,1294,1203,413,13939,28.9
杉並区,487,1316,3241,4278,5060,4554,1876,1848,626,23287,28.9
豊島区,468,1161,2811,3261,3229,2747,1219,1110,338,16344,31
北区,407,1115,2288,2244,2941,2533,1231,1335,415,14510,29.7
荒川区,322,650,1132,1511,1912,2125,737,687,267,9343,29
板橋区,385,1204,3965,4506,4755,4539,1923,1747,618,23640,29.4
練馬区,290,1268,3215,5321,6992,5675,2295,2403,765,28222,27.3
足立区,379,1475,3979,5005,5652,5940,2512,2374,812,28127,27.8
葛飾区,291,1114,2310,3433,4047,3557,1459,1467,458,18135,28.6
江戸川区,206,965,3167,5591,7354,5202,1939,1827,571,26820,28
合計,9419,30438,68064,93691,108433,111547,44500,45176,12701,523969,28.2
都心３区,1398,6318,9955,14513,13345,23411,7684,9040,1247,86909,27.5
都心５区,2091,9780,17815,23291,22925,31770,11349,13154,2366,134541,28.3
他18区,7329,20658,50249,70400,85508,79777,33151,32021,10335,389429,28.2
