年(昭和・平成・令和),合計(ha),宅地(ha),宅地／構成比(%),農地(ha),農地／構成比(%),山林(ha),山林／構成比(%),その他(ha),その他／構成比(%)
30,37000,23231,62.8,11836,32,800,2.2,1133,3.1
35,37338,25278,67.7,10277,27.5,685,1.8,1097,2.9
40,36282,26793,73.8,7681,21.2,618,1.7,1190,3.3
45,35526,27920,78.6,5301,14.9,484,1.4,1822,5.1
50,34774,29734,85.5,3195,9.2,373,1.1,1472,4.2
55,34478,30634,88.9,2467,7.2,282,0.8,1096,3.2
60,33877,30930,91.3,2009,5.9,120,0.4,818,2.4
2,34445,31292,90.8,1668,4.8,65,0.2,1421,4.1
7,34020,31411,92.3,1221,3.6,48,0.1,1340,3.9
12,33646,31313,93.1,999,3,33,0.1,1301,3.9
13,33566,31319,93.3,928,2.8,31,0.1,1289,3.8
14,33535,31394,93.6,839,2.5,28,0.1,1275,3.8
15,33509,31419,93.8,814,2.4,27,0.1,1248,3.7
16,33529,31479,93.9,782,2.3,25,0.1,1243,3.7
17,33525,31524,94,762,2.3,25,0.1,1215,3.6
18,33527,31556,94.1,739,2.2,24,0.1,1208,3.6
19,33489,31563,94.2,716,2.1,22,0.1,1187,3.5
20,33406,31486,94.3,693,2.1,21,0.1,1206,3.6
21,33380,31484,94.3,675,2,20,0.1,1201,3.6
22,33357,31489,94.4,654,1.9,20,0.1,1194,3.6
23,33318,31497,94.5,615,1.8,19,0.1,1187,3.6
24,33313,31509,94.6,600,1.8,19,0.1,1184,3.5
25,33305,31530,94.7,580,1.7,19,0.1,1176,3.5
26,33300,31547,94.7,562,1.7,18,0.1,1174,3.5
27,33278,31542,94.8,545,1.6,17,0.1,1174,3.5
28,33278,31562,94.8,530,1.6,16,0,1170,3.5
29,33270,31570,94.9,515,1.5,16,0,1169,3.5
30,33263,31584,95,496,1.5,15,0,1167,3.5
31,33253,31589,95,483,1.5,15,0,1167,3.5
2,33073,31423,95,469,1.4,14,0,1167,3.5
3,33219,31608,95.1,459,1.4,14,0,1139,3.4
