区市名,令和3年／個人(千m2),令和3年／法人(千m2),令和3年／計(千m2),令和2年／個人(千m2),令和2年／法人(千m2),令和2年／計(千m2),令和3年-令和2年／個人(千m2),令和3年-令和2年／法人(千m2),令和3年-令和2年／計(千m2)
区部／千代田区,553,2558,3110,562,2555,3118,-10,2,-7
区部／中央区,672,2376,3048,679,2376,3055,-7,0,-7
区部／港区,1845,5374,7219,1873,5392,7265,-27,-18,-45
区部／新宿区,4658,3517,8175,4702,3501,8203,-44,17,-28
区部／文京区,3233,1690,4922,3252,1689,4941,-19,0,-19
区部／台東区,2328,1681,4010,2356,1668,4024,-28,13,-14
区部／墨田区,3802,2129,5931,3835,2112,5947,-33,16,-16
区部／江東区,3799,8499,12298,3833,8522,12355,-34,-23,-57
区部／品川区,5674,4023,9697,5707,4018,9725,-33,5,-27
区部／目黒区,6020,2009,8029,6056,1990,8046,-36,19,-17
区部／大田区,15523,6934,22457,15589,6914,22503,-65,19,-46
区部／世田谷区,25180,5983,31163,25228,5740,30968,-48,243,195
区部／渋谷区,3758,2899,6657,3802,2889,6691,-44,10,-34
区部／中野区,7415,1663,9078,7440,1662,9102,-25,1,-24
区部／杉並区,17158,2823,19981,17187,2801,19988,-29,22,-8
区部／豊島区,5140,1822,6962,5175,1799,6974,-36,24,-12
区部／北区,5869,2736,8605,5897,2735,8631,-28,1,-26
区部／荒川区,3396,1305,4701,3420,1294,4714,-24,11,-13
区部／板橋区,11397,4369,15766,11436,4356,15793,-39,12,-27
区部／練馬区,23330,3148,26478,23346,3085,26431,-16,62,47
区部／足立区,20132,5412,25544,20179,5393,25572,-47,18,-28
区部／葛飾区,12522,2853,15375,12580,2818,15399,-58,34,-24
区部／江戸川区,16869,4770,21639,16942,4723,21665,-74,47,-27
区部／区部計,200272,80571,280844,201076,80033,281109,-804,538,-266
市部／八王子市,31035,7600,38635,30908,7660,38568,128,-60,68
市部／立川市,7875,3017,10893,7838,3029,10868,37,-12,25
市部／武蔵野市,5110,1220,6330,5101,1224,6325,9,-4,5
市部／三鷹市,7307,1395,8702,7261,1444,8705,46,-48,-2
市部／青梅市,10482,2217,12699,10453,2217,12670,29,0,29
市部／府中市,9874,3163,13037,9840,3167,13007,34,-4,30
市部／昭島市,5210,2479,7689,5200,2381,7581,10,98,108
市部／調布市,8491,1812,10303,8465,1795,10260,26,18,43
市部／町田市,24236,4305,28540,24120,4355,28475,116,-50,66
市部／小金井市,5122,656,5778,5123,656,5778,0,0,0
市部／小平市,8604,1749,10354,8571,1752,10323,33,-3,31
市部／日野市,8875,2495,11370,8832,2504,11336,43,-8,34
市部／東村山市,6847,949,7796,6816,962,7778,31,-13,18
市部／国分寺市,5322,1136,6458,5281,1143,6424,41,-7,34
市部／国立市,3386,753,4139,3388,749,4138,-2,3,1
市部／福生市,3103,533,3635,3102,523,3625,1,10,10
市部／狛江市,3103,357,3461,3090,360,3450,14,-3,10
市部／東大和市,4490,727,5217,4473,723,5195,17,4,21
市部／清瀬市,3107,601,3707,3074,605,3678,33,-4,29
市部／東久留米市,5619,1147,6766,5584,1160,6744,35,-13,22
市部／武蔵村山市,4601,886,5487,4595,861,5456,5,26,31
市部／多摩市,6003,2194,8197,5982,2186,8168,21,8,29
市部／稲城市,4007,1034,5041,3948,1010,4958,59,24,83
市部／羽村市,3609,1858,5467,3603,1858,5461,6,0,7
市部／あきる野市,7504,888,8392,7481,891,8372,23,-3,21
市部／西東京市,7803,1131,8934,7751,1150,8901,52,-19,33
市部／市部計,200724,46305,247029,199878,46365,246243,846,-60,786
区部・市部計,400996,126876,527872,400954,126398,527353,42,478,520
