年（昭和・平成）,月,東京都／件数（件）,東京都／指数,東京都／全国比（％）,東京都／前年比同月比（％）,東京圏／件数（件）,東京圏／指数,東京圏／全国比（％）,東京圏／前年比同月比（％）,東京法務局管内／件数（件）,東京法務局管内／全国比（％）,東京法務局管内／前年比同月比（％）,全国／件数（件）,全国／指数,全国／前年比同月比（％）,神奈川県／件数（件）,神奈川県／指数,神奈川県／全国比（％）,神奈川県／前年比同月比（％）,埼玉県／件数（件）,埼玉県／指数,埼玉県／全国比（％）,埼玉県／前年比同月比（％）,千葉県／件数（件）,千葉県／指数,千葉県／全国比（％）,千葉県／前年比同月比（％）
16,,175258,127.4,10.9,2.7,464712,89.7,29.0,2.2,,,,1600801,61.6,-0.4,115808,107.3,7.2,3.3,93894,67.4,5.9,4.5,79752,59.7,5,-3.2
17,,173073,125.8,11.0,-1.2,469226,90.5,29.7,1.0,,,,1580390,60.8,-1.3,111759,103.6,7.1,-3.5,99478,71.4,6.3,5.9,84916,63.6,5.4,6.5
18,,164755,119.8,10.7,-4.8,465763,89.9,30.1,-0.7,676535,43.7,,1546591,59.5,-2.1,115367,106.9,7.5,3.2,98784,70.9,6.4,-0.7,86857,65.1,5.6,2.3
19,,149171,108.4,10.4,-9.5,429517,82.9,29.8,-7.8,628766,43.7,-7.1,1440127,55.4,-6.9,105918,98.2,7.4,-8.2,89660,64.3,6.2,-9.2,84768,63.5,5.9,-2.4
20,,121103,88.0,9.4,-18.8,362216,69.9,28.0,-15.7,547616,42.3,-12.9,1294121,49.8,-10.1,91241,84.6,7.1,-13.9,78906,56.6,6.1,-12.0,70966,53.2,5.5,-16.3
21,,120069,87.3,10.2,-0.9,342973,66.2,29.1,-5.3,510565,43.3,-6.8,1179483,45.4,-8.9,81360,75.4,6.9,-10.8,70947,50.9,6.0,-10.1,70597,52.9,6,-0.5
22,,114780,83.4,9.9,-4.4,330033,63.7,28.6,-3.8,490346,42.5,-4.0,1154026,44.4,-2.2,78064,72.4,6.8,-4.1,73821,53.0,6.4,4.1,63368,47.5,5.5,-10.2
23,,114983,83.6,10.1,0.2,326105,62.9,28.7,-1.2,479753,42.2,-2.2,1135917,43.7,-1.6,79630,73.8,7.0,2.0,72963,52.3,6.4,-1.2,58529,43.8,5.2,-7.6
24,,127978,93.0,10.6,11.3,355815,68.6,29.6,9.1,516448,42.9,7.6,1204101,67.9,6.0,88025,81.6,7.3,10.5,79256,56.9,6.6,8.6,60556,45.4,5,3.5
25,,136259,99.0,10.6,6.5,371374,71.6,29.0,4.4,540793,42.2,4.7,1281328,49.3,6.4,89626,83.1,7.0,1.8,81628,58.6,6.4,3.0,63861,47.8,5,5.5
26,,132300,96.2,10.5,-2.9,358526,69.2,28.5,-3.5,526445,41.9,-2.7,1256749,48.4,-1.9,85035,78.8,6.8,-5.1,77353,55.5,6.2,-5.2,63838,47.8,5.1,0
27,,139867,101.7,10.9,5.7,378302,73.0,29.4,5.5,553479,43.0,5.1,1286733,49.5,2.4,88192,81.7,6.9,3.7,81181,58.2,6.3,4.9,69062,51.7,5.4,8.2
28,,136993,99.6,10.6,-2.1,371019,71.6,28.7,-1.9,547422,42.4,-1.1,1290570,49.7,0.3,85381,79.1,6.6,-3.2,80551,57.8,6.2,-0.8,68094,51,5.3,-1.4
29,,140156,101.9,10.6,2.3,380514,73.4,28.9,2.6,564365,42.8,3.1,1317098,50.7,2.1,87581,81.2,6.6,2.6,81756,58.7,6.2,1.5,71021,53.2,5.4,4.3
30,,136896,99.5,10.5,-2.3,375449,72.4,28.7,-1.3,554518,42.4,-1.7,1307100,50.3,-0.8,87824,81.4,6.7,0.3,79108,56.8,6.1,-3.2,71621,53.7,5.5,0.8
29,1,10057,81.6,10.7,3.8,26639,63.2,28.3,1.6,40998,43.6,2.8,93983,44.0,0.8,5971,70.6,6.4,5.9,5507,46.4,5.9,-1.4,5104,53.7,5.4,-3.8
29,2,10438,84.7,10.6,4.2,28347,67.2,28.7,4.1,42473,43.0,2.5,98669,46.2,-0.8,6384,75.5,6.5,3.9,6470,54.5,6.6,10.7,5055,53.2,5.1,-3.3
29,3,13592,110.3,10.6,-2.4,36211,85.9,28.3,-2.5,52961,41.4,-3.1,127925,60.0,-1.9,8976,106.1,7.0,3.6,7385,62.2,5.8,-8.3,6258,65.8,4.9,-3.8
29,4,13673,111.0,11.7,5.0,36277,86.0,31.0,6.2,52204,44.7,7.4,116867,54.8,3.4,8529,100.8,7.3,5.4,7613,64.1,6.5,4.9,6462,68,5.5,11.5
29,5,12158,98.7,11.4,7.9,32187,76.3,30.1,4.8,47163,44.1,7.4,106893,50.1,5.0,7440,88.0,7.0,6.6,6254,52.7,5.9,-4.2,6335,66.6,5.9,6.8
29,6,11322,91.9,10.4,-0.1,31700,75.2,29.1,-0.7,47128,43.3,-0.2,108837,51.0,0.2,7285,86.1,6.7,1.6,6626,55.8,6.1,-7.1,6467,68,5.9,3.1
29,7,10621,86.2,10.1,5.3,30678,72.8,29.3,6.2,45174,43.1,4.9,104724,49.1,2.3,7141,84.4,6.8,6.2,7029,59.2,6.7,8.8,5887,61.9,5.6,4.7
29,8,10993,89.2,10.2,0.5,30698,72.8,28.6,1.7,45244,42.1,3.4,107435,50.4,2.5,7275,86.0,6.8,1.0,6826,57.5,6.4,2.0,5604,59,5.2,4.9
29,9,10418,84.5,10.4,1.5,28833,68.4,28.9,2.5,43025,43.1,2.5,99879,46.8,0.9,6707,79.3,6.7,3.5,6237,52.5,6.2,-2.2,5471,57.6,5.5,9
29,10,11810,95.8,10.4,-5.5,32607,77.3,28.6,2.1,47962,42.1,2.1,113893,53.4,5.2,7368,87.1,6.5,5.5,7146,60.2,6.3,1.9,6283,66.1,5.5,15.2
29,11,11477,93.1,10.6,-1.9,30691,72.8,28.4,-0.6,45726,42.2,0.5,108244,50.7,1.1,6617,78.2,6.1,-6.4,7051,59.4,6.5,10.6,5546,58.3,5.1,-3.4
29,12,13597,110.3,10.5,11.0,35646,84.5,27.5,6.1,54307,41.9,7.6,129749,60.8,5.8,7888,93.3,6.1,-4.1,7612,64.1,5.9,5.2,6549,68.9,5,11.3
29,計,140156,101.9,10.6,2.3,380514,73.4,28.9,2.6,564365,42.8,3.1,1317098,50.7,2.1,87581,81.2,6.6,2.6,81756,58.7,6.2,1.5,71021,53.2,5.4,4.3
30,1,9683,78.6,10.8,-3.7,25918,61.5,28.9,-2.7,39122,43.6,-4.6,89699,42.0,-4.6,5553,65.7,6.2,-7.0,5510,46.4,6.1,0.1,5172,54.4,5.8,1.3
30,2,9640,78.2,10.2,-7.6,26960,63.9,28.5,-4.9,39889,42.2,-6.1,94460,44.3,-4.3,6527,77.2,6.9,2.2,5486,46.2,5.8,-15.2,5307,55.8,5.6,5
30,3,12415,100.8,10.1,-8.7,34834,82.6,28.3,-3.8,51426,41.8,-2.9,123022,57.7,-3.8,8670,102.5,7.0,-3.4,6981,58.8,5.7,-5.5,6768,71.2,5.5,8.1
30,4,13228,107.4,11.7,-3.3,35442,84.1,31.3,-2.3,49774,44.0,-4.7,113063,53.0,-3.3,8781,103.8,7.8,3.0,7154,60.2,6.3,-6.0,6279,66.1,5.6,-2.8
30,5,12299,99.8,10.8,1.2,34759,82.4,30.5,8.0,49968,43.8,5.9,113984,53.4,6.6,8420,99.6,7.4,13.2,7239,61.0,6.4,15.7,6801,71.6,6,7.4
30,6,10471,85.0,10.0,-7.5,29121,69.1,27.9,-8.1,44132,42.3,-6.4,104320,48.9,-4.2,6487,76.7,6.2,-11.0,6258,52.7,6.0,-5.6,5905,62.1,5.7,-8.7
30,7,11702,95.0,10.6,10.2,31349,74.4,28.5,2.2,46136,42.0,2.1,109977,51.5,5.0,6964,82.3,6.3,-2.5,6724,56.6,6.1,-4.3,5959,62.7,5.4,1.2
30,8,11050,89.7,10.2,0.5,30664,72.7,28.2,-0.1,45490,41.8,0.5,108727,51.0,1.2,7135,84.4,6.6,-1.9,6803,57.3,6.3,-0.3,5676,59.7,5.2,1.3
30,9,9642,78.3,10.7,-7.4,25782,61.2,28.7,-10.6,38258,42.6,-11.1,89900,42.1,-10.0,6048,71.5,6.7,-9.8,5313,44.7,5.9,-14.8,4779,50.3,5.3,-12.6
30,10,12922,104.9,10.6,9.4,35647,84.6,29.2,9.3,52470,43.0,9.4,122094,57.2,7.2,8139,96.2,6.7,10.5,7810,65.8,6.4,9.3,6776,71.3,5.5,7.8
30,11,11104,90.1,10.1,-3.2,30859,73.2,28.0,0.5,46472,42.1,1.6,110355,51.7,2.0,7173,84.8,6.5,8.4,6707,56.5,6.1,-4.9,5875,61.8,5.3,5.9
30,12,12740,103.4,10.0,-6.3,34114,80.9,26.8,-4.3,51381,40.3,-5.4,127499,59.8,-1.7,7927,93.7,6.2,0.5,7123,60.0,5.6,-6.4,6324,66.5,5,-3.4
30,計,136896,99.5,10.5,-2.3,375449,72.4,28.7,-1.3,554518,42.4,-1.7,1307100,50.3,-0.8,87824,81.4,6.7,0.3,79108,56.8,6.1,-3.2,71621,53.7,5.5,0.8
