区分,～1959（千m2）,1960～1969（千m2）,1970～1979（千m2）,1980～1989（千m2）,1990～1994（千m2）,1995～1999（千m2）,2000～2004（千m2）,2005～2009（千m2）,2010～2016（千m2）,合計（千m2）,平均築後年数（年）
千代田区,333,1988,2029,3424,1733,709,1990,2201,2437,16843,26.2
中央区,328,1672,1727,2624,2066,492,1147,727,1506,12289,29.2
港区,139,992,2051,3912,2581,1395,3366,2165,1397,17999,24.7
新宿区,39,462,1734,1702,1528,805,333,140,715,7458,29.1
文京区,34,109,210,547,578,394,194,64,130,2261,26.9
台東区,24,212,426,721,706,147,83,90,215,2623,29.4
墨田区,15,71,121,261,335,268,162,51,57,1343,25.9
江東区,8,74,161,672,1399,723,428,840,908,5213,19.3
品川区,6,123,348,970,1369,755,710,518,582,5381,22.1
目黒区,13,95,249,172,473,100,137,47,47,1334,28.7
大田区,15,147,357,494,842,228,412,300,382,3177,23.8
世田谷区,14,93,205,294,379,163,93,63,226,1530,25.7
渋谷区,12,412,838,1157,1141,883,644,345,469,5901,26.3
中野区,1,54,116,120,235,253,40,10,214,1045,23.3
杉並区,8,84,117,246,232,71,59,40,39,895,29.3
豊島区,23,127,853,712,553,107,67,56,56,2553,32.2
北区,6,76,105,142,230,55,56,85,73,828,26.4
荒川区,13,31,45,118,172,25,37,48,27,516,26.9
板橋区,6,92,121,191,244,103,64,40,96,957,27.4
練馬区,3,84,105,146,192,62,55,26,57,729,28.8
足立区,7,57,125,193,115,80,55,61,97,790,26.8
葛飾区,6,74,69,130,77,41,22,57,53,530,28.6
江戸川区,6,54,93,283,312,71,67,51,64,1000,27.1
区全体,1060,7184,12206,19230,17491,7928,10221,8024,9850,93194,26.2
都心３区,801,4652,5808,9959,6380,2596,6503,5093,5339,47131,26.4
都心５区,851,5526,8379,12818,9049,4284,7480,5578,6524,60489,26.7
他１８区,209,1658,3827,6412,8443,3644,2741,2446,3326,32705,25.2
