区市町村名,住宅地　58年,住宅地　最高値,住宅地　４年,住宅地　上昇率,住宅地　下落率,住宅地　4／58,商業地　58年,商業地　最高値,商業地　４年,商業地　上昇率,商業地　下落率,商業地　4／58
千代田区,"1,058","9,127","2,704",762.6,-70.4,2.6,"2,467","17,527","6,275",610.5,-64.2,2.5
中央区,535,"3,750","1,332",600.9,-64.5,2.5,"3,246","19,258","9,035",493.3,-53.1,2.8
港区,702,"5,717","2,077",714.6,-63.7,3.0,"2,382","18,290","5,114",667.8,-72.0,2.1
新宿区,516,"2,095",817,305.9,-61.0,1.6,"2,809","16,346","4,825",481.8,-70.5,1.7
文京区,509,"1,610","1,011",216.1,-37.2,2.0,"1,082","6,023","1,519",456.5,-74.8,1.4
台東区,577,"1,535",933,166.2,-39.2,1.6,"1,416","6,237","1,571",340.6,-74.8,1.1
墨田区,265,610,444,130.2,-27.3,1.7,654,"3,543",832,441.7,-76.5,1.3
江東区,260,947,489,263.9,-48.3,1.9,636,"2,956",906,364.4,-69.3,1.4
品川区,453,"1,597",860,252.4,-46.1,1.9,"1,202","6,487","1,690",439.6,-74.0,1.4
目黒区,497,"1,919",974,286.3,-49.3,2.0,"1,293","5,769","1,797",346.1,-68.9,1.4
大田区,390,"1,532",533,292.9,-65.2,1.4,897,"3,941",905,339.2,-77.0,1.0
世田谷区,381,"1,380",641,262.2,-53.6,1.7,818,"3,485","1,029",325.9,-70.5,1.3
渋谷区,533,"3,167","1,335",493.8,-57.9,2.5,"2,603","16,796","7,078",545.2,-57.9,2.7
中野区,385,"1,229",606,219.0,-50.7,1.6,953,"3,897","1,245",309.0,-68.1,1.3
杉並区,340,"1,192",550,250.9,-53.9,1.6,977,"3,602",978,268.7,-72.8,1.0
豊島区,407,"1,350",645,231.8,-52.2,1.6,"2,245","10,532","2,174",369.2,-79.4,1.0
北区,335,888,535,165.0,-39.7,1.6,736,"2,792",983,279.2,-64.8,1.3
荒川区,355,848,515,138.7,-39.2,1.5,674,"2,627",888,289.7,-66.2,1.3
板橋区,295,826,434,180.3,-47.5,1.5,804,"2,750",714,242.0,-74.0,0.9
練馬区,269,868,396,223.1,-54.4,1.5,798,"3,088",760,287.0,-75.4,1.0
足立区,219,552,321,152.4,-41.9,1.5,522,"1,996",603,282.1,-69.8,1.2
葛飾区,249,619,323,148.7,-47.7,1.3,831,"2,481",513,198.7,-79.3,0.6
江戸川区,247,797,366,223.2,-54.1,1.5,679,"3,283",648,383.9,-80.3,1.0
区部,356,"1,361",641,282.2,-52.9,1.8,"1,496","8,607","3,066",475.4,-64.4,2.0
八王子市,132,324,116,144.9,-64.1,0.9,658,"2,864",450,335.2,-84.3,0.7
立川市,184,497,253,169.4,-49.1,1.4,"1,037","4,987","1,320",381.0,-73.5,1.3
武蔵野市,321,"1,234",575,284.8,-53.4,1.8,"1,514","6,265","1,955",313.9,-68.8,1.3
三鷹市,271,877,418,223.2,-52.4,1.5,900,"4,750",840,427.8,-82.3,0.9
青梅市,126,280,93,121.8,-67.0,0.7,375,"1,120",188,199.1,-83.2,0.5
府中市,220,598,297,172.4,-50.3,1.4,557,"2,650",560,375.8,-78.9,1.0
昭島市,162,382,186,136.4,-51.3,1.2,406,"1,480",317,264.5,-78.6,0.8
調布市,241,805,344,234.5,-57.3,1.4,685,"3,890",769,467.9,-80.2,1.1
町田市,172,495,156,188.6,-68.5,0.9,767,"3,912",724,410.3,-81.5,0.9
小金井市,264,673,340,154.7,-49.5,1.3,"1,220","4,600",702,277.0,-84.7,0.6
小平市,214,595,230,177.6,-61.4,1.1,380,"1,610",320,324.2,-80.1,0.8
日野市,176,446,189,153.7,-57.7,1.1,649,"2,970",421,358.0,-85.8,0.6
東村山市,189,520,187,175.0,-64.1,1.0,679,"1,935",301,185.0,-84.4,0.4
国分寺市,227,639,291,181.6,-54.5,1.3,738,"3,435",601,365.8,-82.5,0.8
国立市,231,842,345,265.2,-59.1,1.5,840,"3,950",638,370.2,-83.8,0.8
福生市,149,330,164,121.3,-50.5,1.1,371,"2,180",284,487.6,-87.0,0.8
狛江市,258,837,312,223.9,-62.7,1.2,610,"2,530",479,314.8,-81.1,0.8
東大和市,166,376,168,125.7,-55.4,1.0,468,"1,290",196,175.6,-84.8,0.4
清瀬市,187,493,185,163.1,-62.5,1.0,560,"2,470",348,341.1,-85.9,0.6
東久留米市,212,583,215,175.2,-63.1,1.0,600,"2,330",284,288.3,-87.8,0.5
武蔵村山市,136,262,120,92.4,-54.2,0.9,276,465,145,68.5,-68.8,0.5
多摩市,183,642,183,250.6,-71.5,1.0,478,"2,700",396,464.9,-85.3,0.8
稲城市,178,444,237,149.3,-46.5,1.3,242,740,262,205.8,-64.5,1.1
羽村市,146,313,138,114.6,-56.0,0.9,315,800,177,154.0,-77.9,0.6
あきる野市,106,206,96,94.2,-53.6,0.9,136,346,166,154.0,-52.1,1.2
西東京市,237,687,290,190.0,-57.8,1.2,666,"2,105",436,216.1,-79.3,0.7
瑞穂町,104,200,91,92.5,-54.5,0.9,146,387,122,165.1,-68.6,0.8
日の出町,107,182,86,69.3,-52.9,0.8,,93,92,,,
檜原村,,30,,,,,,,,,,
奥多摩町,,40,,,,,,,,,,
