区分,～1959／床面積(千m2),～1959／比率(%),1960～1969／床面積(千m2),1960～1969／比率(%),1970～1979／床面積(千m2),1970～1979／比率(%),1980～1989／床面積(千m2),1980～1989／比率(%),1990～1999／床面積(千m2),1990～1999／比率(%),2000～2004／床面積(千m2),2000～2004／比率(%),2005～2009／床面積(千m2),2005～2009／比率(%),2010～2014／床面積(千m2),2010～2014／比率(%),2015～2020／床面積(千m2),2015～2020／比率(%),合計(千m2),各区平均築後年数
旧都心地区等,509,2,2753,11,2551,10.2,3814,15.2,2575,10.3,3734,14.9,3153,12.6,2853,11.4,3111,12.4,25053,26.8
活力とにぎわいの拠点地区群,150,0.9,1063,6.2,2010,11.8,4242,24.8,4632,27.1,1467,8.6,1438,8.4,1350,7.9,727,4.3,17080,29.8
新宿地区,10,0.2,214,3.7,1331,23.3,983,17.2,1844,32.3,383,6.7,89,1.6,536,9.4,327,5.7,5716,30
渋谷地区,3,0.1,127,4.9,445,17.1,488,18.8,570,21.9,291,11.2,127,4.9,236,9.1,309,11.9,2596,27.5
池袋地区,20,1.1,80,4.5,682,38.4,507,28.6,343,19.3,20,1.1,44,2.5,39,2.2,40,2.2,1775,36.5
大崎・五反田地区,1,0,44,1.9,178,7.5,484,20.4,773,32.5,71,3,365,15.4,305,12.8,156,6.6,2377,24.4
上野・浅草地区,16,0.9,110,6.1,246,13.7,484,27,575,32.1,67,3.8,48,2.7,92,5.1,155,8.7,1794,30.9
錦糸町・亀戸地区,2,0.4,21,3,69,10,125,18.2,395,57.3,40,5.7,6,0.9,16,2.4,15,2.2,689,29.1
有明・台場・青海地区,0,0,0,0,6,0.5,2,0.2,744,58.2,143,11.2,220,17.2,161,12.6,1,0.1,1277,20.9
品川地区,0,0,16,0.6,50,1.7,385,13.3,1134,39.1,817,28.2,219,7.6,139,4.8,138,4.8,2899,22.9
秋葉原地区,4,0.5,31,4.4,59,8.4,76,10.8,40,5.7,44,6.3,335,47.7,27,3.9,85,12.2,702,21.3
合計,715,1.2,4459,7.2,7627,12.3,11592,18.7,13625,22,7076,11.4,6044,9.8,5754,9.3,5064,8.2,61958,27.9
