区分,年代別床面積／～1959(千m2),年代別床面積／1960～1969(千m2),年代別床面積／1970～1979(千m2),年代別床面積／1980～1989(千m2),年代別床面積／1990～1999(千m2),年代別床面積／2000～2009(千m2),年代別床面積／2010～2014(千m2),年代別床面積／2015～2019(千m2),年代別床面積／2020～2021(千m2),年代別床面積／合計(千m2),各区平均築後年数(年)
千代田区,503,2195,2302,3772,2716,4687,2253,2393,203,21025,28.8
中央区,389,1911,1961,2897,2708,2376,1431,1725,161,15559,30.9
港区,132,1080,2463,4419,4690,6363,1206,1847,293,22493,27.5
新宿区,178,1126,2319,2518,2680,833,747,621,108,11129,34.3
文京区,73,188,339,723,1144,483,151,61,8,3172,32.3
台東区,209,348,608,1150,1066,369,358,445,149,4701,32.2
墨田区,105,261,364,633,950,401,382,148,53,3296,30.9
江東区,59,298,791,1830,3954,3388,1392,1054,712,13480,23.3
品川区,75,399,839,1474,2813,1793,599,467,101,8560,28.2
目黒区,36,158,324,237,804,280,80,71,21,2011,32.4
大田区,100,525,904,2116,2405,2018,1130,1060,117,10374,26.7
世田谷区,36,264,471,511,887,593,325,443,73,3603,27.8
渋谷区,53,607,1079,1384,2573,1519,546,1040,102,8904,27.8
中野区,27,102,219,174,553,182,269,59,15,1600,28.8
杉並区,42,209,282,420,504,308,131,99,25,2020,32.6
豊島区,160,416,1221,1077,1127,379,208,196,96,4881,35.3
北区,74,267,261,346,607,441,129,208,24,2357,31.1
荒川区,70,134,153,226,386,274,75,75,25,1418,31.9
板橋区,92,341,643,649,818,672,295,190,45,3745,32.2
練馬区,35,196,296,515,583,429,196,148,38,2436,30.5
足立区,80,332,932,969,899,966,376,391,83,5028,30.3
葛飾区,67,223,330,427,473,474,131,188,30,2344,31.1
江戸川区,57,223,457,1100,1140,545,187,190,75,3975,31.2
合計,2654,11805,19559,29566,36482,29772,12597,13119,2558,158112,29.3
都心３区,1024,5187,6726,11089,10115,13426,4890,5965,656,59077,28.9
都心５区,1254,6920,10124,14991,15368,15778,6184,7626,866,79111,29.5
他18区,1400,4885,9435,14575,21114,13994,6413,5493,1692,79001,29.1
