地域,年代別床面積(千m2)／～1959,年代別床面積(千m2)／1960～1969,年代別床面積(千m2)／1970～1979,年代別床面積(千m2)／1980～1989,年代別床面積(千m2)／1990～1999,年代別床面積(千m2)／2000～2004,年代別床面積(千m2)／2005～2009,年代別床面積(千m2)／2010～2014,年代別床面積(千m2)／2015～2020,年代別床面積(千m2)／合計,"平均築後年数(年)"
千代田区,330,1862,1888,3359,2390,1986,2211,2012,2206,18244,27.3
中央区,293,1468,1570,2530,2518,1144,727,1184,1011,12446,30.8
港区,61,766,1870,3782,3919,3364,2163,1037,1396,18358,26.4
新宿区,36,399,1666,1669,2319,332,140,579,346,7484,31.9
文京区,31,100,198,535,947,194,62,106,36,2209,30.5
台東区,19,180,349,704,838,81,84,139,202,2596,31.2
墨田区,15,66,105,244,599,163,50,47,38,1328,29
江東区,5,66,141,622,2081,421,840,883,108,5167,22.7
品川区,5,119,316,941,2117,707,518,417,414,5555,24.8
目黒区,13,71,222,158,567,133,42,45,37,1289,31.3
大田区,14,135,342,466,1032,411,300,347,209,3256,26.2
世田谷区,10,83,190,279,528,88,60,44,225,1507,28.5
渋谷区,9,368,772,1113,1966,641,346,379,619,6213,27.6
中野区,1,48,114,117,483,40,9,207,24,1043,26.7
杉並区,8,70,109,227,299,57,39,25,39,874,32
豊島区,21,122,824,697,649,64,56,49,57,2539,35.5
北区,6,70,93,137,279,58,84,46,42,815,29.4
荒川区,12,28,42,115,195,37,48,24,11,512,30.1
板橋区,5,81,109,183,336,63,40,68,67,951,29.7
練馬区,3,81,89,135,242,53,26,44,59,732,30.5
足立区,7,52,119,187,191,54,60,69,92,831,28.3
葛飾区,6,67,61,128,114,21,57,21,59,533,30.6
江戸川区,5,50,85,262,358,69,49,45,48,971,29.9
区全体,917,6352,11273,18591,24968,10183,8008,7818,7345,95454,28.2
都心3区,684,4096,5328,9672,8827,6494,5101,4234,4613,49048,27.9
都心5区,730,4862,7765,12454,13112,7467,5586,5191,5578,62745,28.3
他18区,187,1490,3508,6137,11856,2716,2422,2627,1767,32709,28
