地域,年代別床面積(千m2)／～1959,年代別床面積(千m2)／1960～1969,年代別床面積(千m2)／1970～1979,年代別床面積(千m2)／1980～1989,年代別床面積(千m2)／1990～1994,年代別床面積(千m2)／1995～1999,年代別床面積(千m2)／2000～2004,年代別床面積(千m2)／2005～2009,年代別床面積(千m2)／2010～2018,年代別床面積(千m2)／合計,"平均築後年数(年)"
千代田区,334,1899,1952,3403,1697,704,1987,2199,3193,17368,26.9
中央区,313,1534,1640,2552,2051,491,1144,727,1796,12249,30.1
港区,138,927,2009,3879,2555,1394,3365,2163,1976,18405,25.8
新宿区,38,428,1697,1686,1523,805,332,140,784,7433,30.6
文京区,34,104,202,543,574,387,194,63,135,2236,28.7
台東区,21,195,364,717,700,147,82,89,293,2608,30
墨田区,15,69,116,249,336,269,164,51,71,1339,27.5
江東区,8,68,149,634,1368,722,427,840,972,5188,20.9
品川区,5,122,330,946,1363,755,708,518,782,5529,23.1
目黒区,13,91,245,166,472,100,137,47,56,1326,30.4
大田区,14,138,348,484,837,226,410,300,431,3189,25.3
世田谷区,11,87,196,284,370,163,92,61,248,1512,27
渋谷区,11,395,794,1155,1135,880,641,345,711,6068,27.1
中野区,1,54,115,119,234,253,40,8,220,1045,25.2
杉並区,8,78,111,232,232,69,59,39,54,881,30.6
豊島区,22,123,849,702,546,103,67,56,80,2547,33.9
北区,6,73,95,140,226,54,58,84,84,820,27.7
荒川区,13,30,43,115,172,24,37,48,32,514,28.5
板橋区,5,81,117,187,240,99,63,40,113,944,28.5
練馬区,3,82,92,137,189,60,53,26,71,713,29.9
足立区,7,55,122,191,111,80,54,60,137,817,27.3
葛飾区,6,74,64,128,76,41,22,57,67,534,29.7
江戸川区,6,52,88,281,312,70,66,49,81,1004,28.6
区全体,1032,6758,11738,18929,17319,7894,10203,8010,12387,94271,27.3
都心３区,784,4360,5602,9834,6303,2589,6497,5089,6965,48022,27.3
都心５区,834,5183,8092,12674,8962,4274,7470,5574,8460,61523,27.7
他１８区,199,1575,3646,6255,8357,3620,2733,2436,3926,32748,26.5
