区市町村名,住宅地　変動率,継続地点数,商業地　変動率,継続地点数,工業地　変動率,継続地点数,全用途平均　変動率,継続地点数
千代田区,1.7,4,0.7,28,―,―,0.8,32
中央区,1.4,4,0.5,26,―,―,0.6,30
港区,2.0,10,3.5,27,2.5,1,3.1,38
新宿区,2.6,11,1.3,29,―,―,1.6,40
文京区,2.2,6,2.5,11,―,―,2.4,17
台東区,0.6,2,2.3,24,―,―,2.2,26
墨田区,1.7,5,1.7,13,―,―,1.7,18
江東区,1.5,14,2.1,11,2.5,2,1.8,27
品川区,1.1,11,0.9,11,―,―,1.0,22
目黒区,1.5,9,1.6,7,―,―,1.5,16
大田区,0.6,25,1.8,17,3.3,2,1.2,44
世田谷区,1.2,45,2.5,16,―,―,1.5,61
渋谷区,2.1,10,2.7,18,―,―,2.5,28
中野区,1.8,11,2.4,9,―,―,2.1,20
杉並区,1.2,25,2.3,12,―,―,1.5,37
豊島区,2.0,9,2.5,13,―,―,2.3,22
北区,2.2,12,2.8,10,1.2,1,2.4,23
荒川区,2.6,6,2.2,8,―,―,2.4,14
板橋区,1.6,19,1.3,13,―,―,1.5,32
練馬区,0.4,35,1.4,12,―,―,0.7,47
足立区,1.5,28,1.7,20,1.2,1,1.6,49
葛飾区,0.9,20,1.7,7,0.0,1,1.1,28
江戸川区,1.2,27,1.2,12,―,―,1.2,39
区部,1.3,348,1.8,354,2.1,8,1.6,710
八王子市,-0.6,73,-1.0,14,―,―,-0.7,87
立川市,-0.5,15,-0.1,6,―,―,-0.4,21
武蔵野市,0.9,8,1.7,7,―,―,1.3,15
三鷹市,-0.1,13,1.6,3,―,―,0.2,16
青梅市,-3.5,16,-1.8,4,-0.9,2,-2.9,22
府中市,0.4,19,0.3,7,―,―,0.4,26
昭島市,-1.7,9,-1.3,3,-0.7,1,-1.6,13
調布市,0.4,15,0.1,5,―,―,0.3,20
町田市,-0.4,43,-0.3,11,―,―,-0.4,54
小金井市,0.4,9,2.4,2,―,―,0.7,11
小平市,-0.1,16,-0.8,3,―,―,-0.2,19
日野市,-3.1,16,-1.4,3,―,―,-2.8,19
東村山市,-0.5,12,-0.9,3,―,―,-0.6,15
国分寺市,-1.1,9,-2.2,2,―,―,-1.3,11
国立市,-0.7,6,-0.3,1,―,―,-0.7,7
福生市,-1.8,5,-1.8,3,―,―,-1.8,8
狛江市,0.3,4,-0.2,1,―,―,0.2,5
東大和市,-1.1,10,-0.8,2,―,―,-1.1,12
清瀬市,-0.3,10,-0.7,2,―,―,-0.4,12
東久留米市,-0.5,11,-0.6,2,―,―,-0.5,13
武蔵村山市,-2.5,9,-1.4,2,―,―,-2.3,11
多摩市,-0.8,14,-0.3,6,―,―,-0.7,20
稲城市,0.9,13,0.3,3,―,―,0.8,16
羽村市,-2.6,5,-1.9,2,-0.4,1,-2.2,8
あきる野市,-2.4,11,-1.1,2,―,―,-2.2,13
西東京市,-0.3,14,1.5,4,―,―,0.1,18
市部,-0.7,385,-0.3,103,-0.7,4,-0.6,492
瑞穂町,-2.3,6,-0.8,1,-0.8,1,-2.0,8
日の出町,-1.9,4,―,―,―,―,-1.9,4
檜原村,-1.3,3,―,―,―,―,-1.3,3
奥多摩町,-2.5,2,-2.3,2,―,―,-2.4,4
西多摩郡,-2.0,15,-1.8,3,-0.8,1,-1.9,19
大島町,0.0,3,-1.8,2,―,―,-0.7,5
新島村,0.0,2,-3.0,1,―,―,-1.0,3
神津島村,0.0,2,0.0,1,―,―,0.0,3
三宅村,-1.4,2,-0.8,1,―,―,-1.2,3
八丈町,-1.7,2,-1.4,2,―,―,-1.6,4
小笠原村,0.0,5,0.0,1,―,―,0.0,6
島しょ,0.4,16,-1.3,8,―,―,-0.7,24
東　京　都,0.2,764,1.3,468,1.0,13,0.6,"1,245"
