年（平成）,住宅等（件）,商業施設（件）,工場倉庫（件）,娯楽施設（件）,農林水産（件）,他の目的（件）,資産保有（件）,その他（件）,合計（件）
11,0,2,0,0,0,0,7,0,9
12,2,12,1,0,0,2,13,0,30
13,2,15,1,0,0,2,28,4,52
14,10,7,0,0,0,0,39,1,57
15,18,54,4,1,0,6,9,0,92
16,34,64,2,1,0,5,3,1,110
17,39,80,0,0,0,1,1,0,121
18,45,61,4,1,0,2,3,0,116
19,25,78,12,1,0,2,1,0,119
20,21,41,5,1,0,4,1,0,73
21,9,16,4,1,0,2,0,0,32
22,12,25,0,0,0,0,1,0,38
23,16,35,2,1,0,3,0,0,57
24,12,47,5,0,0,3,0,0,67
25,14,54,7,3,0,5,0,0,83
26,17,61,3,2,0,4,0,0,87
27,17,55,4,0,0,9,0,0,85
28,13,50,4,0,0,3,0,0,70
29,14,68,2,0,0,3,0,0,87
30,12,43,11,1,0,4,0,0,71
