区分,～1959／床面積（千m2）,～1959／比率（％）,1960～1969／床面積（千m2）,1960～1969／比率（％）,1970～1979／床面積（千m2）,1970～1979／比率（％）,1980～1989／床面積（千m2）,1980～1989／比率（％）,1990～1994／床面積（千m2）,1990～1994／比率（％）,1995～1999／床面積（千m2）,1995～1999／比率（％）,2000～2004／床面積（千m2）,2000～2004／比率（％）,2005～2009／床面積（千m2）,2005～2009／比率（％）,2010～2017／床面積（千m2）,2010～2017／比率（％）,合計,各区平均築後年数
旧都心地区等,572,2.4,2990,12.7,2752,11.6,3871,16.4,1981,8.4,636,2.7,3734,15.8,3141,13.3,3955,16.7,23634,26.4
活力とにぎわいの拠点地区群,149,0.9,1208,7.1,2086,12.2,4349,25.5,3602,21.1,1052,6.2,1472,8.6,1439,8.4,1729,10.1,17087,27.6
新宿地区,13,0.2,238,4.3,1344,24.0,993,17.7,919,16.4,933,16.7,383,6.8,90,1.6,690,12.3,5603,28.0
渋谷地区,4,0.1,164,6.7,466,18.9,525,21.3,353,14.4,233,9.5,291,11.8,126,5.1,299,12.1,2458,27.8
池袋地区,21,1.2,81,4.6,693,39.3,517,29.3,307,17.4,40,2.2,20,1.1,44,2.5,41,2.3,1764,34.3
大崎地区,2,0.1,45,1.9,182,7.7,487,20.6,389,16.5,385,16.3,71,3.0,365,15.5,438,18.5,2363,21.7
上野・浅草地区,18,1.0,131,7.3,259,14.5,492,27.6,471,26.5,110,6.2,68,3.8,53,3.0,178,10.0,1781,29.4
錦糸町・亀戸地区,3,0.4,23,3.3,81,11.6,127,18.3,181,26.0,215,30.9,40,5.7,6,0.9,21,3.0,696,26.9
有明、台場、青海地区,0,0.0,0,0.0,6,0.5,2,0.2,9,0.7,735,57.6,143,11.2,220,17.2,161,12.6,1277,17.9
品川地区,0,0.0,27,0.9,75,2.6,394,13.5,616,21.1,532,18.2,817,27.9,219,7.5,245,8.4,2926,20.5
秋葉原地区,6,1.0,32,5.0,66,10.1,76,11.7,38,5.9,2,0.3,44,6.8,335,51.7,49,7.5,648,20.7
合計,788,1.3,4939,8.2,8009,13.3,11834,19.6,8867,14.7,4872,8.1,7084,11.8,6038,10.0,7806,13.0,60236,26.6
