都市名,住宅地：22年,住宅地：23年,住宅地：24年,住宅地：25年,住宅地：26年,住宅地：27年,住宅地：28年,住宅地：29年,住宅地：30年,住宅地：31年,住宅地：2年,商業地：22年,商業地：23年,商業地：24年,商業地：25年,商業地：26年,商業地：27年,商業地：28年,商業地：29年,商業地：30年,商業地：31年,商業地：2年
鳥取市,-4.8,-5.5,-5.4,-5,-3.4,-2.3,-1.7,-1.4,-0.9,-0.6,-0.3 ,-5.9,-7.4,-7.4,-6.6,-5.4,-3.7,-2.3,-2,-1.4,-1.1,-0.9 
松江市,-3,-3.3,-3.4,-3,-2.4,-1.9,-1.2,-0.7,-0.4,-0.1,0.1 ,-5.8,-6.5,-6.4,-5.4,-3.9,-2.8,-1.5,-1,-0.6,-0.3,-0.1 
（岡山市）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
山口市,-6,-5.9,-5.1,-3.9,-2.8,-1.5,-0.7,-0.4,0,0.3,0.5 ,-6.8,-6.5,-5.8,-4.8,-3.7,-2.5,-0.8,-0.3,-0.2,0,0.4 
徳島市,-6,-7.2,-8.1,-5.6,-2.6,-0.9,-0.4,-0.1,0.1,0.2,0.3 ,-6.2,-7.2,-8.1,-6,-3.9,-1.7,-0.8,-0.3,0.1,0.2,0.3 
高松市 *2,-6.5,-6.2,-5.7,-4.3,-3,-1.5,-0.8,-0.2,0.2,0.4,0.6 ,-5.5,-6,-5.4,-4.7,-3.4,-1.7,-0.6,-0.2,0.5,0.7,1.1 
松山市 *2,-2.2,-2.3,-2,-2,-1.7,-1.4,-1,-0.9,-0.3,-0.2,0.0 ,-3.2,-3,-2.8,-2.6,-2.1,-1.2,-0.7,-0.5,0.2,0.6,0.8 
高知市 *2,-6.9,-8.6,-9.6,-6.5,-3.4,-2.1,-1.5,-1.1,-0.8,-0.4,-0.4 ,-7.2,-8.1,-9.6,-6.6,-3.9,-2.5,-1.4,-1.2,-0.6,-0.2,0.2 
佐賀市,-4.7,-5.6,-6.1,-4.8,-3.7,-2.6,-1.7,-0.8,0.7,1.1,1.4 ,-5.5,-5.9,-6.4,-6,-4.9,-2.7,-1.4,0.1,2.3,2.6,3.2 
長崎市 *2,-4.1,-3.6,-3.1,-2.6,-1.8,-1.3,-0.8,0,0.9,1,1.3 ,-2.9,-2.8,-2.3,-1.4,-0.2,1.1,1.6,2.9,6.5,5.9,5.3 
（熊本市）,-2.9,-2.3,-1.4,－,－,－,－,－,－,－,－,-3.5,-2.9,-2.2,－,－,－,－,－,－,－,－
大分市 *2,-4.1,-3.7,-3.1,-2.2,-1.5,-0.9,-0.3,0.1,0.7,1.6,2.4 ,-5.9,-5,-4.4,-3.2,-2.2,-1.3,-0.1,0.3,1,1.6,2.1 
宮崎市 *2,-1.9,-2.2,-2.4,-1.6,-1.4,-1,-0.6,-0.1,0,0.2,0.3 ,-3.5,-3.5,-3.4,-3.1,-2.6,-2.1,-1.1,-0.5,-0.2,0.2,0.4 
鹿児島市 *2,-3.5,-3.6,-3.1,-2.9,-1.9,-1.8,-1.2,-0.8,-0.3,0.1,0.2 ,-2.6,-3,-2.6,-2.8,-1.6,-1.3,-0.6,-0.3,0.4,0.9,0.9 
那覇市 *2,-2.4,-1.7,-0.7,-0.2,0.7,1.4,2.9,3.5,6.3,10.6,9.9 ,-3.1,-1.9,-1.1,0.8,1.9,2,3.8,5,8,17.5,20.1 
県庁所在地平均,-4.6,-2.4,-1.9,-1.1,0.3,0.5,0.9,1.1,0.1,2.1,2.4 ,-7.7,-3.5,-2.5,-1.2,1.2,1.7,3.3,4,0.8,6.1,6.7 
旭川市,-7.4,-4.1,-2.6,-2.8,-1.2,-0.8,-0.7,-0.4,-0.4,-0.4,-0.4 ,-7.9,-7.2,-4.6,-3,-1.6,-0.5,0,-0.1,0,0,0.3 
郡山市,-2.6,-2.5,-8.1,-1.7,1.4,3.8,3.2,2.8,2.1,2.2,1.5 ,-4.2,-3.2,-8.9,-2.2,0.9,3,2.7,2.2,1.7,1.9,1.7 
いわき市,-4.5,-4.6,-6.5,0.7,4,7.3,6.7,4.3,2.6,1.1,0.0 ,-4.5,-4.7,-6.8,-2,1.4,3.3,2.8,1.9,1.1,1.1,0.2 
高崎市,-2.7,-3.6,-3.6,-3.3,-1.7,-0.7,-0.3,-0.2,0,0.1,0.2 ,-4,-5.4,-5.5,-4.9,-3.1,-1.5,-0.7,0.2,0.9,1.8,2.3 
川越市,-4.6,-2.5,-2.3,-0.6,1,-0.1,0.1,0.3,0.7,0.9,0.8 ,-3.9,-1.3,-1.5,-0.3,2.2,0.2,1.7,1.7,2.2,2.5,2.2 
川口市,-5.7,-1.3,-1.9,-0.5,0.2,0.9,0.2,0.4,1.1,1.5,4.3 ,-6.9,-2.5,-2.2,-0.5,0.2,1.2,0.9,1.5,2.1,3.3,6.0 
所沢市,-6.8,-1.5,-1.6,-0.5,1.6,0.6,0.3,0.4,1.1,1.2,1.0 ,-10.7,-2.4,-2,-0.2,1.2,0.6,0.7,1.1,1.2,1.6,1.2 
越谷市,-4.4,-2.6,-2.6,-1.5,-0.1,-0.1,0,0.3,1.1,1.1,0.7 ,-6,-3.7,-3.6,-2,-0.6,0,0,0,0.3,0.3,0.0 
市川市,-10.4,-0.3,-2.6,-1,1,0.5,0.4,0.4,1,1.3,1.8 ,-12.8,-1.8,-3.7,-2.7,1.7,1.8,2.1,3.4,4.6,9.3,12.1 
船橋市,-5.3,-1.6,-1.4,0,1.3,0.8,0.7,0.6,0.9,1.3,1.6 ,-4.6,-0.8,-1.3,-0.2,1.8,1.7,1.7,2.3,3.2,5,7.3 
松戸市,-4.6,-2.9,-3.1,-1.9,0.2,0.1,0.3,0.4,0.4,0.7,0.8 ,-5.5,-3,-3.3,-2,0.8,1,1.1,2.2,2.2,5.2,4.5 
柏市,-4.5,-2.2,-3.2,-2.3,-1.3,-1.1,-0.9,-0.9,-0.7,-0.5,-0.4 ,-4.8,-2.6,-3.2,-1.1,0.2,0.3,0.6,1.2,1,1.4,1.0 
八王子市,-6.9,-2.7,-1.4,-0.5,0.2,0.4,0.1,0,0.1,0.2,0.2 ,-7.7,-2.6,-1.9,-1.1,0.4,0.9,0.9,0.8,0.8,0.9,1.6 
町田市,-3.7,-1.5,-0.7,-0.1,0.6,0.2,0,0,0,0.1,0.1 ,-3.9,-1.7,-0.8,-0.2,1.4,1,1.4,1.5,1.3,1.6,1.9 
横須賀市,-3.4,-1.8,-1.9,-1.6,-1.2,-1.4,-1.8,-2.6,-2.6,-2.4,-2.4 ,-3.9,-2,-2.1,-1.5,-1,-0.9,-0.8,-0.7,-0.7,-0.4,-0.2 
藤沢市,-2.9,-1.1,-1.2,-0.2,0.6,0.5,0.4,0,0,0.1,0.2 ,-3.6,-1.5,-1.1,-0.4,0.1,0.2,0.3,0.3,0.2,0.4,0.6 
（相模原市）,-3.1,－,－,－,－,－,－,－,－,－,－,-3.7,－,－,－,－,－,－,－,－,－,－
（浜松市）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
豊橋市,-0.8,-0.3,-0.4,-0.2,0.2,0,-0.2,-0.4,-0.3,-0.2,0.0 ,-1.3,-0.4,-0.1,-0.2,0.1,-0.1,-0.1,-0.4,-0.3,0.3,1.0 
岡崎市,-1,0.1,0.1,1.3,1.7,0.9,0.9,0.8,0.8,1.8,1.8 ,-2.5,-0.8,-0.2,0.3,0.8,0.4,0.6,0.5,0.3,0.6,0.5 
一宮市,-4.2,-1.6,-0.8,0,0.7,0.7,0.7,0.5,0.5,1.3,0.9 ,-4.2,-2,-0.9,0.6,0.9,1,1.6,1.9,1.9,1.8,2.0 
春日井市,-1.5,-0.5,-0.1,0,1.2,0.6,0.7,0.7,1.4,2.2,2.1 ,-2,-0.8,-0.2,0,0.5,0.2,0.4,1,1.7,2.3,2.2 
豊田市,-1.6,-0.2,0.2,1.1,2.6,2.1,3,2.7,3.1,3.3,2.9 ,-2.2,-0.1,0.1,0.7,1.3,1.2,1.7,1.6,2.9,3.8,3.4 
四日市市,-2.2,-1.6,-1.9,-1.5,-0.6,-0.5,-0.5,-0.4,-0.3,-0.1,0.1 ,-2.4,-1.5,-1.7,-1.3,0.1,0.1,0.2,0.2,0.4,0.8,1.2 
（堺市）,－,－,－,－,0,－,－,－,－,－,－,－,－,－,－,0,－,－,－,－,－,－
豊中市,-3.8,-1.6,-0.5,-0.1,0.2,0.4,0.4,0.7,1,1,1.3 ,-4.7,-2.5,-0.6,0,1.6,1.4,2.1,2.3,3.1,5.6,7.1 
吹田市,-4.6,-2.2,-0.6,0,0.5,0.3,0.4,0.5,0.6,1.1,1.5 ,-7.7,-3.9,-0.4,0.3,3.2,2.3,3,3.2,3.5,12,9.3 
高槻市,-3.5,-2.6,-0.7,-0.5,0.3,0.4,0.1,-0.3,-0.3,0,0.2 ,-2.7,-2.9,-0.6,-0.2,0.4,1,1.1,1.2,1.4,2.4,2.6 
枚方市,-5.2,-2.5,-1.4,-1,0,0.1,0.1,0.2,0.1,0.1,0.3 ,-5.2,-2.3,-1.1,-0.5,0.3,0.9,0.6,0.9,1.4,2.4,2.5 
東大阪市,-6.4,-2.2,-1.9,-0.9,-0.4,-0.4,-0.4,-0.4,-0.3,-0.3,-0.3 ,-6.9,-3.3,-3,-1.2,-0.3,-0.2,-0.2,0,0.3,0.8,0.7 
姫路市,-1.8,-1.7,-1.5,-1.6,-1.4,-1.3,-1.2,-1.3,-1.2,-0.9,-0.7 ,-2.4,-1.9,-2,-1.8,-1,-0.7,-0.4,0,0.4,1.4,1.6 
尼崎市,-6,-2.1,-1.1,-0.3,0.3,0.2,0.2,0,-0.1,-0.1,0.1 ,-5.7,-3.6,-1.9,-1,0.2,0.4,0.8,1.1,1.1,1.5,2.7 
西宮市,-5.9,-1.7,-0.1,0.4,1.3,1.5,1.8,1.1,0.5,0.9,0.9 ,-5.8,-3.5,-1,-0.3,1.4,2.1,2.7,2.9,2.6,3,4.1 
倉敷市,-3.1,-3,-2.3,-1.9,-1.1,-0.8,-0.7,-0.6,-0.4,-0.8,0.1 ,-3.8,-3.4,-2.6,-2.1,-1.2,-0.8,-0.3,-0.3,0.1,0.6,0.9 
福山市,-2.9,-2.9,-3.2,-3,-2.6,-2.1,-1.7,-1.1,-0.3,0.1,0.4 ,-3.8,-3.6,-3.7,-3.9,-3,-2.6,-1.9,-0.8,1,1.8,3.0 
久留米市,-3.3,-2.8,-2.1,-1.5,0,0.2,0.3,0.3,0.6,0.6,1.2 ,-7.5,-6,-3.5,-2.4,-0.5,0.1,0.5,0.9,1.7,2.2,2.8 
"30万人以上都市平均
（三大都市圏除く）",-3.7,-3.1,-2.6,-1.6,-0.4,0.3,0.7,0.6,0.8,1.3,2.3 ,-5.5,-4.2,-3.3,-1.9,-0.4,0.7,2.1,2.1,2.7,3.6,5.0 
"30万人以上都市平均
（三大都市圏含む）",-4.5,-2.2,-1.7,-0.8,0.4,0.5,0.8,0.9,1.2,1.7,2.0 ,-7.1,-3.2,-2.2,-0.9,1.2,1.6,3,3.6,4.3,5.6,6.1 
全国平均,-4.2,-2.7,-2.3,-1.6,-0.6,-0.4,-0.2,0,0.3,0.6,0.8 ,-6.1,-3.8,-3.1,-2.1,-0.5,0,0.9,1.4,1.9,2.8,3.1 
