区市町村名　/　用途別,住宅地：昭和58年,住宅地：最高値,住宅地：平成30年,住宅地：上昇率,住宅地：下落率,住宅地：30／58,商業地：昭和58年,商業地：最高値,商業地：平成30年,商業地：上昇率,商業地：下落率,商業地：30／58
千代田区,1058,9127,2619,762.6,-71.3,2.5,2467,17527,6449,610.5,-63.2,2.6
中央区,535,3750,1196,600.9,-68.1,2.2,3246,19258,9010,493.3,-53.2,2.8
港区,702,5717,1781,714.6,-68.8,2.5,2382,18290,4201,667.8,-77,1.8
新宿区,516,2095,709,305.9,-66.1,1.4,2809,16346,4404,481.8,-73.1,1.6
文京区,509,1610,868,216.1,-46.1,1.7,1082,6023,1296,456.5,-78.5,1.2
台東区,577,1535,806,166.2,-47.5,1.4,1416,6237,1291,340.6,-79.3,0.9
墨田区,265,610,394,130.2,-35.5,1.5,654,3543,672,441.7,-81,1
江東区,260,947,431,263.9,-54.5,1.7,636,2956,742,364.4,-74.9,1.2
品川区,453,1597,759,252.4,-52.5,1.7,1202,6487,1470,439.6,-77.3,1.2
目黒区,497,1919,876,286.3,-54.3,1.8,1293,5769,1585,346.1,-72.5,1.2
大田区,390,1532,502,292.9,-67.2,1.3,897,3941,807,339.2,-79.5,0.9
世田谷区,381,1380,589,262.2,-57.3,1.5,818,3485,874,325.9,-74.9,1.1
渋谷区,533,3167,1142,493.8,-63.9,2.1,2603,16796,5944,545.2,-64.6,2.3
中野区,385,1229,544,219,-55.7,1.4,953,3897,1018,309,-73.9,1.1
杉並区,340,1192,500,250.9,-58.1,1.5,977,3602,822,268.7,-77.2,0.8
豊島区,407,1350,548,231.8,-59.4,1.3,2245,10532,1885,369.2,-82.1,0.8
北区,335,888,459,165,-48.3,1.4,736,2792,807,279.2,-71.1,1.1
荒川区,355,848,430,138.7,-49.3,1.2,674,2627,730,289.7,-72.2,1.1
板橋区,295,826,392,180.3,-52.6,1.3,804,2750,624,242,-77.3,0.8
練馬区,269,868,369,223.1,-57.4,1.4,798,3088,689,287,-77.7,0.9
足立区,219,552,284,152.4,-48.7,1.3,522,1996,506,282.1,-74.6,1
葛飾区,249,619,301,148.7,-51.3,1.2,831,2481,466,198.7,-81.2,0.6
江戸川区,247,797,332,223.2,-58.3,1.3,679,3283,572,383.9,-82.6,0.8
区部,356,1361,572,282.2,-58,1.6,1496,8607,2800,475.4,-67.5,1.9
八王子市,132,324,116,144.9,-64.3,0.9,658,2864,443,335.2,-84.5,0.7
立川市,184,497,241,169.4,-51.5,1.3,1037,4987,1240,381,-75.1,1.2
武蔵野市,321,1234,533,284.8,-56.9,1.7,1514,6265,1651,313.9,-73.6,1.1
三鷹市,271,877,394,223.2,-55.1,1.5,900,4750,763,427.8,-83.9,0.8
青梅市,126,280,96,121.8,-65.7,0.8,375,1120,192,199.1,-82.8,0.5
府中市,220,598,285,172.4,-52.3,1.3,557,2650,524,375.8,-80.2,0.9
昭島市,162,382,182,136.4,-52.2,1.1,406,1480,305,264.5,-79.4,0.8
調布市,241,805,326,234.5,-59.5,1.4,685,3890,702,467.9,-82,1
町田市,172,495,156,188.6,-68.5,0.9,767,3912,698,410.3,-82.2,0.9
小金井市,264,673,318,154.7,-52.7,1.2,1220,4600,631,277,-86.3,0.5
小平市,214,595,225,177.6,-62.1,1.1,380,1610,319,324.2,-80.2,0.8
日野市,176,446,188,153.7,-57.8,1.1,649,2970,402,358,-86.5,0.6
東村山市,189,520,184,175,-64.5,1,679,1935,300,185,-84.5,0.4
国分寺市,227,639,280,181.6,-56.2,1.2,738,3435,580,365.8,-83.1,0.8
国立市,231,842,328,265.2,-61,1.4,840,3950,601,370.2,-84.8,0.7
福生市,149,330,163,121.3,-50.7,1.1,371,2180,291,487.6,-86.7,0.8
狛江市,258,837,299,223.9,-64.3,1.2,610,2530,458,314.8,-81.9,0.8
東大和市,166,376,168,125.7,-55.4,1,468,1290,197,175.6,-84.7,0.4
清瀬市,187,493,183,163.1,-62.9,1,560,2470,348,341.1,-85.9,0.6
東久留米市,212,583,211,175.2,-63.8,1,600,2330,281,288.3,-88,0.5
武蔵村山市,136,262,122,92.4,-53.6,0.9,276,465,149,68.5,-68.1,0.5
多摩市,183,642,184,250.6,-71.4,1,478,2700,394,464.9,-85.4,0.8
稲城市,178,444,213,149.3,-52,1.2,242,740,242,205.8,-67.3,1
羽村市,146,313,140,114.6,-55.4,1,315,800,178,154,-77.8,0.6
あきる野市,106,206,99,94.2,-52.2,0.9,136,346,171,154,-50.5,1.3
西東京市,237,687,279,190,-59.4,1.2,666,2105,399,216.1,-81,0.6
瑞穂町,104,200,93,92.5,-53.6,0.9,146,387,120,165.1,-69,0.8
日の出町,107,182,89,69.3,-51.3,0.8,,91,92,,0.8,
檜原村,,30,,,,,,,,,,
奥多摩町,,40,,,,,,,,,,
多摩地域,189,532,209,181,-60.8,1.1,680,3029,577,345.4,-81,0.8
大島町,,14,10,,-30.9,,,108,45,,-58.4,
新島村,,7,7,,-5,,,10,9,,-7,
神津島村,,7,7,,-0.7,,,10,10,,-5,
三宅村,,10,9,,-13.1,,,13,11,,-12,
八丈町,,13,9,,-27.8,,,43,31,,-27.3,
小笠原村,,42,41,,-3.1,,,75,75,,0,
島しょ,,16,14,,-16.4,,,45,30,,-33,
東京都,270,951,399,252.1,-58.1,1.5,1349,7750,2341,474.4,-69.8,1.7
