区分,住宅等（件）,商業施設（件）,工場倉庫（件）,娯楽施設（件）,農林水産（件）,他の目的（件）,資産保有（件）,その他（件）,合計（件）,
平成１１年,0,2,0,0,0,0,7,0,9,
平成１２年,2,12,1,0,0,2,13,0,30,
平成１３年,2,15,1,0,0,2,28,4,52,
平成１４年,10,7,0,0,0,0,39,1,57,
平成１５年,18,54,4,1,0,6,9,0,92,
平成１６年,34,64,2,1,0,5,3,1,110,
平成１７年,39,80,0,0,0,1,1,0,121,
平成１８年,45,61,4,1,0,2,3,0,116,
平成１９年,25,78,12,1,0,2,1,0,119,
平成２０年,21,41,5,1,0,4,1,0,73,
平成２１年,9,16,4,1,0,2,0,0,32,
平成２２年,12,25,0,0,0,0,1,0,38,
平成２３年,16,35,2,1,0,3,0,0,57,
平成２４年,12,47,5,0,0,3,0,0,67,
平成２５年,14,54,7,3,0,5,0,0,83,
平成２６年,17,61,3,2,0,4,0,0,87,
平成２７年,17,55,4,0,0,9,0,0,85,
平成２８年,13,50,4,0,0,3,0,0,70,
平成２９年,14,68,2,0,0,3,0,0,87,
