区分,平成25年,平成26年,平成27年,平成28年,平成29年,平成30年,平成31年,令和2年,令和3年,令和4年
50m2未満／件数(件),25655,24063,25389,24219,24812,24492,26293,25186,25109,23882
50m2未満／面積(m2),472150,433056,443280,425458,431227,419677,451655,448680,439835,401273
50m2以上100m2未満／件数(件),13804,12571,12552,11599,11320,10772,11438,11376,10753,9431
50m2以上100m2未満／面積(m2),974740,891591,892591,823252,805215,763746,809580,804433,761077,666757
100m2以上150m2未満／件数(件),4610,4219,4450,4168,3982,3347,3695,3408,3490,2917
100m2以上150m2未満／面積(m2),535892,491384,517582,486753,465390,390583,429949,395899,405892,339508
150m2以上200m2未満／件数(件),1167,1127,1117,1136,1019,957,912,787,797,788
150m2以上200m2未満／面積(m2),199782,192756,189906,194501,174407,163818,155488,134157,135774,134604
200m2以上300m2未満／件数(件),732,684,650,670,658,574,510,513,511,479
200m2以上300m2未満／面積(m2),173180,163951,154497,160195,156358,137431,121802,121896,121524,113362
300m2以上500m2未満／件数(件),309,294,330,292,314,281,244,207,201,215
300m2以上500m2未満／面積(m2),113822,108473,122752,107005,113904,104541,89943,75059,74057,78299
500m2以上1000m2未満／件数(件),63,86,82,83,80,85,45,46,36,52
500m2以上1000m2未満／面積(m2),40599,55268,53587,54416,52045,55298,27485,29903,23884,34463
1000m2以上2000m2未満／件数(件),9,9,12,9,10,7,5,5,10,13
1000m2以上2000m2未満／面積(m2),12109,11405,14073,10604,13820,9152,5375,6110,13558,15701
2000m2以上5000m2未満／件数(件),2,2,2,0,1,0,0,1,0,1
2000m2以上5000m2未満／面積(m2),6730,4358,6087,0,2032,0,0,4145,0,2039
5000m2以上10000m2未満／件数(件),0,0,0,0,1,0,0,0,0,0
5000m2以上10000m2未満／面積(m2),0,0,0,0,6341,0,0,0,0,0
10000m2以上／件数(件),0,0,0,0,0,0,0,0,0,1
10000m2以上／面積(m2),0,0,0,0,0,0,0,0,0,10362
合計／件数(件),46351,43055,44584,42176,42197,40515,43142,41529,40907,37779
合計／面積(m2),2529004,2352242,2394355,2262184,2220739,2044246,2091277,2020282,1975601,1796368
