区分,年代別床面積／～1959(千m2),年代別床面積／1960～1969(千m2),年代別床面積／1970～1979(千m2),年代別床面積／1980～1989(千m2),年代別床面積／1990～1999(千m2),年代別床面積／2000～2009(千m2),年代別床面積／2010～2014(千m2),年代別床面積／2015～2019(千m2),年代別床面積／2020～2021(千m2),年代別床面積／合計(千m2),各区平均築後年数(年)
千代田区,58,222,608,645,283,1386,503,447,79,4231,25.7
中央区,172,164,589,822,969,2802,828,1384,203,7933,21.8
港区,145,745,2032,1957,1979,5797,1462,1244,308,15669,25.4
新宿区,304,982,2396,2780,2292,3269,1313,1488,433,15257,28.6
文京区,247,527,1335,1774,1782,2115,886,810,220,9697,28.8
台東区,505,773,1450,1664,1412,1760,794,868,366,9593,30.9
墨田区,356,663,1359,1821,1970,2430,918,964,405,10886,28.2
江東区,211,809,2496,3319,2774,5310,1747,1449,422,18536,26.7
品川区,373,737,1898,2788,2460,3554,1322,1864,349,15344,27.1
目黒区,218,662,1577,1913,2554,2466,1034,961,339,11724,28
大田区,595,1379,3396,4749,5597,5578,2250,2219,756,26520,28.1
世田谷区,543,1461,4069,6332,7824,7936,3298,3137,963,35563,26.8
渋谷区,158,747,2066,2096,2036,2738,1059,966,476,12340,28.4
中野区,326,836,1703,2042,2615,2249,1026,1144,398,12339,28.9
杉並区,445,1107,2959,3858,4556,4247,1746,1749,600,21267,28.5
豊島区,308,745,1591,2185,2102,2368,1011,914,242,11464,29.2
北区,334,848,2027,1898,2335,2092,1103,1127,391,12153,29.4
荒川区,252,516,979,1286,1526,1852,661,612,242,7925,28.5
板橋区,292,863,3322,3857,3937,3867,1628,1557,573,19895,28.9
練馬区,255,1072,2919,4805,6409,5246,2099,2255,727,25787,27
足立区,299,1142,3048,4036,4753,4974,2136,1983,729,23099,27.3
葛飾区,223,891,1979,3005,3574,3083,1328,1279,428,15791,28.2
江戸川区,148,742,2710,4490,6214,4657,1753,1636,495,22845,27.5
合計,6765,18632,48505,64125,71951,81775,31904,32056,10143,365857,27.7
都心３区,374,1131,3229,3424,3230,9985,2793,3074,591,27832,24.4
都心５区,837,2860,7691,8300,7558,15992,5165,5528,1499,55429,26.5
他18区,5929,15773,40814,55825,64394,65783,26739,26529,8643,310428,28
