区分,年代別床面積／～1959（千m2）,年代別床面積／1960～1969（千m2）,年代別床面積／1970～1979（千m2）,年代別床面積／1980～1989（千m2）,年代別床面積／1990～1994（千m2）,年代別床面積／1995～1999（千m2）,年代別床面積／2000～2004（千m2）,年代別床面積／2005～2009（千m2）,年代別床面積／2010～2017（千m2）,年代別床面積／合計（千m2）,各区平均築後年数（年）
千代田区,71,263,658,660,141,145,682,708,702,4031,24.3
中央区,205,201,654,850,356,619,1354,1455,1686,7381,20.4
港区,187,852,2182,2064,772,1249,2566,3255,2178,15305,23.3
新宿区,366,1094,2556,2854,1140,1198,1763,1515,2212,14698,27.0
文京区,297,595,1412,1821,814,987,1134,986,1332,9378,27.0
台東区,597,872,1558,1696,773,663,863,902,1225,9149,30.3
墨田区,430,773,1457,1867,1087,904,1018,1420,1498,10455,27.0
江東区,247,915,2602,3381,1157,1646,2420,2895,2586,17849,24.5
品川区,453,853,2030,2876,1168,1350,1772,1792,2189,14483,26.1
目黒区,258,744,1687,2006,1320,1288,1291,1187,1593,11375,26.3
大田区,711,1593,3665,4911,2865,2819,3005,2586,3622,25777,26.4
世田谷区,649,1686,4419,6644,4008,4005,4192,3784,5185,34572,25.0
渋谷区,190,866,2186,2195,853,1225,1574,1176,1600,11865,27.0
中野区,396,939,1847,2115,1386,1273,1217,1042,1686,11901,27.6
杉並区,544,1259,3213,4053,2396,2256,2272,1991,2805,20788,26.9
豊島区,366,864,1710,2263,1018,1124,1085,1301,1557,11288,27.4
北区,395,995,2148,1973,1156,1212,1095,1003,1748,11725,28.3
荒川区,300,604,1053,1328,822,719,790,1067,1027,7710,27.0
板橋区,345,1008,3517,3949,2092,1894,2101,1775,2581,19263,27.0
練馬区,308,1258,3196,4999,3415,3090,2895,2371,3412,24945,25.3
足立区,362,1285,3318,4190,2450,2362,2321,2673,3341,22302,25.6
葛飾区,270,1014,2141,3109,1876,1739,1623,1469,2137,15378,26.3
江戸川区,180,865,2899,4619,3306,2975,2658,2014,2762,22279,25.2
合計,8128,21399,52110,66422,36371,36743,41693,40367,50665,353898,26.1
都心３区,463,1317,3494,3574,1269,2013,4602,5418,4566,26717,22.7
都心５区,1019,3277,8236,8624,3263,4436,7939,8108,8378,53280,24.8
他18区,7109,18122,43875,57798,33108,32307,33753,32259,42287,300618,26.3
