年(昭和・平成・令和),個人／面積(千m2),個人／構成比(%),法人／面積(千m2),法人／構成比(%)
50,600647,75.8,192050,24.2
51,602787,75.5,195521,24.5
52,608637,76.2,189640,23.8
53,601195,75.7,192539,24.3
54,599046,75.9,190353,24.1
55,597597,75.8,191202,24.2
56,595143,76.2,186157,23.8
57,593857,76.2,185666,23.8
58,591658,76.2,185146,23.8
59,589459,76.1,184929,23.9
60,584255,76.1,183625,23.9
61,580934,75.7,186515,24.3
62,575934,75.3,189352,24.7
63,561690,74.5,192075,25.5
64,558537,73.4,202058,26.6
2,554030,73.1,203773,26.9
3,552976,72.7,207993,27.3
4,550025,72.6,207661,27.4
5,545920,72.4,207848,27.6
6,542673,72.3,208071,27.7
7,539624,72.2,207675,27.8
8,558519,72.6,210919,27.4
9,555187,72.5,210541,27.5
10,553035,72.5,209459,27.5
11,551736,72.6,208385,27.4
12,551717,72.8,205663,27.2
13,551209,73,204004,27
14,550048,73,203103,27
15,549409,73.2,201299,26.8
16,549259,73.3,199588,26.7
17,548330,73.5,198156,26.5
18,546375,73.3,198731,26.7
19,544724,73.4,197520,26.6
20,543438,73.5,195511,26.5
21,542989,73.7,194194,26.3
22,543846,73.9,191904,26.1
23,544045,74.1,190566,25.9
24,543453,74.1,189865,25.9
25,542295,74,190539,26
26,541369,74,190284,26
27,539421,73.9,190847,26.1
28,537839,73.8,190929,26.2
29,536415,73.7,191380,26.3
30,534636,73.6,192263,26.4
31,532444,73.3,193830,26.7
2,529950,73.1,194789,26.9
3,529602,73.1,194980,26.9
