区分,年代別床面積／～1959（千m2）,年代別床面積／1960～1969（千m2）,年代別床面積／1970～1979（千m2）,年代別床面積／1980～1989（千m2）,年代別床面積／1990～1994（千m2）,年代別床面積／1995～1999（千m2）,年代別床面積／2000～2004（千m2）,年代別床面積／2005～2009（千m2）,年代別床面積／2010～2016（千m2）,年代別床面積／合計（千m2）,各区平均築後年数（年）
千代田区,73,277,673,668,143,146,682,710,637,4009,23.9
中央区,220,215,661,856,356,622,1355,1455,1326,7066,20.6
港区,195,882,2210,2085,778,1250,2566,3255,1950,15171,22.8
新宿区,386,1128,2602,2870,1148,1200,1765,1515,1880,14495,26.8
文京区,309,623,1437,1844,817,988,1131,987,1187,9323,26.6
台東区,617,897,1581,1707,775,664,864,903,1086,9094,30
墨田区,449,799,1481,1875,1088,906,1018,1420,1321,10356,26.6
江東区,256,949,2626,3393,1160,1655,2421,2895,2215,17570,24.1
品川区,477,928,2082,2897,1181,1353,1775,1794,1916,14402,25.9
目黒区,272,764,1715,2026,1331,1293,1292,1188,1378,11259,25.9
大田区,745,1649,3739,4954,2877,2825,3007,2587,2105,25489,26.1
世田谷区,681,1747,4523,6725,4037,4020,4196,3787,4575,34291,24.6
渋谷区,206,901,2233,2214,857,1228,1576,1176,1425,11816,26.6
中野区,413,967,1888,2134,1394,1275,1218,1043,1479,11811,27.3
杉並区,572,1307,3282,4094,2411,2262,2275,1992,2435,20629,26.5
豊島区,384,898,1745,2281,1022,1128,1086,1301,1418,11263,26.9
北区,415,1024,2183,1988,1161,1213,1096,1003,1547,11630,27.9
荒川区,316,624,1074,1337,824,720,790,1066,903,7653,26.6
板橋区,360,1041,3568,3969,2098,1895,2102,1775,2288,19097,26.5
練馬区,324,1306,3276,5054,3429,3097,2898,2374,2959,24718,24.9
足立区,375,1321,3384,4237,2459,2367,2324,2677,2959,22103,25.1
葛飾区,280,1055,2182,3133,1882,1742,1625,1469,1902,15269,25.9
江戸川区,187,895,2946,4649,3314,2979,2659,2015,2442,22086,24.6
合計,8512,22199,53092,66990,36542,36826,41721,40386,44332,350599,25.7
都心３区,488,1374,3544,3609,1278,2017,4603,5420,3912,24246,22.4
都心５区,1080,3404,8380,8694,3282,4445,7944,8111,7217,52556,24.5
他18区,7432,18795,44712,58296,33259,32381,33777,32274,37115,298042,25.9
