区分,～1959／床面積(千m2),～1959／比率(%),1960～1969／床面積(千m2),1960～1969／比率(%),1970～1979／床面積(千m2),1970～1979／比率(%),1980～1989／床面積(千m2),1980～1989／比率(%),1990～1994／床面積(千m2),1990～1994／比率(%),1995～1999／床面積(千m2),1995～1999／比率(%),2000～2004／床面積(千m2),2000～2004／比率(%),2005～2009／床面積(千m2),2005～2009／比率(%),2010～2018／床面積(千m2),2010～2018／比率(%),合計(千m2),各区平均築後年数
都心地区,494,3.0,2445,14.7,1693,10.2,2220,13.3,937,5.6,370,2.2,2615,15.7,2138,12.8,3732,22.4,16643,26.6
都心周辺地区,223,1.0,1557,6.7,2934,12.5,5622,24.0,4446,19.0,1237,5.3,2509,10.7,2427,10.4,2448,10.5,23403,27.9
新宿地区,13,0.2,232,4.1,1336,23.9,987,17.6,909,16.2,932,16.7,383,6.8,90,1.6,717,12.8,5599,28.8
渋谷地区,4,0.1,155,6.1,465,18.2,565,22.1,360,14.1,230,9.0,294,11.5,128,5.0,353,13.8,2553,28.2
池袋地区,20,1.2,80,4.6,691,39.4,501,28.6,302,17.3,39,2.3,20,1.1,44,2.5,54,3.1,1751,35.1
大崎地区,1,0.0,45,1.9,182,7.7,484,20.5,389,16.4,385,16.3,71,3.0,365,15.4,443,18.7,2365,22.6
上野・浅草地区,18,1.0,121,6.6,254,13.9,494,26.9,476,25.9,127,6.9,68,3.7,53,2.9,223,12.2,1835,29.4
錦糸町・亀戸地区,3,0.4,23,3.3,76,11.0,126,18.2,180,26.1,215,31.1,40,5.7,6,0.9,23,3.3,690,27.7
臨海地区,0,0.0,0,0.0,6,0.5,2,0.2,9,0.7,735,57.6,143,11.2,220,17.2,161,12.6,1277,18.9
品川地区,0,0.0,27,0.9,75,2.6,394,13.5,605,20.8,532,18.2,817,28.0,219,7.5,246,8.4,2916,21.5
秋葉原地区,5,0.8,31,4.8,60,9.4,76,11.8,38,6.0,2,0.3,44,6.9,335,52.4,49,7.7,640,21.3
合計,781,1.3,4715,7.9,7770,13.0,11471,19.2,8652,14.5,4805,8.1,7004,11.7,6025,10.1,8451,14.2,59673,27.1
