区名,100m2未満(千m2),200m2未満(千m2),300m2未満(千m2),500m2未満(千m2),1000m2未満(千m2),2000m2未満(千m2),5000m2未満(千m2),10000m2未満(千m2),10000m2以上(千m2),計(千m2),増減率(%)
千代田区,10,31,22,38,44,53,-13,4,269,458,21.8
中央区,7,22,6,15,-13,-6,-73,23,-227,-245,-9.3
港区,22,68,56,67,56,-3,4,150,417,837,18.3
新宿区,38,94,78,100,62,64,-11,-59,283,649,22.7
文京区,12,39,23,28,11,-1,-7,-75,139,169,11.1
台東区,29,72,52,44,72,22,-33,-9,33,283,20.4
墨田区,23,55,32,50,49,-24,44,21,-88,162,8.3
江東区,23,60,40,37,27,40,-79,-24,-929,-805,-8.6
品川区,19,49,31,49,36,-22,-182,-138,-689,-848,-17.4
目黒区,18,59,58,59,52,-14,-63,-41,15,144,7.8
大田区,31,87,81,126,171,83,67,8,-513,141,2.1
世田谷区,32,129,98,154,144,44,-57,-57,-488,0,0
渋谷区,37,87,77,108,113,76,66,-7,164,720,33.1
中野区,30,72,52,52,21,54,-30,-12,-20,218,15
杉並区,21,65,47,68,65,20,-7,-158,-268,-147,-5
豊島区,32,80,55,52,85,10,-50,-8,37,293,19.4
北区,26,50,34,38,42,22,-14,66,-360,-94,-3.3
荒川区,21,39,28,28,47,16,-10,-16,-128,26,2
板橋区,30,72,51,67,79,60,107,-60,-420,-14,-0.3
練馬区,16,46,39,45,89,65,92,43,-460,-26,-0.8
足立区,25,96,61,114,194,190,235,35,-717,231,4.5
葛飾区,30,73,38,35,61,18,46,10,-414,-104,-3.5
江戸川区,26,67,72,84,164,117,111,31,476,1148,32.1
区部計,557,1512,1129,1458,1673,884,143,-272,-3886,3197,4.2
