年(昭和・平成・令和),区部(m2),市部(m2),計(m2)
49,308,－,－
53,284,349,305
54,278,328,295
55,273,325,291
56,270,318,286
57,267,327,287
58,264,323,284
59,262,321,281
60,261,319,280
61,259,316,279
62,249,313,271
63,248,311,270
64,244,311,268
2,242,309,266
3,239,308,264
4,235,309,262
5,234,307,261
6,234,308,261
7,231,304,258
8,231,301,258
9,227,293,252
10,224,286,248
11,221,282,245
12,217,282,242
13,214,278,239
14,211,275,236
15,208,273,234
16,205,270,231
17,202,267,228
18,198,263,224
19,196,260,222
20,193,258,220
21,192,255,218
22,190,254,216
23,184,241,210
24,182,247,208
25,180,243,206
26,178,241,204
27,176,240,202
28,174,238,201
29,173,235,199
30,171,233,197
31,169,231,195
2,168,230,194
3,166,228,203
4,165,226,191
