年(昭和・平成・令和),平均住戸価格の対前年上昇率／区部(％),平均住戸価格の対前年上昇率／多摩(％),平均住戸価格の対前年上昇率／都(％),1m2当たり平均単価／区部(m2),1m2当たり平均単価／多摩(m2),1m2当たり平均単価／都(m2),平均単価の対前年上昇率／区部(％),平均単価の対前年上昇率／多摩(％),平均単価の対前年上昇率／都(％)
58,-3.3,2.1,-3,53.2,43.6,51.4,0.6,0.5,-1
59,3.7,-2.6,2.7,50.9,40.8,49.1,-4.3,-6.4,-4.5
60,9.9,1.1,7.9,53.6,41.4,51.1,5.3,1.5,4.1
61,9.8,6.6,9.5,55.8,42.4,53.2,4.1,2.4,4.1
62,44.6,24.5,39.5,88.1,53.3,79.1,57.9,25.7,48.7
63,49.9,54.5,48.1,125.6,67.3,104.9,42.6,26.3,32.6
元,13.1,-1.5,11,143.8,86,128,14.5,27.8,22
2,4.4,19.6,5.9,152.7,104,137.3,6.2,20.9,7.3
3,2.2,-1,1.1,155.3,97.6,135.7,1.7,-6.2,-1.2
4,-19.9,-20.3,-18.5,124.2,81.4,112.6,-20,-16.6,-17
5,-23,-2.7,-19.2,94.5,76.9,89.2,-23.9,-5.5,-20.8
6,-2.7,-1.9,-2.3,85.8,73.1,82.4,-9.2,-4.9,-7.6
7,-10.3,-5.2,-9.2,74.1,65.7,71.5,-13.6,-10.1,-13.2
8,4.8,-0.1,3.9,74.5,61.8,71.1,0.5,-5.9,-0.6
9,5.1,-2.2,3.3,77.6,60.4,72.9,4.2,-2.3,2.5
10,-6.2,-2.5,-5.2,72.3,57.7,68.6,-6.8,-4.5,-5.9
11,-1.9,-1.3,-1.6,69.8,56.5,66.7,-3.5,-2.1,-2.8
12,-1.9,-3.9,-2.3,66,51.1,62.4,-5.4,-9.6,-6.4
13,2,-3.3,0.8,65.4,48.1,61,-0.9,-5.9,-2.2
14,-1.2,1.1,-1.2,63.8,47,59.1,-2.4,-2.3,-3.1
15,-1.4,-2.4,-1.1,67.5,47.1,62.3,5.8,0.2,5.4
16,1.4,0.9,2.2,67,48.7,63.5,-0.7,3.4,1.9
17,5.5,0.4,3.6,68.5,49.5,64,2.2,1.6,0.8
18,4.7,2.6,4.1,71.5,51.4,66.7,4.4,3.8,4.2
19,18.9,8.4,13.5,85.6,56,75.8,19.7,8.9,13.6
20,-3.1,9.5,2.3,85.3,61.9,79.9,-0.4,10.5,5.4
21,-12.5,-7.1,-10.8,79.8,58.4,75.8,-6.4,-5.7,-5.1
22,5.9,3.2,6,82.9,59.7,79.2,3.9,2.2,4.5
23,-2.9,-7.2,-4.2,81.1,55.4,75.9,-2.2,-7.2,-4.2
24,-1,4,-0.7,80.1,58,75.2,-1.2,4.7,-0.9
25,10.8,-1.9,10.7,86.5,58,82.4,8,0,9.6
26,2.4,11.5,2.4,87.3,64.8,83.2,0.9,11.7,1
27,12.3,-3.4,8.1,98.7,62.1,89.9,13.1,-4.2,8.1
28,-1.5,9.2,0.5,100.5,69.3,93.3,1.8,11.6,3.8
29,6.9,1.4,6.5,108.3,71.2,100.4,7.8,2.7,7.6
30,0.7,3.6,1.6,113.7,74.5,105.7,5,4.6,5.3
31,2,4.8,3.3,112.3,79.3,106.8,-1.2,6.4,1
2,5.8,-0.5,2.7,125.1,80.5,114.1,11.4,1.5,6.8
3,7.5,-7.3,7.2,128.2,74.1,118,2.5,-8,3.4
4,-0.7,3.4,-0.2,128.8,79.6,119.7,0.5,7.4,1.4
