区市町村名,住宅地　58年,住宅地　最高値,住宅地　5年,住宅地　上昇率,住宅地　下落率,住宅地　5／58,商業地　58年,商業地　最高値,商業地　5年,商業地　上昇率,商業地　下落率,商業地　5／58
千代田区,1058,9127,2791,762.6,-69.4,2.6,2467,17527,6340,610.5,-63.8,2.6
中央区,535,3750,1386,600.9,-63.0,2.6,3246,19258,9153,493.3,-52.5,2.8
港区,702,5717,2150,714.6,-62.4,3.1,2382,18290,5228,667.8,-71.4,2.2
新宿区,516,2095,852,305.9,-59.4,1.6,2809,16346,4931,481.8,-69.8,1.8
文京区,509,1610,1057,216.1,-34.3,2.1,1082,6023,1586,456.5,-73.7,1.5
台東区,577,1535,981,166.2,-36.1,1.7,1416,6237,1635,340.6,-73.8,1.2
墨田区,265,610,462,130.2,-24.3,1.7,654,3543,866,441.7,-75.5,1.3
江東区,260,947,510,263.9,-46.1,2.0,636,2956,945,364.4,-68.0,1.5
品川区,453,1597,906,252.4,-43.3,2.0,1202,6487,1754,439.6,-73.0,1.5
目黒区,497,1919,1013,286.3,-47.2,2.0,1293,5769,1884,346.1,-67.3,1.5
大田区,390,1532,547,292.9,-64.3,1.4,897,3941,940,339.2,-76.2,1.0
世田谷区,381,1380,656,262.2,-52.5,1.7,818,3485,1065,325.9,-69.4,1.3
渋谷区,533,3167,1387,493.8,-56.2,2.6,2603,16796,7248,545.2,-56.8,2.8
中野区,385,1229,635,219.0,-48.3,1.6,953,3897,1318,309.0,-66.2,1.4
杉並区,340,1192,571,250.9,-52.1,1.7,977,3602,1018,268.7,-71.7,1.0
豊島区,407,1350,676,231.8,-50.0,1.7,2245,10532,2268,369.2,-78.5,1.0
北区,335,888,561,165.0,-36.8,1.7,736,2792,1037,279.2,-62.9,1.4
荒川区,355,848,540,138.7,-36.2,1.5,674,2627,936,289.7,-64.4,1.4
板橋区,295,826,449,180.3,-45.7,1.5,804,2750,745,242.0,-72.9,0.9
練馬区,269,868,409,223.1,-52.8,1.5,798,3088,796,287.0,-74.2,1.0
足立区,219,552,332,152.4,-39.8,1.5,522,1996,630,282.1,-68.4,1.2
葛飾区,249,619,334,148.7,-46.0,1.3,831,2481,546,198.7,-78.0,0.7
江戸川区,247,797,377,223.2,-52.7,1.5,679,3283,675,383.9,-79.4,1.0
区部,356,1361,665,282.2,-51.1,1.9,1496,8607,3125,475.4,-63.7,2.1
八王子市,132,324,118,144.9,-63.7,0.9,658,2864,459,335.2,-84.0,0.7
立川市,184,497,261,169.4,-47.4,1.4,1037,4987,1349,381.0,-72.9,1.3
武蔵野市,321,1234,594,284.8,-51.9,1.9,1514,6265,2022,313.9,-67.7,1.3
三鷹市,271,877,428,223.2,-51.2,1.6,900,4750,866,427.8,-81.8,1.0
青梅市,126,280,93,121.8,-66.7,0.7,375,1120,189,199.1,-83.1,0.5
府中市,220,598,308,172.4,-48.6,1.4,557,2650,578,375.8,-78.2,1.0
昭島市,162,382,189,136.4,-50.6,1.2,406,1480,321,264.5,-78.3,0.8
調布市,241,805,356,234.5,-55.8,1.5,685,3890,805,467.9,-79.3,1.2
町田市,172,495,157,188.6,-68.2,0.9,767,3912,738,410.3,-81.1,1.0
小金井市,264,673,346,154.7,-48.6,1.3,1220,4600,721,277.0,-84.3,0.6
小平市,214,595,233,177.6,-60.9,1.1,380,1610,323,324.2,-80.0,0.9
日野市,176,446,193,153.7,-56.7,1.1,649,2970,439,358.0,-85.2,0.7
東村山市,189,520,191,175.0,-63.2,1.0,679,1935,304,185.0,-84.3,0.4
国分寺市,227,639,300,181.6,-53.1,1.3,738,3435,623,365.8,-81.9,0.8
国立市,231,842,355,265.2,-57.8,1.5,840,3950,663,370.2,-83.2,0.8
福生市,149,330,166,121.3,-49.7,1.1,371,2180,287,487.6,-86.8,0.8
狛江市,258,837,323,223.9,-61.5,1.2,610,2530,497,314.8,-80.4,0.8
東大和市,166,376,169,125.7,-54.9,1.0,468,1290,198,175.6,-84.7,0.4
清瀬市,187,493,187,163.1,-62.1,1.0,560,2470,351,341.1,-85.8,0.6
東久留米市,212,583,219,175.2,-62.5,1.0,600,2330,287,288.3,-87.7,0.5
武蔵村山市,136,262,122,92.4,-53.5,0.9,276,465,147,68.5,-68.5,0.5
多摩市,183,642,185,250.6,-71.2,1.0,478,2700,423,464.9,-84.3,0.9
稲城市,178,444,243,149.3,-45.2,1.4,242,740,268,205.8,-63.8,1.1
羽村市,146,313,140,114.6,-55.4,1.0,315,800,181,154.0,-77.4,0.6
あきる野市,106,206,97,94.2,-53.2,0.9,136,346,166,154.0,-52.0,1.2
西東京市,237,687,297,190.0,-56.8,1.3,666,2105,455,216.1,-78.4,0.7
瑞穂町,104,200,92,92.5,-54.1,0.9,146,387,124,165.1,-68.1,0.8
日の出町,107,182,87,69.3,-52.3,0.8,,93,,,-100.0,
檜原村,,30,,,,,,,,,,
奥多摩町,,40,,,,,,,,,,
多摩地域,189,532,220,181.0,-58.7,1.2,680,3029,640,345.4,-78.9,0.9
大島町,,14,9,,-34.0,,,108,40,,-63.1,
新島村,,7,6,,-10.0,,,10,9,,-14.0,
神津島村,,7,7,,-0.7,,,10,10,,-5.0,
三宅村,,10,9,,-13.6,,,13,11,,-12.8,
八丈町,,13,9,,-28.6,,,43,30,,-29.0,
小笠原村,,42,41,,-3.1,,,75,75,,0.0,
島しょ,,16,14,,-17.3,,,45,29,,-35.4,
東京都,270,951,452,252.1,-52.5,1.7,1349,7750,2613,474.4,-66.3,1.9
