区分,～1959／床面積（千m2）,～1959／比率（％）,1960～1969／床面積（千m2）,1960～1969／比率（％）,1970～1979／床面積（千m2）,1970～1979／比率（％）,1980～1989／床面積（千m2）,1980～1989／比率（％）,1990～1994／床面積（千m2）,1990～1994／比率（％）,1995～1999／床面積（千m2）,1995～1999／比率（％）,2000～2004／床面積（千m2）,2000～2004／比率（％）,2005～2009／床面積（千m2）,2005～2009／比率（％）,2010～2017／床面積（千m2）,2010～2017／比率（％）,合計,各区平均築後年数
都心地区,496,3.0,2516,15.3,1739,10.6,2235,13.6,941,5.7,370,2.2,2615,15.9,2138,13.0,3389,20.6,16439,26.3
都心周辺地区,221,0.9,1624,7.0,2966,12.8,5671,24.4,4452,19.2,1240,5.3,2508,10.8,2428,10.4,2128,9.2,23239,27.4
新宿地区,13,0.2,238,4.3,1343,24.0,988,17.7,909,16.3,932,16.7,383,6.9,90,1.6,688,12.3,5584,28.0
渋谷地区,4,0.1,166,6.5,471,18.6,566,22.3,363,14.3,234,9.2,294,11.6,128,5.1,311,12.2,2536,27.8
池袋地区,20,1.2,80,4.6,691,39.5,508,29.1,305,17.5,39,2.3,20,1.1,44,2.5,40,2.3,1747,34.3
大崎地区,2,0.1,45,1.9,182,7.7,487,20.6,389,16.5,385,16.3,71,3.0,365,15.5,438,18.5,2363,21.7
上野・浅草地区,19,1.1,131,7.2,264,14.5,497,27.4,478,26.3,127,7.0,68,3.8,53,2.9,178,9.8,1815,29.3
錦糸町・亀戸地区,3,0.4,23,3.3,81,11.6,127,18.3,181,26.0,215,30.9,40,5.7,6,0.9,21,3.0,696,26.9
臨海地区,0,0.0,0,0.0,6,0.5,2,0.2,9,0.7,735,57.6,143,11.2,220,17.2,161,12.6,1277,17.9
品川地区,0,0.0,27,0.9,75,2.6,394,13.5,616,21.1,532,18.2,817,27.9,219,7.5,245,8.4,2926,20.5
秋葉原地区,6,1.0,32,5.0,66,10.1,76,11.7,38,5.9,2,0.3,44,6.8,335,51.7,49,7.5,648,20.7
合計,784,1.3,4882,8.2,7882,13.3,11551,19.5,8681,14.6,4811,8.1,7004,11.8,6027,10.2,7649,12.9,59270,26.6
