年度（昭和・平成）,投資的経費Ａ（億円）,投資的経費Ａ／うち用地費Ｂ（億円）,用地費の割合・Ｂ／Ａ（％）
62,6812,2022,29.7
63,10311,4170,40.4
元,14396,5645,39.2
2,17833,7277,40.8
3,19241,7927,41.2
4,19993,7986,39.9
5,19398,7109,36.6
6,17603,3747,21.3
7,16771,2789,16.6
8,15252,2613,17.1
9,11768,1883,16.0
10,10588,1734,16.4
11,9074,1641,18.1
12,7260,1273,17.5
13,7147,1324,18.5
14,6236,1627,26.1
15,6265,1527,24.4
16,5721,1246,21.8
17,6231,1159,18.6
18,6473,1270,19.6
19,6908,1555,22.5
20,7319,1572,21.5
21,7771,1606,20.7
22,8137,1444,17.7
23,8404,1385,16.5
24,8507,1433,16.8
25,8663,1631,18.8
26,9187,1735,18.9
27,10174,1876,18.4
28,10960,2019,18.4
29,10736,1551,14.4
30,11121,1726,15.5
31,13269,2194,16.5
