区分,50m2未満,50m2以上100m2未満,100m2以上150m2未満,150m2以上200m2未満,200m2以上300m2未満,300m2以上500m2未満,500m2以上1000m2未満,1000m2以上2000m2未満,2000m2以上5000m2未満,5000m2以上10000m2未満,10000m2以上,合計
千代田区／件数（件）,368,254,119,51,31,23,10,1,0,0,0,857
千代田区／面積（m2）,9011,17982,14472,8636,7374,8995,6815,1219,0,0,0,74504
中央区／件数（件）,660,335,96,45,34,25,6,4,0,0,0,1205
中央区／面積（m2）,15486,23469,11648,7638,8185,9566,4192,5198,0,0,0,85382
港区／件数（件）,736,424,212,140,143,92,40,15,9,1,1,1813
港区／面積（m2）,14644,31128,25830,24540,33752,34876,26938,20257,21890,5713,14988,254556
新宿区／件数（件）,1317,657,313,174,163,81,31,9,1,0,0,2746
新宿区／面積（m2）,23095,46189,38033,29914,39170,30129,21750,12253,2250,0,0,242783
文京区／件数（件）,997,455,195,77,75,49,17,5,1,0,0,1871
文京区／面積（m2）,17675,32204,23377,13277,17746,18626,11661,7333,3118,0,0,145017
台東区／件数（件）,803,549,245,106,66,22,6,0,0,0,0,1797
台東区／面積（m2）,19485,38431,29847,18304,15821,8301,3429,0,0,0,0,133618
墨田区／件数（件）,1235,580,225,100,90,42,18,5,2,0,0,2297
墨田区／面積（m2）,23777,40712,26736,17337,21351,15762,12267,5679,6151,0,0,169772
江東区／件数（件）,1212,591,167,88,70,74,35,20,4,1,1,2263
江東区／面積（m2）,24489,41776,20382,15049,16650,26872,23053,27831,10397,5090,11138,222727
品川区／件数（件）,1743,763,283,148,119,84,28,9,2,1,0,3180
品川区／面積（m2）,29908,53053,34139,25667,28105,31415,18594,12784,4759,6348,0,244772
目黒区／件数（件）,1187,503,291,127,127,77,34,7,2,0,0,2355
目黒区／面積（m2）,16820,36733,35754,21730,30873,28576,24288,8814,6065,0,0,209653
大田区／件数（件）,3027,1488,714,321,277,229,77,11,5,3,0,6152
大田区／面積（m2）,57065,105703,86623,55285,66070,84289,49844,16504,13786,18628,0,553797
世田谷区／件数（件）,4022,2049,1156,562,510,273,111,21,7,2,1,8714
世田谷区／面積（m2）,70574,147848,138987,96229,123287,100863,72589,25572,17619,15951,12499,822018
渋谷区／件数（件）,1222,513,275,187,142,96,34,11,4,0,0,2484
渋谷区／面積（m2）,20137,36913,33972,32298,34264,35108,22772,13665,12920,0,0,242049
中野区／件数（件）,1615,773,382,193,123,75,23,4,2,0,1,3191
中野区／面積（m2）,28024,55884,45708,33282,29568,27987,15388,6856,5533,0,17739,265969
杉並区／件数（件）,2804,1339,764,328,287,167,53,8,4,1,0,5755
杉並区／面積（m2）,48581,99474,90662,56611,68846,62886,34431,10355,15574,5035,0,492455
豊島区／件数（件）,1575,676,307,139,118,50,22,7,0,1,0,2895
豊島区／面積（m2）,29017,47875,37274,24162,28793,18199,15133,8254,0,5289,0,213996
北区／件数（件）,1409,706,257,122,59,55,27,5,5,2,1,2648
北区／面積（m2）,26499,49715,30962,20914,14086,20569,17249,6220,15046,13073,11535,225868
荒川区／件数（件）,1045,447,172,89,48,43,16,4,0,0,0,1864
荒川区／面積（m2）,19126,30761,21087,15205,11319,16510,10912,5373,0,0,0,130293
板橋区／件数（件）,1878,1131,486,224,177,105,61,11,1,1,0,4075
板橋区／面積（m2）,31667,82009,57993,38610,42649,40322,42330,15004,3835,8412,0,362831
練馬区／件数（件）,3326,1829,1257,338,250,144,106,25,9,0,0,7284
練馬区／面積（m2）,51843,132084,145128,58211,59842,53789,76284,34087,21167,0,0,632435
足立区／件数（件）,4226,2215,779,276,225,240,128,18,6,0,0,8113
足立区／面積（m2）,62768,162909,91159,47253,55146,90680,85923,25803,16745,0,0,638386
葛飾区／件数（件）,2968,1500,481,187,130,99,70,12,4,0,0,5451
葛飾区／面積（m2）,47514,108151,57108,32637,31271,38442,47143,15267,12460,0,0,389993
江戸川区／件数（件）,3167,1637,484,233,217,155,107,19,7,1,0,6027
江戸川区／面積（m2）,55512,118124,57552,40401,52538,57884,72799,23182,18037,8056,0,504085
合計／件数（件）,42542,21414,9660,4255,3481,2300,1060,231,75,14,5,85037
合計／面積（m2）,742717,1539127,1154433,733190,836706,860646,715784,307510,207352,91595,67899,7256959
区分,50m2未満,50m2以上100m2未満,100m2以上150m2未満,150m2以上200m2未満,200m2以上300m2未満,300m2以上500m2未満,500m2以上1000m2未満,1000m2以上2000m2未満,2000m2以上5000m2未満,5000m2以上10000m2未満,10000m2以上,合計
千代田区／件数（件）,177,80,25,18,9,1,1,0,0,0,0,311
千代田区／面積（m2）,3762,5400,2925,3133,2147,442,849,0,0,0,0,18658
中央区／件数（件）,288,94,25,15,5,3,0,0,0,0,0,430
中央区／面積（m2）,5816,6451,2866,2618,1206,1216,0,0,0,0,0,20173
港区／件数（件）,381,166,89,36,24,13,3,0,0,0,0,712
港区／面積（m2）,7257,11521,10857,6115,5564,4722,1843,0,0,0,0,47879
新宿区／件数（件）,787,423,194,90,74,41,6,0,0,0,0,1615
新宿区／面積（m2）,14872,29794,23711,15450,17791,15034,3582,0,0,0,0,120234
文京区／件数（件）,682,321,136,66,52,28,2,0,0,0,0,1287
文京区／面積（m2）,12970,22859,16673,11448,12410,10856,1529,0,0,0,0,88745
台東区／件数（件）,584,310,97,33,16,10,3,0,0,0,0,1053
台東区／面積（m2）,14752,21552,11661,5659,3787,3532,1796,0,0,0,0,62739
墨田区／件数（件）,447,320,116,57,37,18,8,0,0,0,0,1003
墨田区／面積（m2）,10295,22746,14048,9805,8792,6960,5505,0,0,0,0,78151
江東区／件数（件）,737,366,149,45,49,32,10,2,0,0,0,1390
江東区／面積（m2）,15328,26315,18179,7560,11755,11927,5825,3090,0,0,0,99979
品川区／件数（件）,1043,531,261,109,59,43,12,1,0,0,0,2059
品川区／面積（m2）,19861,37628,31543,18475,14256,15323,7893,1347,0,0,0,146326
目黒区／件数（件）,736,401,241,128,123,45,19,1,0,0,0,1694
目黒区／面積（m2）,13402,29252,29250,22001,29027,17004,11576,1220,0,0,0,152732
大田区／件数（件）,1690,1089,579,314,245,158,61,4,0,0,0,4140
大田区／面積（m2）,33071,78803,70273,53539,58670,59914,40869,5149,0,0,0,400288
世田谷区／件数（件）,2405,1404,958,604,484,252,113,36,3,1,0,6260
世田谷区／面積（m2）,43925,102327,116954,104036,116207,93378,75108,46711,6685,6390,0,711721
渋谷区／件数（件）,650,359,177,91,75,31,13,2,0,0,0,1398
渋谷区／面積（m2）,12932,25895,21816,15499,18043,11453,8535,2336,0,0,0,116509
中野区／件数（件）,949,611,363,181,129,43,16,2,0,0,0,2294
中野区／面積（m2）,18595,44062,44441,31240,30463,15948,11225,2744,0,0,0,198718
杉並区／件数（件）,1872,1020,675,412,380,169,54,9,4,0,0,4595
杉並区／面積（m2）,35309,74480,81943,71063,91792,62401,35839,11390,10057,0,0,474274
豊島区／件数（件）,765,470,230,131,77,43,13,0,0,0,0,1729
豊島区／面積（m2）,15529,34009,28050,22419,18507,15717,8337,0,0,0,0,142568
北区／件数（件）,958,565,251,122,89,49,25,3,1,0,0,2063
北区／面積（m2）,20168,40283,30574,21039,21140,18501,16545,3962,3223,0,0,175435
荒川区／件数（件）,725,285,118,88,54,27,8,1,0,0,0,1306
荒川区／面積（m2）,14098,20462,14364,15004,12802,10589,5373,1929,0,0,0,94621
板橋区／件数（件）,1340,733,424,204,175,124,53,9,2,0,0,3064
板橋区／面積（m2）,24965,52629,51354,34758,42543,46455,34969,10866,5349,0,0,303888
練馬区／件数（件）,2697,1324,909,426,394,220,135,40,6,0,0,6151
練馬区／面積（m2）,45608,97981,109044,73160,95288,81655,94236,52776,14041,0,0,663789
足立区／件数（件）,1232,790,436,255,237,190,103,24,1,0,0,3268
足立区／面積（m2）,26071,57830,52676,43990,58039,73078,67033,30863,2016,0,0,411596
