年度(昭和・平成・令和),地域,事業費a(億円),用地費ｂ(億円),ｂ／ａ(%),買収面積(千m2),1m2単価(万円)
58,区部,381.3,186.4,48.9,44.1,42.3
58,多摩,129.3,70.3,54.4,48.3,14.6
58,島しょ,22.4,0.8,3.6,20.2,0.4
58,計,533,257.5,48.3,112.6,22.9
62,区部,1052.2,732.2,69.6,45.7,160.2
62,多摩,252.8,155.9,61.7,65.5,23.8
62,島しょ,48.3,4.7,9.7,82,0.6
62,計,1353.3,892.9,66,193.2,46.2
元,区部,2146.8,1759.4,82,59.2,297.2
元,多摩,621.6,495.4,79.7,132.5,37.4
元,島しょ,62.8,1.8,2.9,58.5,0.3
元,計,2831.2,2256.6,79.7,250.2,90.2
4,区部,4333.9,3316.8,76.5,90.3,367.3
4,多摩,1036.5,671.4,64.8,141.8,47.3
4,島しょ,47.9,2,4.2,31.8,0.6
4,計,5418.3,3990.2,73.6,263.9,151.2
7,区部,2178.1,1525.8,70.1,96.6,157.9
7,多摩,833.7,340.4,40.8,126.9,26.8
7,島しょ,54.5,2.2,4,34.8,0.6
7,計,3066.3,1868.4,60.9,258.3,72.3
8,区部,1300.6,760.5,58.5,79.7,95.5
8,多摩,1008.2,378.4,37.5,151.4,25
8,島しょ,52.3,2.2,4.2,23.2,0.9
8,計,2361.1,1141.1,48.3,254.3,44.9
9,区部,743.9,419.9,56.4,52.3,80.3
9,多摩,703.3,165,23.6,61,27
9,島しょ,47.6,1.9,4,27.8,0.7
9,計,1494.8,586.8,39.3,141.1,41.6
10,区部,807.1,488.5,60.5,71.5,68.3
10,多摩,608.4,278.2,45.7,87.2,31.9
10,島しょ,42.1,2.8,6.7,26.1,1.1
10,計,1457.6,769.5,52.8,184.8,41.6
11,区部,696.1,403,57.9,74.4,54.2
11,多摩,398.4,226.9,57,103.4,21.9
11,島しょ,293,2,0.7,14.7,1.4
11,計,1387.5,631.9,45.5,192.5,32.8
12,区部,611.6,212.5,34.7,40.5,52.5
12,多摩,336.8,171.3,50.9,99.5,17.2
12,島しょ,26.5,1.1,4.2,7.8,1.4
12,計,974.9,384.9,39.5,147.8,26
13,区部,485.1,225.8,46.5,30.4,74.3
13,多摩,332.4,170.9,51.4,66,25.9
13,島しょ,16.9,0.8,4.7,3.3,2.4
13,計,834.4,397.5,47.6,99.7,39.9
14,区部,503.8,192,38.1,65.2,29.4
14,多摩,452.2,192.2,42.5,121.2,15.9
14,島しょ,15.9,0.7,4.4,4.8,1.5
14,計,971.9,384.9,39.6,191.2,20.1
15,区部,512.2,297.4,58.1,51.5,57.7
15,多摩,493.5,303.9,61.6,111.6,27.2
15,島しょ,10.9,1,9.2,13.3,0.8
15,計,1016.6,602.3,59.2,176.4,34.1
16,区部,462.8,113.8,24.6,18,63.2
16,多摩,269.1,106,39.4,63.3,16.7
16,島しょ,19.2,1.1,5.7,6.1,1.8
16,計,751.1,220.9,29.4,87.4,25.3
17,区部,552.2,99.7,18.1,15.5,64.3
17,多摩,253,94.4,37.3,94.6,10
17,島しょ,19.2,1.6,8.3,13.2,1.2
17,計,824.4,195.7,23.7,123.3,15.9
18,区部,354.7,140.4,39.6,23,61
18,多摩,308.2,118,38.3,73.4,16.1
18,島しょ,22.4,1.4,6.3,7.5,1.9
18,計,685.3,259.8,37.9,103.9,25
19,区部,472.9,292.6,61.9,42.2,69.3
19,多摩,337.4,153.9,45.6,61.1,25.2
19,島しょ,6.8,0.3,4.4,2.4,1.3
19,計,817.1,446.8,54.7,105.7,42.3
20,区部,673.5,402.7,59.8,49.5,81.4
20,多摩,377.9,158.4,41.9,55.8,28.4
20,島しょ,6.7,23,343.3,6.7,34.3
20,計,1058.1,584.1,55.2,112,52.2
21,区部,586.8,344.3,58.7,46.6,73.9
21,多摩,339.9,147.7,43.5,60.4,24.5
21,島しょ,4.5,0.1,2.2,3.5,0.3
21,計,931.2,492.1,52.8,110.5,44.5
