年(平成・令和),実数／個人(件),実数／法人(件),実数／国等(件),実数／合計(件),平成２年との比／個人(実数/平成２年値×100),平成２年との比／法人(実数/平成２年値×100),平成２年との比／国等(実数/平成２年値×100),平成２年との比／合計(実数/平成２年値×100)
2,21238,25324,1771,48333,100,100,100,100
3,20905,17674,2677,41256,98,70,151,85
4,18846,11759,3232,33837,89,46,182,70
5,24098,14711,2915,41724,113,58,165,86
6,25199,13897,2597,41693,119,55,147,86
7,28914,15736,2466,47116,136,62,139,97
8,32872,17648,2484,53004,155,70,140,110
9,39235,22166,2667,64068,185,88,151,133
10,34137,19261,2056,55454,161,76,116,115
11,41123,24592,2105,67820,194,97,119,140
12,41762,25911,1727,69400,197,102,98,144
13,35630,22878,1205,59713,168,90,68,124
14,36468,22765,1491,60724,172,90,84,126
15,39247,27449,1489,68185,185,108,84,141
16,38848,29135,1141,69124,183,115,64,143
17,36556,31890,1092,69538,172,126,62,144
18,38594,36607,1639,76840,182,145,93,159
19,36500,36997,1511,75008,172,146,85,155
20,35865,24772,1880,62517,169,98,106,129
21,38543,20638,1953,61134,181,81,110,126
22,38526,25856,1366,65748,181,102,77,136
23,37574,25293,1489,64356,177,100,84,133
24,41755,29529,2017,73301,197,117,114,152
25,46351,35258,1856,83465,218,139,105,173
26,43055,34353,1881,79289,203,136,106,164
27,44584,36810,2314,83708,210,145,131,173
28,42176,37452,2483,82111,199,148,140,170
29,42197,40323,2517,85037,199,159,142,176
30,40515,40499,2486,83500,191,160,140,173
31,43142,40629,2203,85974,203,160,124,178
2,41529,35524,2218,79271,196,140,125,164
