順位,標準地番号,都道府県,標準地の所在地,令和３年,令和４年,変動率
1,呉－9－3,広島県,仁方皆実町３９１２番６０,"41,200","40,100",-2.7
2,長崎－9－1,長崎県,香焼町字馬手ヶ浦１１番外,"16,800","16,400",-2.4
3,苫小牧－9－6,北海道,字勇払２６３番２,"4,300","4,200",-2.3
4,室蘭－9－3,北海道,祝津町１丁目１２７番１４１,"10,500","10,300",-1.9
5,焼津－9－2,静岡県,利右衛門字地蔵森２７２６番６５外,"16,200","15,900",-1.9
6,松山－9－6,愛媛県,三津２丁目４５１番３外,"38,500","37,800",-1.8
7,会津若松－9－1,福島県,門田町大字一ノ堰字土手外１９２４番２０,"11,700","11,500",-1.7
8,小松島－9－1,徳島県,小松島町字新港４６番３外,"24,400","24,000",-1.6
9,島原－9－1,長崎県,大手原町甲２１３０番６１,"12,500","12,300",-1.6
10,千葉稲毛－9－3,千葉県,六方町１３番９,"62,800","61,800",-1.6
