区分,住宅等（件）,商業施設（件）,工場倉庫（件）,娯楽施設（件）,農林水産（件）,他の目的（件）,資産保有（件）,その他（件）,合計（件）,,
平成１１年,295,300,10,1,0,38,128,12,784,,
平成１２年,389,97,5,5,4,16,104,22,642,,
平成１３年,390,89,5,0,0,42,93,7,626,,
平成１４年,334,84,8,0,1,48,121,2,598,,
平成１５年,366,116,12,4,2,33,46,4,583,,
平成１６年,389,132,11,4,8,26,34,20,624,,
平成１７年,350,143,10,6,1,20,33,2,565,,
平成１８年,370,119,42,4,3,36,54,5,633,,
平成１９年,285,186,36,23,4,23,65,1,623,,
平成２０年,293,119,20,5,1,33,38,14,523,,
平成２１年,193,61,12,3,1,20,17,3,310,,
平成２２年,269,72,15,10,1,43,13,1,424,,
平成２３年,314,76,19,15,2,39,21,2,488,,
平成２４年,318,104,20,3,2,34,29,0,510,,
平成２５年,311,136,18,10,3,71,6,0,555,,
平成２６年,227,140,19,6,2,47,63,8,512,,
平成２７年,273,128,29,2,2,34,12,0,480,,
平成２８年,258,113,58,4,0,29,18,2,482,,
平成２９年,304,147,22,2,2,40,36,1,554,,
