年,個人／面積（千m2）,個人／構成比（％）,法人／面積（千m2）,法人／構成比（％）
昭和50年,600647 ,75.8,192050 ,24.2
昭和51年,602787 ,75.5,195521 ,24.5
昭和52年,608637 ,76.2,189640 ,23.8
昭和53年,601195 ,75.7,192539 ,24.3
昭和54年,599046 ,75.9,190353 ,24.1
昭和55年,597597 ,75.8,191202 ,24.2
昭和56年,595143 ,76.2,186157 ,23.8
昭和57年,593857 ,76.2,185666 ,23.8
昭和58年,591658 ,76.2,185146 ,23.8
昭和59年,589459 ,76.1,184929 ,23.9
昭和60年,584255 ,76.1,183625 ,23.9
昭和61年,580934 ,75.7,186515 ,24.3
昭和62年,575934 ,75.3,189352 ,24.7
昭和63年,561690 ,74.5,192075 ,25.5
平成元年,558537 ,73.4,202058 ,26.6
平成2年,554030 ,73.1,203773 ,26.9
平成3年,552976 ,72.7,207993 ,27.3
平成4年,550025 ,72.6,207661 ,27.4
平成5年,545920 ,72.4,207848 ,27.6
平成6年,542673 ,72.3,208071 ,27.7
平成7年,539624 ,72.2,207675 ,27.8
平成8年,558519 ,72.6,210919 ,27.4
平成9年,555187 ,72.5,210541 ,27.5
平成10年,553035 ,72.5,209459 ,27.5
平成11年,551736 ,72.6,208385 ,27.4
平成12年,551717 ,72.8,205663 ,27.2
平成13年,551209 ,73.0,204004 ,27.0
平成14年,550048 ,73.0,203103 ,27.0
平成15年,549409 ,73.2,201299 ,26.8
平成16年,549259 ,73.3,199588 ,26.7
平成17年,548330 ,73.5,198156 ,26.5
平成18年,546375 ,73.3,198731 ,26.7
平成19年,544724 ,73.4,197520 ,26.6
平成20年,543438 ,73.5,195511 ,26.5
平成21年,542989 ,73.7,194194 ,26.3
平成22年,543846 ,73.9,191904 ,26.1
平成23年,544045 ,74.1,190566 ,25.9
平成24年,543453 ,74.1,189865 ,25.9
平成25年,542295 ,74.0,190539 ,26.0
平成26年,541369 ,74.0,190284 ,26.0
平成27年,539421 ,73.9,190847 ,26.1
平成28年,537839 ,73.8,190929 ,26.2
平成29年,536415 ,73.7,191380 ,26.3
