平成（年）,実数／個人（千m2）,実数／法人（千m2）,実数／国等（千m2）,実数／合計（千m2）,平成2年との比／個人（実数/平成2年値×100）,平成2年との比／法人（実数/平成2年値×100）,平成2年との比／国等（実数/平成2年値×100）,平成2年との比／合計（実数/平成2年値×100）
2,2225,4177,278,6680,100,100,100,100
3,2254,3727,485,6466,101,89,174,97
4,1959,3027,585,5571,88,72,210,83
5,2158,3585,558,6301,97,86,201,94
6,2140,3155,408,5703,96,76,147,85
7,2354,3281,385,6019,106,79,138,90
8,2623,3705,405,6733,118,89,146,101
9,3257,4665,384,8306,146,112,138,124
10,2767,4170,267,7205,124,100,96,108
11,3446,5710,364,9520,155,137,131,143
12,3605,5180,290,9074,162,124,104,136
13,3514,5632,232,9379,158,135,83,140
14,3541,5973,189,9703,159,143,68,145
15,4036,7165,281,11481,181,172,101,172
16,3383,5515,322,9220,152,132,116,138
17,3654,6650,175,10479,164,159,63,157
18,3268,6619,344,10231,147,158,124,153
19,3042,6687,1075,10804,137,160,387,162
20,3161,5195,383,8740,142,124,138,131
21,4131,3952,368,8451,186,95,132,127
22,3319,5545,238,9103,149,133,86,136
23,3407,4402,341,8150,153,105,123,122
24,2177,3803,374,6354,98,91,135,95
25,2529,4516,285,7330,114,108,103,110
26,2352,4504,284,7140,106,108,102,107
27,2394,4642,387,7423,108,111,139,111
28,2262,4825,290,7377,102,116,104,110
29,2221,4774,263,7258,100,114,95,109
30,2044,4857,298,7199,92,116,107,108
11,3446,57
墨田区,616,634,662,791,2049,2360,2479,2537,2422,1768,1525,1302,971,752,661,614,560,511,477,452,444,440,458,551,586,529,508,500,502,508,521,532,549,573,614,668
江東区,602,630,648,850,2617,3060,2945,3081,3002,2298,1973,1703,1195,932,810,730,661,600,552,523,519,518,545,663,711,639,615,601,599,607,625,639,659,691,744,816
品川区,717,828,952,1425,2355,2366,3191,3122,3101,2671,1998,1524,1251,1064,942,901,849,808,780,770,760,755,835,1019,1055,922,864,850,844,842,887,930,958,1011,1083,"1,163"
目黒区,1548,1720,2032,3349,7094,7391,7176,7260,7206,6068,4683,3175,2318,1808,1559,1433,1292,1149,1101,1069,1042,1033,1158,1478,1560,1374,1280,1229,1198,1163,1202,1259,1351,1430,1503,"1,623"
大田区,623,668,789,1285,2509,2428,2462,2497,2533,2062,1472,1178,1027,908,741,677,628,592,564,546,536,535,561,659,681,632,606,601,596,601,621,639,666,682,709,751
世田谷区,662,757,894,1462,3025,2925,3006,3058,3033,2369,1708,1361,1123,985,891,831,747,707,684,669,657,650,730,871,920,794,762,751,746,751,769,789,832,881,946,"1,022"
渋谷区,2361,2899,4884,6624,10339,10243,10627,11103,11061,9287,6686,4348,3105,2488,2254,2171,2143,2078,2060,1990,2054,2071,2468,3356,3340,3512,3178,2941,2894,2934,3082,3311,3598,3987,4441,"5,466"
中野区,785,860,959,2111,3212,3470,3390,3423,3322,2868,2043,1651,1372,1153,1092,1055,978,936,914,872,842,829,866,1014,1082,948,905,884,876,889,912,943,987,1041,1126,"1,238"
杉並区,669,738,946,1280,2662,2948,3096,3112,3206,2707,1926,1555,1214,1031,892,803,737,686,682,657,641,640,695,795,795,699,676,671,668,653,669,697,732,794,865,936
豊島区,1308,1437,1598,3836,5580,6380,7241,7981,7969,7499,5806,3935,2973,2327,2003,1815,1682,1539,1429,1320,1245,1202,1374,1756,1869,1617,1585,1534,1522,1550,1616,1713,1817,1972,2164,"2,425"
北区,566,609,653,794,1740,2439,2547,2656,2794,2439,1944,1590,1336,1126,986,885,775,712,668,630,603,583,642,771,800,705,684,673,677,699,710,726,752,792,869,960
荒川区,562,560,582,741,1481,1584,1624,1674,2097,1867,1481,1217,1023,869,775,720,681,624,581,551,532,492,533,639,662,601,585,577,576,563,572,584,605,637,697,768
板橋区,560,595,621,810,1774,1785,1906,1958,2005,1737,1389,1165,1030,911,833,782,708,661,628,597,573,556,581,664,693,622,601,588,584,585,596,609,627,656,702,719
練馬区,678,731,757,962,2045,2156,2251,2325,2328,1969,1373,1108,967,857,729,676,604,552,528,515,513,509,531,618,653,579,563,555,553,554,568,573,603,633,665,704
足立区,419,437,454,507,875,1176,1316,1379,1467,1270,1005,828,731,631,562,512,466,424,394,378,366,365,407,455,474,449,436,433,437,427,437,446,456,480,514,552
葛飾区,636,649,665,780,1881,1953,2070,2113,2140,1919,1539,1211,991,872,772,674,558,531,486,443,420,400,406,461,483,454,440,438,439,444,453,462,471,490,518,561
江戸川区,561,593,611,663,1716,2119,2439,2830,2920,2718,2160,1701,1340,1066,914,785,648,574,520,496,474,464,480,578,603,542,523,518,510,475,495,503,515,563,597,655
区部,1299,1576,2292,5016,7586,7783,7860,8183,8137,7021,4950,3512,2595,2049,1835,1732,1588,1486,1440,1386,1359,1359,1587,2036,2198,1901,1760,1697,1678,1676,1768,1896,2085,2244,2419,"2,654"
八王子市,365,405,430,512,1443,1850,1852,1923,1909,1779,1451,1147,949,771,613,553,480,423,387,358,330,313,327,372,397,379,364,354,349,348,351,358,364,369,373,378
立川市,506,529,560,665,1473,1696,1790,1934,1924,1643,1479,1063,861,703,624,592,711,676,670,642,604,595,631,759,823,762,721,711,709,720,745,1401,1500,1571,1641,"1,706"
武蔵野市,1247,1377,1526,2234,5808,5615,5101,5114,5080,4316,3416,2591,2203,1916,1780,1591,1449,1367,1329,1310,1293,1307,1408,1551,1610,1487,1453,1437,1435,1457,1473,1540,1663,1778,1902,"2,083"
三鷹市,700,737,784,1140,3150,3060,4673,4673,4563,4110,3300,2567,2140,1880,1723,1483,1330,1247,1178,1141,1114,1110,1177,1273,1300,1190,1154,1134,1130,1133,1159,1193,1246,1310,1373,"1,457"
青梅市,285,289,295,303,464,680,767,775,775,753,602,536,466,418,393,368,320,282,257,218,195,183,180,195,196,182,171,175,171,171,172,174,174,174,174,174
府中市,439,479,498,663,1500,1498,1553,1541,1664,1547,1221,974,876,784,678,623,590,550,519,483,468,455,463,511,535,484,466,460,458,461,473,481,495,509,526,540
昭島市,427,444,461,507,1020,1085,1210,1233,1223,1137,872,700,651,580,547,518,476,437,410,370,334,311,305,334,344,311,299,291,288,290,294,295,302,308,313,319
