区名,平成13年中(千m2),平成14年中(千m2),平成15年中(千m2),平成16年中(千m2),平成17年中(千m2),平成18年中(千m2),平成19年中(千m2),平成20年中(千m2),平成21年中(千m2),平成22年中(千m2),平成23年中(千m2),平成24年中(千m2),平成25年中(千m2),平成26年中(千m2),平成27年中(千m2),平成28年中(千m2),平成29年中(千m2),平成30年中(千m2),平成31年中(千m2),令和2年中(千m2),昭60.1.1～令3.1.1(千m2)
千代田区,-12,-1,18,-10,23,-1,22,-25,-6,-2,-3,3,-2,-27,-5,-1,11,-1,7,-13,-81
中央区,-4,-10,2,5,57,-8,2,50,2,-1,0,67,19,-82,-3,5,-3,6,0,21,956
港区,39,-128,-105,12,50,14,53,-31,-7,16,-34,-17,-13,-11,21,3,5,-4,-15,-1,613
新宿区,-15,11,-1,8,-4,27,23,-32,-12,-6,196,1,1,-191,15,-10,186,2,-9,77,1254
文京区,-10,69,2,13,49,-29,-5,-14,-12,-17,142,2,-1,-12,-5,-3,221,-3,-3,20,630
台東区,1,65,-12,0,53,1,-2,-3,-1,0,-1,0,0,0,-2,-1,-1,0,-1,-1,1300
墨田区,-4,20,-1,8,6,6,-7,7,-5,-6,91,32,0,-30,0,-1,6,-3,0,403,2866
江東区,11,547,8,214,327,-31,41,30,13,-8,14,-5,-8,65,54,2,64,-5,-26,373,4593
品川区,-7,18,-7,-13,21,18,-29,11,-8,-5,252,-12,-13,-15,-9,-12,113,-18,-5,-9,2395
目黒区,-16,-8,24,22,-12,-12,0,-16,-1,19,21,10,14,14,12,1,-2,19,-7,7,258
大田区,2,-2,-4,-6,128,-31,-53,93,5,-15,164,-21,-8,3,19,-4,112,-6,-6,10,2721
世田谷区,111,33,153,52,75,118,17,-14,44,2,42,22,34,13,34,29,-35,17,3,214,2750
渋谷区,18,-43,21,-8,-104,16,-8,-51,-3,15,-3,-2,0,-9,-2,14,-1,-4,0,1,-252
中野区,15,17,18,12,25,-7,24,39,-5,12,8,-1,5,-12,7,-2,-19,2,4,-6,822
杉並区,-30,24,29,26,83,17,-14,3,-9,-2,65,11,3,7,27,-12,10,7,18,12,1034
豊島区,-13,-14,14,-4,22,-6,-14,-15,-6,-6,-43,-2,-9,-2,-6,-14,-19,-11,5,22,337
北区,-14,-32,39,29,71,27,8,1,-12,16,34,-8,4,49,4,-4,73,-8,-24,81,1285
荒川区,6,168,-11,-12,-13,-9,21,47,3,-5,86,1,-3,-6,-3,-15,-9,-7,-9,-3,1865
板橋区,-6,14,31,31,65,14,6,-1,19,17,-16,6,22,101,10,16,31,-14,3,9,2531
練馬区,102,82,121,80,101,63,59,-15,22,37,22,51,36,26,29,24,22,27,31,26,3458
足立区,212,345,56,68,258,-6,44,71,5,66,38,-6,31,272,-23,-47,27,22,10,434,2718
葛飾区,-74,96,9,-7,828,-18,-27,71,5,-11,176,8,3,-12,10,19,44,4,2,17,1026
江戸川区,217,38,33,10,84,5,-11,38,22,4,144,-11,-14,70,2,10,123,-2,-2,-31,2278
区部計,531,1311,437,530,2193,167,151,248,54,121,1397,130,100,213,186,-3,959,20,-25,1663,37359
