区分,平成２０年／件数（件）,平成２０年／面積(m2）,平成２１年／件数（件）,平成２１年／面積(m2）,平成２２年／件数（件）,平成２２年／面積(m2）,平成２３年／件数（件）,平成２３年／面積(m2）,平成２４年／件数（件）,平成２４年／面積(m2）,平成２５年／件数（件）,平成２５年／面積(m2）,平成２６年／件数（件）,平成２６年／面積(m2）,平成２７年／件数（件）,平成２７年／面積(m2）,平成２８年／件数（件）,平成２８年／面積(m2）,平成２９年／件数（件）,平成２９年／面積(m2）
法人／新宿区,1045,244087,840,210233,1318,659295,1148,229957,1153,136958,1295,163794,1359,164797,1375,185841,1533,183081,1664,189952
法人／文京区,519,74717,525,161341,553,79327,563,177069,639,66633,892,90046,834,91054,868,88797,896,96085,1009,104998
法人／台東区,813,86390,599,78773,757,81195,592,66838,757,65880,783,76294,849,74977,986,91787,1078,94791,1238,108866
法人／墨田区,528,71140,411,56330,673,105388,737,78408,896,102325,959,102935,1104,123853,1173,107084,1089,110074,1194,124085
法人／江東区,779,323916,652,181746,824,217429,769,326912,872,223733,1041,265679,953,200417,1144,225759,1121,340120,1282,175330
法人／品川区,1179,228787,854,138968,896,140298,869,149676,1070,144827,1124,164708,1127,146922,1138,140425,1277,164232,1387,172695
法人／目黒区,744,124200,590,108306,718,163322,633,102459,968,116859,880,125201,842,138086,888,120691,1021,142624,976,137281
法人／大田区,1507,374571,1361,286524,1590,312516,1571,275210,1768,267639,2054,309371,2080,347494,2559,379230,2635,400527,2623,350790
法人／世田谷区,2219,631393,1881,465093,2386,1296166,2182,426647,2605,375874,3323,486994,3095,509064,3316,462631,3425,459416,3461,481824
法人／渋谷区,833,134188,667,116192,860,124857,775,116670,994,137324,1417,163168,1276,156148,1151,160398,1155,148179,1513,189237
法人／中野区,814,153727,567,80808,723,85257,1000,133730,1073,127787,1161,133162,1214,120724,1378,163736,1229,127943,1445,171052
法人／杉並区,1332,200190,1141,175232,1519,221031,1551,270835,1661,212159,2430,320287,1992,233493,2548,317798,2340,271065,2336,298941
法人／豊島区,874,116688,761,97824,1014,143303,703,94606,888,100840,1027,107179,986,105337,1144,121372,1219,119153,1288,139080
法人／北区,658,92365,597,69144,681,132034,717,96669,732,87574,811,104537,910,221816,1165,123956,1186,129135,1080,139915
法人／荒川区,563,453179,642,275035,525,78071,480,53096,742,63879,778,62254,635,73672,744,75069,748,80109,819,80434
法人／板橋区,1079,186752,858,207334,1219,244180,1232,193738,1474,223282,1554,236132,1666,232477,1706,243103,1805,244021,1814,241751
法人／練馬区,1506,242522,1546,220364,1848,293439,1959,311443,2120,311142,2609,355127,2568,359296,2685,339306,3036,410130,2892,370907
法人／足立区,2102,273160,1892,206322,2268,287412,2566,366222,3348,311553,3965,383029,3891,376682,3262,399580,3127,372890,3954,394000
法人／葛飾区,1156,262243,1139,253544,1573,175906,1695,204952,1651,187132,2047,201365,1860,182379,1995,192114,2032,216933,2644,227954
法人／江戸川区,1531,210107,1483,210585,1788,237934,1667,262445,2187,252878,2606,280046,2339,259389,2575,311921,2418,301353,2816,323275
法人／合計,24772,5194957,20638,3951591,25856,5545331,25293,4402040,29529,3803399,35258,4516242,34353,4504142,36810,4641530,37452,4825192,40323,4773700
