区名,100m2未満（千m2）,200m2未満（千m2）,300m2未満（千m2）,500m2未満（千m2）,1000m2未満（千m2）,2000m2未満（千m2）,5000m2未満（千m2）,10000m2未満（千m2）,10000m2以上（千m2）,計（千m2）,増減率（%）
千代田区,10,31,22,37,49,53,-20,3,261,446,21.2
中央区,8,23,10,15,-1,-5,-66,21,-223,-219,-8.3
港区,21,68,51,69,60,4,8,123,476,879,19.3
新宿区,37,89,72,99,59,55,-4,-54,270,622,21.8
文京区,12,36,22,31,8,1,-10,-61,129,168,11.0
台東区,28,69,50,42,67,31,-53,0,30,264,19.0
墨田区,20,53,32,46,43,-22,37,12,-88,133,6.8
江東区,22,59,35,37,26,47,-79,17,-903,-741,-7.9
品川区,19,46,28,47,32,-30,-178,-106,-711,-853,-17.5
目黒区,16,58,54,52,47,-5,-61,-48,9,122,6.6
大田区,30,81,76,127,164,96,59,-3,-547,82,1.2
世田谷区,29,121,94,147,116,38,-37,-78,-475,-46,-0.8
渋谷区,36,85,75,101,109,80,73,-14,164,709,32.6
中野区,27,66,48,48,22,56,-40,-39,-10,179,12.3
杉並区,21,60,41,56,65,19,-16,-181,-287,-223,-7.5
豊島区,30,73,52,52,68,10,-51,5,2,241,16.0
北区,24,45,33,38,33,19,-33,73,-333,-101,-3.5
荒川区,19,35,26,26,39,22,-22,2,-127,18,1.5
板橋区,28,64,48,55,69,62,105,-86,-416,-71,-1.6
練馬区,13,37,29,48,92,57,77,45,-466,-67,-2.2
足立区,23,87,53,103,177,181,209,48,-734,146,2.8
葛飾区,27,65,34,35,49,-4,63,-6,-414,-150,-5.1
江戸川区,24,63,69,81,156,108,101,28,491,1121,31.3
区部計,523,1414,1055,1392,1547,870,61,-298,-3904,2659,3.5
