区分,昭和58年,昭和59年,昭和60年,昭和61年,昭和62年,昭和63年,昭和64年,平成２年,平成３年,平成４年,平成５年,平成６年,平成７年,平成８年,平成９年,平成10年,平成11年,平成12年,平成13年,平成14年,平成15年,平成16年,平成17年,平成18年,平成19年,平成20年,平成21年,平成22年,平成23年,平成24年,平成25年,平成26年,平成27年,平成28年,平成29年
区部合計／増加率（％）,3,3.1,3.4,2.6,6.5,6,6.2,5.6,6.1,6,6.2,8,7,4.2,3.9,2.5,1.5,1,1.3,0.5,1.7,3.1,1.9,-0.4,0.9,1.6,0.8,0.5,0.1,0.9,0.5,0.3,0.7,0.7,0.3
区部合計／増加量(千m2）,1083,1125,1300,1036,2628,2586,2820,2707,3108,3226,3548,4858,4614,2949,2873,1901,1162,803,1004,445,1375,2559,1590,-308,758,1407,699,472,75,804,480,314,630,601,233
区部合計／ストック(千m2）,36811,37936,39236,40272,42900,45486,48306,51013,54121,57347,60895,65753,70367,73316,76189,78090,79252,80055,81060,81504,82880,85439,87029,86721,87479,88886,89585,90057,90132,90936,91416,91729,92360,92961,93194
都心３区／増加率（％）,3.2,3.3,2.9,2.7,4.7,5.6,5.4,4.9,4.4,4.9,3.1,5.1,3.6,3.4,2.4,1.4,1.2,0.4,1.5,0.3,2.8,4.8,2.2,0.5,1.2,1.5,1,0.4,-0.1,0.5,-0.3,-0.1,1.7,0.9,0.2
都心３区／増加量(千m2）,672,718,657,629,1125,1411,1416,1361,1286,1488,992,1690,1261,1207,883,524,464,149,567,131,1133,1967,927,206,541,648,440,200,-34,213,-146,-42,759,422,77
都心３区／ストック(千m2）,21860,22578,23235,23864,24989,26400,27816,29177,30463,31951,32943,34633,35894,37101,37984,38508,38972,39121,39689,39820,40953,42920,43847,44053,44594,45242,45681,45881,45846,46060,45914,45873,46632,47054,47131
新宿区+渋谷区／増加率（％）,2.7,1.8,5.6,2.7,6.7,5.6,5.8,6.4,5,4.6,8.8,7.1,6.7,6.1,8.4,2.7,1.5,1.6,2,0.4,0.4,1.4,1.6,-1.3,-0.5,0.9,-0.1,0.7,0.2,-0.1,3,1.9,-0.2,-0.6,0.3
新宿区+渋谷区／増加量(千m2）,137,92,295,149,382,345,373,439,362,353,700,616,619,603,889,313,178,187,240,44,52,169,207,-164,-60,116,-14,94,25,-11,379,249,-21,-79,40
新宿区+渋谷区／ストック(千m2）,5201,5293,5588,5737,6119,6464,6837,7276,7638,7991,8691,9307,9926,10529,11418,11731,11909,12096,12337,12380,12432,12601,12808,12643,12583,12699,12684,12778,12803,12792,13171,13419,13398,13319,13358
都心５区／増加率（％）,3.1,3,3.4,2.7,5.1,5.6,5.4,5.2,4.5,4.8,4.2,5.5,4.3,3.9,3.7,1.7,1.3,0.7,1.6,0.3,2.3,4,2,0.1,0.8,1.3,0.7,0.5,0,0.4,0.4,0.4,1.2,0.6,0.2
都心５区／増加量(千m2）,809,810,952,778,1507,1756,1789,1800,1648,1841,1692,2306,1880,1809,1773,837,642,337,808,174,1185,2136,1134,41,481,763,425,294,-10,202,233,207,738,343,117
都心５区／ストック(千m2）,27061,27871,28823,29601,31108,32864,34653,36453,38101,39942,41634,43940,45820,47629,49402,50239,50881,51218,52026,52200,53385,55521,56655,56696,57177,57940,58365,58659,58649,58852,59085,59292,60030,60373,60489
周辺18区／増加率（％）,2.9,3.2,3.5,2.5,10.5,7,8.2,6.6,10,8.6,10.7,13.2,12.5,4.6,4.3,4,1.9,1.6,0.7,0.9,0.6,1.4,1.5,-1.2,0.9,2.1,0.9,0.6,0.3,1.9,0.8,0.3,-0.3,0.8,0.4
周辺18区／増加量(千m2）,274,315,348,258,1121,830,1031,907,1460,1385,1856,2552,2734,1140,1100,1064,520,467,196,270,190,424,456,-349,277,644,274,178,85,601,247,107,-107,258,116
周辺18区／ストック(千m2）,9750,10065,10413,10671,11792,12622,13653,14560,16020,17405,19261,21813,24547,25687,26787,27851,28371,28838,29034,29304,29494,29918,30374,30025,30302,30946,31220,31398,31483,32084,32331,32438,32330,32589,32705
