区分,年代別床面積／～1959(千m2),年代別床面積／1960～1969(千m2),年代別床面積／1970～1979(千m2),年代別床面積／1980～1989(千m2),年代別床面積／1990～1999(千m2),年代別床面積／2000～2004(千m2),年代別床面積／2005～2009(千m2),年代別床面積／2010～2014(千m2),年代別床面積／2015～2020(千m2),年代別床面積／合計(千m2),各区平均築後年数(年)
千代田区,514,2233,2345,3795,2719,2104,2585,2253,2475,21023,27.6
中央区,425,2040,2055,2947,2711,1360,1028,1431,1617,15614,27.7
港区,138,1093,2716,4452,4709,3844,2523,1206,1765,22448,26.3
新宿区,192,1209,2359,2528,2687,474,366,747,649,11209,30.6
文京区,74,188,346,725,1147,369,115,151,63,3179,29.1
台東区,212,356,617,1160,1073,174,196,355,517,4660,31
墨田区,109,272,369,634,955,262,139,382,165,3287,28.5
江東区,63,304,835,1841,3985,1370,2043,1406,1256,13104,24.9
品川区,76,422,853,1483,2820,987,806,604,554,8606,26.8
目黒区,37,173,327,241,805,174,107,80,82,2023,28.2
大田区,105,531,1097,2149,2412,1139,896,1131,1136,10597,27.3
世田谷区,42,272,476,520,891,296,299,326,421,3541,26.5
渋谷区,54,613,1117,1397,2577,909,615,548,783,8613,28.1
中野区,28,103,221,176,551,77,105,268,66,1596,28.5
杉並区,43,214,287,422,509,162,146,132,109,2025,28.5
豊島区,163,420,1233,1078,1130,145,233,208,150,4761,30.7
北区,77,268,263,349,608,197,246,129,214,2352,29.3
荒川区,74,138,158,227,386,148,128,75,80,1415,28.7
板橋区,115,371,670,653,826,343,332,295,204,3811,29
練馬区,36,204,298,518,592,267,165,196,179,2456,26.8
足立区,84,343,940,976,905,410,568,377,429,5031,27.4
葛飾区,69,230,341,432,477,148,326,131,204,2356,28.1
江戸川区,59,227,471,1110,1143,301,241,187,230,3969,27.4
合計,2789,12225,20393,29813,36620,15659,14210,12621,13349,157678,27.7
都心３区,1077,5367,7116,11194,10140,7308,6136,4891,5856,59085,27.1
都心５区,1322,7189,10591,15120,15404,8691,7117,6186,7289,78907,27.7
他18区,1467,5036,9802,14694,21216,6968,7093,6435,6060,78771,27.6
