区分,年代別床面積／～1959（千m2）,年代別床面積／1960～1969（千m2）,年代別床面積／1970～1979（千m2）,年代別床面積／1980～1989（千m2）,年代別床面積／1990～1994（千m2）,年代別床面積／1995～1999（千m2）,年代別床面積／2000～2004（千m2）,年代別床面積／2005～2009（千m2）,年代別床面積／2010～2016（千m2）,年代別床面積／合計（千m2）,各区平均築後年数（年）
千代田区,552,"2,397","2,545","3,858","1,893",887,"2,108","2,572","2,705","19,516",27.2 
中央区,490,"2,320","2,247","3,055","2,195",561,"1,364","1,030","1,916","15,178",29.8 
港区,232,"1,365","2,955","4,632","2,952","1,844","3,858","2,529","1,680","22,048",25.5 
新宿区,204,"1,305","2,441","2,573","1,757",951,473,368,990,"11,062",31.3 
文京区,98,209,361,741,716,456,369,118,181,"3,249",28.3 
台東区,234,412,708,"1,192",870,215,179,199,519,"4,527",30.8 
墨田区,122,309,403,663,495,472,264,139,443,"3,310",27.9 
江東区,77,361,902,"1,955","2,486","1,604","1,396","2,064","1,769","12,615",21.1 
品川区,106,441,927,"1,529","1,723","1,110",991,807,803,"8,438",24.9 
目黒区,40,202,359,256,663,146,176,112,84,"2,038",29.4 
大田区,127,578,"1,157","2,206","1,818",663,"1,141",900,"1,315","9,906",25.0 
世田谷区,51,312,522,545,584,333,305,309,562,"3,522",25.7 
渋谷区,91,669,"1,185","1,448","1,450","1,186",928,622,688,"8,267",26.5 
中野区,30,116,227,180,275,289,79,109,285,"1,589",25.1 
杉並区,46,244,298,449,343,171,165,147,164,"2,025",29.6 
豊島区,176,443,"1,269","1,093",934,209,149,234,232,"4,740",32.5 
北区,86,307,304,388,419,213,205,248,217,"2,387",28.8 
荒川区,87,157,180,233,280,112,157,128,110,"1,443",29.3 
板橋区,126,422,733,691,526,337,358,332,379,"3,903",29.6 
練馬区,43,226,329,545,377,244,272,166,246,"2,448",27.7 
足立区,94,380,"1,005","1,028",489,444,426,572,502,"4,941",27.8 
葛飾区,78,249,374,452,263,228,149,327,237,"2,357",28.3 
江戸川区,72,252,531,"1,165",778,413,312,244,257,"4,025",28.3 
合計,"3,261","13,676","21,964","30,879","24,284","13,087","15,824","14,278","16,283","153,535",27.2 
都心３区,"1,275","6,083","7,748","11,545","7,039","3,292","7,330","6,131","6,301","56,743",27.2 
都心５区,"1,569","8,057","11,374","15,566","10,246","5,429","8,732","7,122","7,978","76,073",27.7 
他18区,"1,692","5,619","10,589","15,313","14,038","7,658","7,092","7,156","8,305","77,462",26.7 
