区分,年代別床面積／～1959(千m2),年代別床面積／1960～1969(千m2),年代別床面積／1970～1979(千m2),年代別床面積／1980～1989(千m2),年代別床面積／1990～1999(千m2),年代別床面積／2000～2004(千m2),年代別床面積／2005～2009(千m2),年代別床面積／2010～2014(千m2),年代別床面積／2015～2020(千m2),年代別床面積／合計(千m2),各区平均築後年数(年)
千代田区,61,228,615,649,283,680,708,503,473,4201,25.2
中央区,179,170,623,837,970,1352,1455,828,1443,7858,21.4
港区,151,780,2058,1970,1986,2549,3250,1462,1371,15577,24.9
新宿区,317,1008,2432,2803,2303,1757,1514,1314,1663,15111,28.2
文京区,256,536,1355,1785,1788,1132,984,886,880,9603,28.3
台東区,524,794,1469,1672,1415,860,901,794,1043,9473,30.7
墨田区,375,687,1382,1834,1975,1015,1417,918,1144,10746,28
江東区,217,829,2521,3331,2778,2418,2893,1747,1602,18336,26.1
品川区,391,767,1927,2812,2478,1767,1790,1323,2068,15324,26.5
目黒区,227,677,1610,1936,2572,1284,1186,1035,1133,11660,27.6
大田区,626,1430,3460,4790,5626,2999,2583,2251,2541,26305,27.7
世田谷区,565,1510,4157,6407,7884,4172,3777,3298,3532,35302,26.4
渋谷区,165,788,2090,2119,2044,1569,1173,1059,1166,12173,28.2
中野区,339,865,1734,2061,2627,1211,1041,1026,1334,12238,28.6
杉並区,463,1146,3016,3907,4583,2265,1987,1746,2031,21143,28.1
豊島区,321,772,1615,2205,2112,1079,1297,1011,973,11386,28.8
北区,348,877,2054,1915,2343,1093,1000,1103,1306,12038,29.1
荒川区,263,535,999,1299,1531,787,1067,662,708,7849,28.2
板橋区,302,907,3366,3878,3952,2096,1772,1628,1843,19746,28.4
練馬区,267,1114,2983,4849,6436,2887,2365,2099,2605,25604,26.6
足立区,310,1171,3107,4077,4768,2314,2663,2136,2315,22860,26.8
葛飾区,233,918,2026,3032,3585,1618,1467,1328,1471,15678,27.8
江戸川区,155,768,2753,4531,6232,2650,2011,1753,1896,22748,26.8
合計,7054,19276,49351,64700,72271,41554,40302,31913,36539,362960,27.3
都心３区,392,1178,3296,3456,3239,4581,5412,2794,3287,27635,23.9
都心５区,874,2974,7818,8378,7585,7907,8099,5167,6116,54919,26
他18区,6181,16302,41534,56322,64686,33646,32203,26745,30423,308042,27.5
