区市町村名,住宅地　変動率,継続地点数,商業地　変動率,継続地点数,工業地　変動率,継続地点数,全用途平均　変動率,継続地点数
千代田区,2.1,4,0.3,28,―,―,0.5,32
中央区,4,4,0,27,―,―,0.5,31
港区,2.9,10,1.8,26,2.1,1,2.1,37
新宿区,3.7,12,1.9,29,―,―,2.4,41
文京区,2.9,7,3.3,11,―,―,3.1,18
台東区,2.6,2,2.7,24,―,―,2.7,26
墨田区,2.7,5,2.8,14,―,―,2.8,19
江東区,2.4,14,2.4,11,3.3,2,2.5,27
品川区,2.9,11,2.9,11,―,―,2.9,22
目黒区,2.4,9,2.7,7,―,―,2.5,16
大田区,2.1,25,2.7,17,4.3,2,2.4,44
世田谷区,1.4,45,2,16,―,―,1.6,61
渋谷区,2.9,10,1.2,18,―,―,1.8,28
中野区,3.3,10,3.5,10,―,―,3.4,20
杉並区,3.1,24,3.8,14,―,―,3.3,38
豊島区,3.3,9,3,13,―,―,3.1,22
北区,2.7,11,3.7,10,3,1,3.2,22
荒川区,3.2,6,3.5,8,―,―,3.4,14
板橋区,1.9,18,2.1,12,―,―,2,30
練馬区,1.7,37,2.4,12,―,―,1.9,49
足立区,2.2,27,2.9,20,3.1,1,2.5,48
葛飾区,1.4,20,2.6,8,2.7,1,1.8,29
江戸川区,1.4,28,2.7,11,3.6,1,1.8,40
区部,2.2,348,2.2,357,3.3,9,2.2,714
八王子市,0.5,73,0.9,14,2.2,2,0.6,90
立川市,1.8,14,2.5,6,―,―,2.0,20
武蔵野市,2.6,8,3,7,―,―,2.8,15
三鷹市,1.9,13,3,3,―,―,2.1,16
青梅市,0.2,15,0.5,4,5.4,2,0.7,21
府中市,2.2,19,3.8,7,―,―,2.6,26
昭島市,1,10,0.8,3,0.7,1,0.9,14
調布市,2.5,16,3.5,5,―,―,2.7,21
町田市,0,43,0.1,11,―,―,0.0,56
小金井市,1.4,9,2.4,2,―,―,1.6,11
小平市,0.8,16,0.3,3,―,―,0.8,19
日野市,0.9,16,0.8,3,―,―,0.9,19
東村山市,1,12,0.5,3,―,―,0.9,15
国分寺市,2.3,9,2,2,―,―,2.3,11
国立市,2.7,6,2.6,1,―,―,2.7,7
福生市,1.5,5,0.9,2,―,―,1.3,7
狛江市,2.2,5,2,1,―,―,2.1,6
東大和市,0.1,10,0,1,―,―,0.1,11
清瀬市,0.9,10,0.2,2,―,―,0.8,12
東久留米市,1.2,11,0.4,1,―,―,1.1,12
武蔵村山市,0.3,9,0,2,―,―,0.3,11
多摩市,0,14,0.7,6,―,―,0.2,20
稲城市,2.4,13,2.6,3,―,―,2.4,16
羽村市,1.2,5,0.6,2,3.5,1,1.3,8
あきる野市,0.4,11,0.3,2,―,―,0.3,13
西東京市,1.2,14,2.6,4,―,―,1.5,18
市部,1,386,1.5,100,3.2,6,1.1,495
瑞穂町,0,6,0,1,2.5,1,0.3,8
日の出町,0,4,―,―,―,―,0.0,4
檜原村,0,3,―,―,―,―,0.0,3
奥多摩町,0.2,2,0,2,―,―,0.1,4
西多摩郡,0,15,0,3,2.5,1,0.1,19
大島町,-0.5,3,-1.5,2,―,―,-0.9,5
新島村,0,2,-1.1,1,―,―,-0.4,3
神津島村,0,2,0,1,―,―,0.0,3
三宅村,0,2,0,1,―,―,0.0,3
八丈町,0,2,-0.7,2,―,―,-0.4,4
小笠原村,0,5,0,1,―,―,0.0,8
島しょ,-0.1,16,-0.7,8,―,0,-0.3,26
東　京　都,1.5,765,2,468,3.2,16,1.7,1254
