区分,平成２０年度／空き家率／全体（％）,平成２０年度／空き家率／二次的（％）,平成２０年度／空き家率／賃貸用（％）,平成２０年度／空き家率／売却用（％）,平成２０年度／空き家率／その他（％）,平成２０年度／住宅総数（戸数）,平成２５年度／空き家率／全体（％）,平成２５年度／空き家率／二次的（％）,平成２５年度／空き家率／賃貸用（％）,平成２５年度／空き家率／売却用（％）,平成２５年度／空き家率／その他（％）,平成２５年度／住宅総数（戸数）
区部＿千代田区,25.8 ,2.0 ,19.2 ,0.9 ,3.8 ,32460,13.3 ,0.2 ,8.6 ,2.0 ,2.6 ,33670
区部＿中央区,25.4 ,1.6 ,13.9 ,0.3 ,9.6 ,95420,10.6 ,1.3 ,6.5 ,1.4 ,1.4 ,92260
区部＿港区,9.9 ,0.3 ,7.0 ,0.9 ,1.7 ,140440,12.9 ,0.3 ,8.7 ,1.1 ,2.8 ,132910
区部＿新宿区,12.6 ,0.7 ,8.1 ,0.7 ,3.1 ,215890,12.2 ,0.1 ,9.2 ,0.7 ,2.1 ,234960
区部＿文京区,10.2 ,0.6 ,5.5 ,0.3 ,3.8 ,113410,10.0 ,0.3 ,6.5 ,1.3 ,2.0 ,128940
区部＿台東区,15.1 ,0.1 ,7.6 ,2.4 ,4.9 ,100860,9.7 ,0.2 ,6.8 ,1.0 ,1.6 ,112730
区部＿墨田区,9.1 ,0.2 ,4.3 ,0.6 ,3.9 ,126050,11.1 ,0.3 ,7.4 ,0.5 ,3.0 ,140210
区部＿江東区,8.3 ,0.1 ,3.6 ,1.1 ,3.5 ,220760,7.8 ,0.0 ,6.0 ,1.6 ,0.3 ,255910
区部＿品川区,11.7 ,0.3 ,6.0 ,2.9 ,2.5 ,213050,11.4 ,0.5 ,8.3 ,0.7 ,1.9 ,227590
区部＿目黒区,16.3 ,0.1 ,12.8 ,2.2 ,1.2 ,170140,9.8 ,0.1 ,7.3 ,0.4 ,2.0 ,153510
区部＿大田区,12.2 ,0.2 ,8.3 ,0.6 ,3.2 ,357800,14.8 ,0.0 ,11.0 ,2.5 ,1.3 ,416610
区部＿世田谷区,7.6 ,0.0 ,4.9 ,0.4 ,2.3 ,455220,10.4 ,0.1 ,6.1 ,0.3 ,3.9 ,505840
区部＿渋谷区,13.7 ,0.1 ,6.5 ,0.8 ,6.3 ,147380,12.1 ,0.2 ,9.5 ,0.4 ,2.0 ,142950
区部＿中野区,9.1 ,0.2 ,6.4 ,0.2 ,2.4 ,191320,13.7 ,0.1 ,11.4 ,0.5 ,1.8 ,210420
区部＿杉並区,10.3 ,0.3 ,7.0 ,0.3 ,2.7 ,315910,10.5 ,0.2 ,7.8 ,0.3 ,2.2 ,340730
区部＿豊島区,12.9 ,0.4 ,9.9 ,0.4 ,2.2 ,168250,15.8 ,0.2 ,13.2 ,0.4 ,1.9 ,192660
区部＿北区,10.3 ,0.0 ,6.6 ,0.4 ,3.3 ,185080,10.5 ,0.0 ,7.4 ,0.4 ,2.6 ,195380
区部＿荒川区,12.8 ,0.0 ,9.3 ,3.0 ,0.4 ,107860,10.0 ,0.1 ,6.7 ,0.7 ,2.5 ,108790
